"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"0066dbc8-23df-4d3c-9dfe-93fc2f45e921","7b43c0fb-3395-41e0-9e93-55d8ea9df0d3","barcode-01880839","orobanchaceae","macranthera","macranthera flammea","united states","alabama",NA,NA,NA,NA,NA,NA,"[illegible]","7450a9e3-ef95-4f9e-8260-09b498d2c5e6"
"00c34c83-b6b8-469f-aa17-e9e1bf39087e","urn:uuid:ceac590e-bbeb-43b8-b6e3-ad5c6bb65df4","000084978","orobanchaceae","macranthera","macranthera flammea","united states","florida",-84.8830834555,30.2411375728,"1979-09-15",NA,NA,NA,"r.k.  godfrey","b2b294ed-1742-4479-b0c8-a8891fccd7eb"
"02290aa8-ff4d-414f-9518-bdb049a2c928","6749515e-8324-4649-84b5-e15430207e82","nlu0302582","orobanchaceae","macranthera","macranthera flammea","united states","louisiana",NA,NA,"1975-09-13","1975","9","13","r. dale thomas","4523e216-ee13-4b15-a3f7-a6fd56431604"
"02d3cd39-cadb-45ce-8329-b773e7e36d22","1fc690ad-45c7-4120-b4e1-441a87a8377b","68505","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,"1954-08-08","1954","8","8","e.s. ford","781fd581-7b93-471e-a025-413e4bcd8491"
"04fa01e2-722c-4b61-ad41-61e51d94c78a","7169adc3-ee76-4e21-8775-07c547e7afe3","brit319040","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,NA,NA,NA,NA,"72d4c3c7-3413-4588-a803-e1a63e0d7c6c"
"05406b00-2c5b-47ff-9ec5-4949907e519f","3e2562b0-27a5-11e3-8d47-005056be0003","lsu00031875","orobanchaceae","macranthera","macranthera flammea","united states","louisiana",NA,NA,"1936-09-26","1936","9","26","clair a. brown","4523e216-ee13-4b15-a3f7-a6fd56431604"
"05e40229-5914-4f6d-af2a-41a8f97c9461","19479714-210f-42bf-b550-d85125d009bf","brit319018","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,NA,NA,NA,NA,NA,"72d4c3c7-3413-4588-a803-e1a63e0d7c6c"
"06d31bcc-63d1-45b6-9f97-daf6553e5155","572e9dc6-f183-48fc-9959-eaea36e8c7ad","tenn-v-0196990","orobanchaceae","macranthera","macranthera flammea","united states","georgia",-82.629301,32.611122,"1983-08-22","1983","8","22","samuel b. jones; n. coile. m. moore, d. white, b. reed","d53132e6-7997-4850-8607-4fec5a3f9c3f"
"07a947b1-7f94-4c7d-b806-dc39a387c163","urn:uuid:1a310ac4-aee8-4e7a-bc76-c97954f3df50","000128867","orobanchaceae","macranthera","macranthera flammea","united states","alabama",-87.276079,31.419786,"2012-09-19",NA,NA,NA,"brian r. keener","b2b294ed-1742-4479-b0c8-a8891fccd7eb"
"07bbe501-9e7a-4ed2-b687-048b17854ac9","8704a6e6-4d30-46e8-95cd-41f2669cca5b","251760","orobanchaceae","macranthera","macranthera flammea","united states","florida",-85.397364,30.621592,"1971-08-21","1971","8","21","l j musselman; g s waggoner","d7b285d4-2643-45ee-9302-b0c3d51dda5c"
"07c112b0-00d8-4ab8-a50c-1c1724f4fb93","2af4067f-3a3b-4da9-927b-201107ed2a51","miss0044311","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,"1982",NA,NA,"k. l. gordon with b. jones & s. mott","5e29dbcc-ce45-4f05-9bb0-212baffa8932"
"086eab49-0954-4dd6-b653-4517bcbb36cd","02318894-c9bd-4278-9b52-5d71e687b800","brit319043","orobanchaceae","macranthera","macranthera flammea","united states","mississippi",NA,NA,NA,NA,NA,NA,NA,"72d4c3c7-3413-4588-a803-e1a63e0d7c6c"
"08990702-55ca-4036-8633-110e081093fb","eb155cc6-80c1-4835-bf30-ec2a6a681089","cm131395","orobanchaceae","macranthera","macranthera flammea","united states","florida",NA,NA,NA,"1970",NA,NA,"davis, h.a.; davis, t.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"09c779af-903d-4dbc-ba90-84a27e7ab0b7","3e255a40-27a5-11e3-8d47-005056be0003","lsu00031872","orobanchaceae","macranthera","macranthera flammea","united states","louisiana",NA,NA,"1962-09-09","1962","9","9","clair a. brown","4523e216-ee13-4b15-a3f7-a6fd56431604"
