"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"00000ec3-b5f4-4654-a675-0f2c031ba590","urn:catalog:trom:v:53399","53399","orobanchaceae","euphrasia","euphrasia frigida","norway","nordland",14.4082,68.2271,NA,"1996","8","17","andy sortland","703b5bdc-4581-47e3-b4b6-e6f32d0eec54"
"00002d38-586c-40c3-b256-36f2e230df8f","https://data.biodiversitydata.nl/naturalis/specimen/l.3382930","l.3382930","orobanchaceae","euphrasia","euphrasia officinalis","netherlands",NA,5.423617,52.015849,"1916-08-11",NA,NA,NA,"jansen p; wachter wh","fabcdc12-9d29-4bd2-912b-176e71818144"
"00008247-e7a9-4f68-bbf2-8114391b2799","urn:catalog:cas:bot-bc:924304","924304","orobanchaceae","pedicularis","pedicularis attollens","united states","california",NA,NA,NA,"1911","8","19","hawver, elizabeth parsons","26f7cbde-fbcb-4500-80a9-a99daa0ead9d"
"00013aa3-3c9f-4ab0-8341-b6e29d4a65f9","4d16ff35-f541-430a-8a9c-c653821fd98c","uvmvt094231","orobanchaceae","pedicularis","pedicularis canadensis subsp. canadensis","united states","maine",-70.24929,44.08514,NA,"0","0","0",NA,"3027c437-cdb3-4072-9410-5a46ec3b1fd5"
"00014eb0-38e4-4824-ac93-4482fe680862","https://data.biodiversitydata.nl/naturalis/specimen/l.2796259","l.2796259","orobanchaceae","melampyrum","melampyrum laxum","japan",NA,NA,NA,"1977-08-12",NA,NA,NA,"koyama h; hotta m","fabcdc12-9d29-4bd2-912b-176e71818144"
"00016ce2-f536-42e5-9583-a924c5eedc8e","6d524093-ff95-448d-83c8-0307bd79dbd5","360722","orobanchaceae","castilleja","castilleja pilosa var. pilosa","united states","oregon",-117.17709,45.26246,"2002-07-20","2002","7","20","sharon rodman, peter zika, tracy fuentes","8b0c1f4b-9de7-4521-98c2-983e0bfd33c7"
"00017c13-655c-4a0a-abce-2d01dab7709d","s:vascularplants:s-a17153-133","s-a17153-133","orobanchaceae","rhinanthus","rhinanthus minor","sweden","jämtland",NA,NA,"2016-07-22","2016","07","22","göran odelvik","fc014977-92f7-47fd-92d7-b609c39d8212"
"00021447-59db-4a76-815a-4ac1588c1404","7cc15ffa-e69f-4e4e-a60e-38f8cb6bf30d","tex00024592","orobanchaceae","castilleja","castilleja citrina","united states","texas",NA,NA,"1992-04-14","1992","4","14","karen h. clary","2d7910d9-7f63-4bde-918a-9e0265f1c245"
"00026554-58db-4049-9295-9732b13efa78","240a8ef8-feea-4383-93bd-a15070e73220","54889","orobanchaceae","castilleja","castilleja purpurea","united states","texas",NA,NA,"2008-03-26","2008","3","26","scott bryan","a6fb1ae5-990c-4c90-8570-4bcf1adb3f29"
"00028a68-f201-4d61-8a9c-b657969cf7da","https://data.biodiversitydata.nl/naturalis/specimen/l.2772494","l.2772494","orobanchaceae","bartsia","bartsia alpina",NA,NA,NA,NA,"1962-07-10",NA,NA,NA,"broek anc ten","fabcdc12-9d29-4bd2-912b-176e71818144"
"0002aaaf-2b2b-432f-8952-6a5febf2986c","f33f28a2-226b-4940-84c6-ea4ec5c07295","barcode-01879710","orobanchaceae","castilleja","castilleja","united states","arizona",NA,NA,NA,NA,NA,NA,"l. n. goodding","7450a9e3-ef95-4f9e-8260-09b498d2c5e6"
"0002af1b-7569-4f40-b963-2501f3e71bac","https://data.biodiversitydata.nl/naturalis/specimen/l.2891668","l.2891668","orobanchaceae","euphrasia","euphrasia officinalis","switzerland",NA,NA,NA,"1901-08-01/1901-08-31",NA,NA,NA,"goethart jwc; jongmans wj","fabcdc12-9d29-4bd2-912b-176e71818144"
"0002d886-00be-421a-89a7-3671513a394d","6a4d0971-2da7-437a-921f-711260290772","b.41683","orobanchaceae","castilleja","castilleja linariifolia","united states","arizona",-112.892142,36.256648,"1977-07-27","1977","7","27","green, l.t.","de5203b1-5a44-4010-948c-b7d33f46397a"
"0002deb3-1ae5-4255-b976-9be621180711","231c8cad-c8a3-4943-8450-6bebb2ecd2c7","3312680","orobanchaceae","pedicularis","pedicularis procera","united states","colorado",-105.892512,40.52082,"1894",NA,NA,NA,"c. f. baker","36d35b23-113e-4633-90ec-19d265a3b5f6"
"00030dec-22dd-42da-a366-ae12944199bc","083b0381-a698-4015-b7f0-72529be345d5","brit453200","orobanchaceae","castilleja","castilleja indivisa","united states","texas",NA,NA,"1980-04-26","1980","4","26","wm. f. mahler","70abba3e-5f2a-4276-87f3-261706e24453"
"00032cf0-b164-4593-ad4f-7aad55652572","ea71ee21-0715-43cc-a41f-6ccf203ab472","prr004694","orobanchaceae","melampyrum","melampyrum lineare var. pectinatum","united states","maryland",-76.757867,39.04,"2014-07-25","2014","7","25","bill harms; george f. russell, melinda peters, wayne longbottom","4960f30c-c1c7-490e-966a-61ad02969e38"
"000331d7-a31c-4ac8-8ee4-b18e50695ea2","urn:catalog:cas:bot-bc:249654","249654","orobanchaceae","castilleja","castilleja martini var. martini","united states","california",-123.08388,39.51295,"1981-06-23","1981","6","23","wheeler, clare r.; smith, gladys l.","26f7cbde-fbcb-4500-80a9-a99daa0ead9d"
"000340df-be09-4d06-bd3b-f18cb359c23e","11f6fe4a-93b9-474c-b082-073e7b448220","60176","orobanchaceae","castilleja","castilleja cusickii","united states","idaho",-115.09422,44.331,"2023-07-01","2023","7","1","d. h. mansfield, lynn kinter, derek antonelli and several other inps members","ec4acc26-ff1b-4131-a1df-a950fe31bb0e"
"000373da-94be-4474-84e6-2e70250055c8","8cdd1fee-11c8-4fbf-865b-2ebb6bf87194","tex00106801","orobanchaceae","pedicularis","pedicularis canadensis","mexico","nuevo leon",-100.26667,24.86667,"1997-06-21","1997","6","21","james s. henrickson|scott sundberg","2d7910d9-7f63-4bde-918a-9e0265f1c245"
"00038ba3-bad6-4e78-972c-867a888bd85a","8bd047ae-5d61-4893-9bc0-6453b1c62c53","78842","orobanchaceae","castilleja","castilleja","united states","idaho",-114.297421030591,43.796047131719,"1982-08-05","1982","8","5","c. a. wellner","0fd6e726-6828-4f62-ba8d-6ec316fe0b52"
"0003a200-9aab-4bf1-a67e-23566e4034b6","https://specieslink.net/guid/220/224076","224076","orobanchaceae","esterhazya","esterhazya eitenorum","brasil","rio de janeiro",-44.677806,-22.3865,"2025-03-27","2025","03","27","pezzi, ph; latvis, m","253f90be-3b94-469c-820c-cb727b85bdd4"
"0003ae14-9720-4091-af63-1b044e34d731","45d60ddc-4bea-46d4-9538-7cdb639ad1a4","v0091491f","orobanchaceae","pedicularis","pedicularis dolichoglossa","china","yunnan",100.0767,27.3778,"2006-07-23","2006","7","23","d. e. boufford et al.","205fa34c-2fcb-4492-b992-972b18560f6f"
"0003d2f9-36ab-4eeb-9bc8-e887f95dcfcd","urn:catalog:o:v:217130","217130","orobanchaceae","castilleja","castilleja caudata","united states","alaska",NA,NA,NA,"1991","8","2","anders often","e6ccc2bd-9451-4802-8a51-8640d9f09793"
"0003d64e-4711-4649-89f3-66ac9ed80a19","urn:catalog:trom:v:71453","71453","orobanchaceae","euphrasia","euphrasia frigida","norway","troms og finnmark",22.3704,70.7003,NA,"1998","8","15","trond schumacher","703b5bdc-4581-47e3-b4b6-e6f32d0eec54"
