site,year,season,date,web,transect,block,plot,subplot,quad,treatment,kartez,genus,sp.epithet,family,LifeHistory,PhotoPath,FunctionalGroup,cover,volume,biomass.BM,biomass.BIM,SiteCluster,MetStation,season.precip,GDD,SPEI.comp
fertilizer,2004,fall,2004-09-28,NA,NA,NA,5,NA,3,C,PLJA,Pleuraphis,jamesii,Poaceae,perennial,C4,grass,12.6,199.2,25.7266449660224,24.0282,DeepWell,40,149.033,4107.05311810213,-0.690058273803907
fertilizer,2004,fall,2004-09-28,NA,NA,NA,16,NA,2,F,BOGR2,Bouteloua,gracilis,Poaceae,perennial,C4,grass,24.85,419.9,56.0237860966508,60.2861,DeepWell,40,149.033,4107.05311810213,-0.690058273803907
fertilizer,2004,fall,2004-09-28,NA,NA,NA,19,NA,4,F,CHSES,Chamaesyce,serpyllifolia,Euphorbiaceae,annual,C4,forb,3.1,10.8,1.9811046,2.2878,DeepWell,40,149.033,4107.05311810213,-0.690058273803907
fertilizer,2004,fall,2004-09-28,NA,NA,NA,6,NA,1,F,PLJA,Pleuraphis,jamesii,Poaceae,perennial,C4,grass,15.7,284.25,32.5227505061728,29.9399,DeepWell,40,149.033,4107.05311810213,-0.690058273803907
fertilizer,2004,fall,2004-09-28,NA,NA,NA,15,NA,3,C,HYFIC,Hymenopappus,filifolius,Asteraceae,perennial,C3,forb,21.7,237.2,44.8814373,49.91,DeepWell,40,149.033,4107.05311810213,-0.690058273803907
fertilizer,2004,fall,2004-09-28,NA,NA,NA,4,NA,3,F,BOGR2,Bouteloua,gracilis,Poaceae,perennial,C4,grass,5.25,45.75,11.957772415549,12.7365,DeepWell,40,149.033,4107.05311810213,-0.690058273803907
fertilizer,2004,fall,2004-09-28,NA,NA,NA,19,NA,1,F,MUAR2,Muhlenbergia,arenicola,Poaceae,perennial,C4,grass,0.5,2.2,2.00384204508764,1.4765,DeepWell,40,149.033,4107.05311810213,-0.690058273803907
fertilizer,2004,fall,2004-09-28,NA,NA,NA,20,NA,4,C,BOGR2,Bouteloua,gracilis,Poaceae,perennial,C4,grass,6.45,53.45,14.7161350921709,15.6477,DeepWell,40,149.033,4107.05311810213,-0.690058273803907
fertilizer,2004,fall,2004-09-28,NA,NA,NA,11,NA,1,F,BOGR2,Bouteloua,gracilis,Poaceae,perennial,C4,grass,0.5,2.5,1.19601172511985,1.213,DeepWell,40,149.033,4107.05311810213,-0.690058273803907
fertilizer,2004,fall,2004-09-28,NA,NA,NA,11,NA,1,F,CHSES,Chamaesyce,serpyllifolia,Euphorbiaceae,annual,C4,forb,18,84,11.503188,13.284,DeepWell,40,149.033,4107.05311810213,-0.690058273803907
