SubsDens,WatrCont,Substrate,Shrub,Topo
39.18,350.15,Sphagn1,Few,Hummock
54.99,434.81,Litter,Few,Hummock
46.07,371.72,Interface,Few,Hummock
48.19,360.5,Sphagn1,Few,Hummock
23.55,204.13,Sphagn1,Few,Hummock
57.32,311.55,Sphagn1,Few,Hummock
36.95,378.93,Sphagn1,Few,Hummock
80.59,266.78,Interface,Many,Blanket
61.43,310.7,Litter,Many,Blanket
32.14,220.73,Sphagn1,Many,Hummock
35.59,134.13,Sphagn3,Many,Blanket
46.8,405.91,Sphagn1,Few,Hummock
27.97,243.7,Sphagn1,Many,Hummock
37.25,239.51,Interface,Many,Blanket
59.93,350.64,Interface,Many,Blanket
35.41,321.87,Interface,Few,Hummock
29.56,296.95,Interface,Many,Hummock
25.84,276.44,Sphagn1,Many,Hummock
44.1,383.83,Interface,Many,Blanket
38.61,145.68,Interface,Many,Hummock
25.93,184.04,Sphagn4,Few,Hummock
32.74,185.89,Sphagn1,Many,Hummock
31.98,398.73,Sphagn2,Many,Hummock
32.27,291.59,Interface,Many,Hummock
35.3,293.49,Interface,Many,Blanket
51.47,488.55,Sphagn4,Many,Hummock
22.9,145.28,Sphagn1,Many,Hummock
35.81,354.56,Sphagn2,Few,Hummock
32.86,323.12,Interface,Many,Hummock
38.17,403.32,Sphagn2,Many,Blanket
43.9,494.24,Sphagn2,Few,Hummock
37.33,284.27,Interface,Many,Blanket
36.44,387.3,Sphagn2,Few,Blanket
53.17,367.11,Interface,Many,Blanket
29.14,287.27,Sphagn1,Few,Blanket
39.61,418.01,Sphagn1,Many,Blanket
34.76,393.62,Interface,Few,Blanket
47.74,528.44,Interface,Few,Blanket
64.75,691.79,Sphagn2,Few,Blanket
34.26,398.2,Interface,Few,Blanket
36.31,468.15,Sphagn2,Few,Blanket
26.6,386.37,Interface,Few,Blanket
56.65,581,Interface,Few,Blanket
62.38,708.16,Barepeat,Few,Blanket
46.81,538.51,Interface,Few,Blanket
44.01,451.45,Sphagn1,Few,Blanket
33.98,323.96,Interface,Few,Blanket
41.71,506.86,Sphagn1,Few,Blanket
26.37,363.87,Sphagn2,None,Blanket
28.29,434.28,Interface,None,Blanket
37.51,465.27,Sphagn2,None,Blanket
28.86,588.28,Sphagn1,None,Blanket
26.83,414.65,Interface,None,Blanket
45.59,530.51,Sphagn2,None,Blanket
31.98,447.65,Interface,None,Blanket
41.38,532.88,Interface,None,Blanket
56.82,613.39,Barepeat,None,Blanket
27.24,353.39,Sphagn1,None,Blanket
52.73,656.35,Sphagn1,None,Blanket
31.37,465.8,Sphagn2,None,Blanket
47.03,626.36,Interface,None,Blanket
48.59,634.75,Interface,None,Blanket
35.03,482.27,Interface,None,Blanket
28.07,434.96,Sphagn1,None,Blanket
21.17,479.39,Sphagn1,Many,Hummock
31.46,514.85,Sphagn1,None,Blanket
52.12,826.96,Sphagn1,None,Blanket
29.24,590.11,Sphagn1,None,Blanket
29.33,479.23,Sphagn1,Many,Hummock
22.36,517.36,Sphagn1,Many,Hummock
