,BRTE,POSE,ARTRW8,ELEL5,LEPE2,CETE5,GRSP,SIAL2,ELCA13,AGCR,UNK9,DEPI,BAPR5,AMIN3,ALMI2,CABR4,STPA4,LUP1,CONVO,ERNA10,CHVI8,CROC,GARA2,CYMOP2,DEGL3,PECTO,UNK13,UNK14,IVAX,ACMI2,PASM,LUP3,TESP,ARAR8,DESO,ERCI6,CRYPT,PEBO2,LARA,UNK22,ALLIU,UNK24,ERTE18,ELCI2,ERUM,CADR,UNK1,LAGL5,LUAR3,UNK8,PHDI3
F00_0_XX8,13.22222222,0,32.88888889,0.055555556,0,0,0,0,0,0,0.222222222,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F00_1_004,42.44444444,0,0,0,0,0,0,2.611111111,0,0,0,0.111111111,1.388888889,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F00_3_019,4.111111111,28.22222222,0,0,0,0,0,7.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F01_0_037,11.33333333,5.611111111,19.55555556,0,0,0,0,0,0,0,0,0,0,0,5.5,0.055555556,1.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F01_1_XX9,38.33333333,0,0,0,0,0,0,0.388888889,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F01_2_X10,19,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F02_0_097,0.333333333,8.388888889,18.94444444,0.333333333,0.055555556,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F02_1_XX6,41.88888889,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F02_2_XX7,21.77777778,0,0,0,0,0,0,4.555555556,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F02_3_XX5,49.88888889,0,0,0,0,0,0,3,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F03_0_116,2.944444444,20.44444444,13.22222222,4.111111111,0.111111111,0.111111111,0,0,0,0,0.833333333,0,0,0,0.5,0,0,0,0,0,0,0.277777778,0.388888889,0.111111111,0.055555556,0.055555556,0.055555556,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F03_3_111,57.22222222,8.111111111,0,0,0,0,0,0.222222222,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.888888889,1.055555556,0.222222222,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F04_0_139,12.22222222,0,9,0.055555556,3.722222222,1.388888889,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.333333333,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F04_1_120,35.33333333,0,0,0,0.333333333,0.388888889,0,1.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F04_2_125,15.94444444,0.222222222,0,0,0,0,0,1,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F04_3_134,30.66666667,0.111111111,0,0,0,0,0,2.888888889,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F05_1_X11,16.11111111,1.388888889,0,0,2.888888889,0,0,0.5,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,2.055555556,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,3.888888889,0,0.055555556,0.055555556,0.055555556,0.055555556,0.111111111,0,0,0,0,0,0,0,0,0
F05_1_ZZ1,19.66666667,5.888888889,1.333333333,0.055555556,3.333333333,0,0,0.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,5.722222222,0.888888889,0.055555556,0,0,0,0,0,0
F05_2_149,24,9.611111111,0,0,3.777777778,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,6.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0.166666667,0,0.055555556,0,0,0,0,0
F05_3_154,35.77777778,6.333333333,0,0,0,0,0,0.833333333,0,0,0,0,0,1.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.277777778,0,0,0.055555556,0,0,0,0,0.055555556,0,0,0,0,0,0,0
F06_0_XX1,6.166666667,5.333333333,29.61111111,1.388888889,0,0.055555556,1.777777778,0,0,0,0.055555556,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.111111111,0,0,0
F06_1_160,18.55555556,6.388888889,0,0.388888889,0.055555556,0,0,6.777777778,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F06_2_165,18.55555556,11.11111111,0,0.055555556,0.333333333,0,0,10.11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
