Plot_Number,Location,Chlor_ugpergsoil,Scytonemin_mgperg,Treatment,Site
1,g,0.029760134,0.096831361,stomp,C
1,g,0.089824794,0.136624175,stomp,C
1,i,0,0.107717856,stomp,C
1,i,0.015764732,0.082632217,stomp,C
1,i,0.0317941,0.108220899,stomp,C
1,i,0.107006776,0.133500343,stomp,C
1,s,0.026463352,0.118212941,stomp,C
1,s,0.035449571,0.118228894,stomp,C
2,g,0.130194496,0.19053951,control,C
2,g,0.148550583,0.163737911,control,C
2,i,0.016168463,0.083047845,control,C
2,i,0.11101313,0.212034648,control,C
2,i,0.264574847,0.150238239,control,C
2,i,NA,NA,control,C
2,s,0.065391564,0.122554801,control,C
2,s,0.121157933,0.169616073,control,C
3,g,0.058022492,0.1448121,stomp,C
3,g,0.571212361,0.159330201,stomp,C
3,i,0.028853405,0.093066295,stomp,C
3,i,0.087033739,0.146157629,stomp,C
3,i,0.094532189,0.128224174,stomp,C
3,i,0.194495934,0.123456223,stomp,C
3,s,0.163933719,0.165938068,stomp,C
3,s,0.330273939,0.243544284,stomp,C
4,g,0.069657476,0.167130602,control,C
4,g,0.158780114,0.19121155,control,C
4,i,0,0.097006997,control,C
4,i,0.019021721,0.093234676,control,C
4,i,0.020911892,0.120976779,control,C
4,i,0.024921315,0.10956847,control,C
4,s,0.075187937,0.123762139,control,C
4,s,0.253663384,0.442984751,control,C
5,g,0.073656331,0.190784057,stomp,C
5,g,NA,NA,stomp,C
5,i,0,0.105470407,stomp,C
5,i,0.020651308,0.10541379,stomp,C
5,i,0.047805792,0.181403766,stomp,C
5,i,0.080352361,0.287448999,stomp,C
5,s,0.088623927,0.125473216,stomp,C
5,s,0.322386372,0.252191846,stomp,C
6,g,0.015083208,0.188713567,control,C
6,g,0.09777389,0.139707416,control,C
6,i,0.05132183,0.111445071,control,C
6,i,0.062342349,0.106299832,control,C
6,i,0.085316213,0.130410566,control,C
6,i,0.217670948,0.119521854,control,C
6,s,0.035497027,0.125400795,control,C
6,s,0.166673754,0.20400289,control,C
7,g,0.156797971,0.164532177,stomp,C
7,g,0.159523069,0.19603826,stomp,C
7,i,0,0.095102694,stomp,C
7,i,0.031529464,0.125094771,stomp,C
7,i,0.051992704,0.134429877,stomp,C
7,i,0.128009623,0.222239166,stomp,C
7,s,0.110616182,0.387584756,stomp,C
7,s,0.207854371,0.282926253,stomp,C
8,g,0.119263624,0.141764504,control,C
8,g,0.613093158,0.178761855,control,C
8,i,0.037085705,0.10198713,control,C
8,i,0.042952936,0.122644136,control,C
8,i,0.079509083,0.109517819,control,C
8,i,0.149303373,0.147079036,control,C
8,s,0.12474056,0.169516727,control,C
8,s,0.129618683,0.212190416,control,C
9,g,0.084018628,0.111991213,stomp,C
9,g,0.096073475,0.198412777,stomp,C
9,i,0.016510759,0.088644526,stomp,C
9,i,0.016635056,0.091163223,stomp,C
9,i,0.021111687,0.102749812,stomp,C
9,i,0.0336501,0.122815698,stomp,C
9,s,0.051840233,0.165805003,stomp,C
9,s,0.609569634,0.165977086,stomp,C
10,g,0.052060757,0.138947443,stomp,C
10,g,0.110616182,0.312494181,stomp,C
10,i,0.017653981,0.185846103,stomp,C
10,i,0.050862428,0.254439878,stomp,C
10,i,0.0587293,0.108492096,stomp,C
10,i,0.060332831,0.147264759,stomp,C
10,s,0.069172902,0.141083064,stomp,C
10,s,0.33802622,0.162126721,stomp,C
11,g,1.41420155,0.337255349,control,C
11,g,1.835255592,0.402993653,control,C
11,i,0.037346872,0.142073036,control,C
11,i,0.10885172,0.104278823,control,C
11,i,0.150851145,0.155333378,control,C
11,i,0.390663412,0.233823369,control,C
11,s,0.121634308,0.300328689,control,C
11,s,0.315669989,0.221167674,control,C
12,g,0.292712172,0.170973204,control,C
12,g,0.515212676,0.16532255,control,C
12,i,0.052128989,0.100730702,control,C
12,i,0.095899743,0.131613744,control,C
12,i,0.113317432,0.157459121,control,C
12,i,0.355582286,0.193515624,control,C
12,s,0.037452372,0.22600232,control,C
12,s,0.454045874,0.354319615,control,C
13,g,0.056820598,0.163062425,stomp,C
13,g,0.10692048,0.107901475,stomp,C
13,i,0.014553391,0.08710929,stomp,C
13,i,0.015169496,0.093217512,stomp,C
13,i,0.015470408,0.110212562,stomp,C
13,i,0.05185713,0.129876695,stomp,C
13,s,0.015488481,0.095066075,stomp,C
13,s,0.116591679,0.119537683,stomp,C
14,g,0.081840367,0.137417703,stomp,C
14,g,0.098451531,0.262868743,stomp,C
14,i,0,0.086995477,stomp,C
14,i,0.01589705,0.084323821,stomp,C
14,i,0.034082621,0.129925415,stomp,C
14,i,0.086995666,0.084680402,stomp,C
14,s,0.163478909,0.158724145,stomp,C
14,s,0.198962531,0.115211668,stomp,C
15,g,0.207880237,0.118381476,control,C
15,g,0.411865281,0.451433885,control,C
15,i,0,0.186986095,control,C
15,i,0.109345481,0.179119655,control,C
15,i,0.131485681,0.167681434,control,C
15,i,0.234291447,0.14800959,control,C
15,s,0.096212914,0.316862617,control,C
15,s,0.177961604,0.128719654,control,C
16,g,0.032336926,0.120461339,control,C
16,g,0.147640752,0.137497401,control,C
16,i,0.025794046,0.120402544,control,C
16,i,0.026974852,0.112142911,control,C
16,i,0.042089332,0.085365238,control,C
16,i,0.058149735,0.10107206,control,C
16,s,0.053032558,0.12897814,control,C
16,s,0.0921771,0.229436494,control,C
17,g,0.019847514,0.132959378,stomp,C
17,g,0.181263626,0.206557442,stomp,C
17,i,0.03217995,0.181096728,stomp,C
17,i,0.041956138,0.096202128,stomp,C
17,i,0.049532277,0.132643118,stomp,C
17,i,0.209891391,0.539032114,stomp,C
17,s,0.052961942,0.198214703,stomp,C
17,s,0.059188123,0.233491541,stomp,C
18,g,0.126804735,0.312373809,control,C
18,g,0.325752814,0.175014328,control,C
18,i,0.033908285,0.1218598,control,C
18,i,0.043045908,0.125861583,control,C
18,i,0.050992844,0.103926857,control,C
18,i,0.090653946,0.103243127,control,C
18,s,0.022819517,0.115287534,control,C
18,s,0.249369396,0.234267002,control,C
19,g,0.081756256,0.175839173,stomp,C
19,g,0.143914676,0.272139764,stomp,C
19,i,0.035688128,0.112547227,stomp,C
19,i,0.044690358,0.114854659,stomp,C
19,i,0.061167887,0.133446733,stomp,C
19,i,0.063013971,0.146346874,stomp,C
19,s,0.061097417,0.434225413,stomp,C
19,s,0.075674312,0.298545942,stomp,C
20,g,0.027882523,0.161689094,control,C
20,g,0.167119406,0.140194978,control,C
20,i,0.018647172,0.092062886,control,C
20,i,0.046465442,0.119775803,control,C
20,i,0.05657812,0.098452914,control,C
20,i,0.067528724,0.11216932,control,C
20,s,0.09894134,0.310069391,control,C
20,s,0.142220805,0.290279954,control,C
21,g,0.025619593,0.100579007,stomp,G
21,g,0.055299852,0.09852825,stomp,G
21,i,0,0.076897303,stomp,G
21,i,0.02350734,0.10405267,stomp,G
21,i,0.046519788,0.090464818,stomp,G
21,i,0.063058928,0.128707616,stomp,G
22,g,0.015083208,0.087145747,stomp,G
22,g,0.055242248,0.104473314,stomp,G
22,i,0.032297538,0.078669649,stomp,G
22,i,0.03356491,0.125223756,stomp,G
22,i,0.049718023,0.09321407,stomp,G
22,i,0.094029358,0.117256138,stomp,G
23,g,0.037988938,0.085660829,stomp,G
23,g,0.058837897,0.091622207,stomp,G
23,i,0,0.063775946,stomp,G
23,i,0.016388306,0.092277775,stomp,G
23,i,0.042676415,0.08686507,stomp,G
23,i,0.050475151,0.089288856,stomp,G
24,g,0.04874316,0.098659131,stomp,G
24,g,0.059991582,0.117429421,stomp,G
24,i,0.01346004,0.106366544,stomp,G
24,i,0.040752478,0.100223572,stomp,G
24,i,0.068695023,0.107358892,stomp,G
24,i,0.112238218,0.141215868,stomp,G
25,g,1.512974503,0.258685008,control,G
25,g,4.478417362,0.17902223,control,G
25,i,1.863442214,0.11984018,control,G
25,i,2.538218159,0.081608706,control,G
25,i,4.903225742,0.094944459,control,G
25,i,7.925137895,0.160124785,control,G
26,g,0.35747561,0.180117754,stomp,G
26,g,0.750669016,0.20814672,stomp,G
26,i,0.109030753,0.17488436,stomp,G
26,i,0.172528342,0.258920434,stomp,G
26,i,0.266495267,0.180080445,stomp,G
26,i,0.490599026,0.374932064,stomp,G
27,g,2.049188796,0.208940981,control,G
27,g,3.240084415,0.342695934,control,G
27,i,0.317122013,0.194467503,control,G
27,i,1.498901374,0.103974083,control,G
27,i,5.695316283,0.147007878,control,G
27,i,7.755685073,0.118077416,control,G
28,g,0.999915552,0.248739499,control,G
28,g,3.694891346,0.245733805,control,G
28,i,2.300308121,0.203970891,control,G
28,i,2.442288862,0.107572158,control,G
28,i,4.592289988,0.237849101,control,G
28,i,4.852434654,0.144220832,control,G
29,g,0.627525235,0.460087921,control,G
29,g,1.110882365,0.271628933,control,G
29,i,0.399491963,0.162302678,control,G
29,i,0.483301638,0.145680677,control,G
29,i,1.087956744,0.340428992,control,G
29,i,3.615856237,0.074606317,control,G
30,g,0.360065865,0.216120769,stomp,G
30,g,1.538791637,0.150030086,stomp,G
30,i,0.247815692,0.180112784,stomp,G
30,i,0.265694179,0.144961546,stomp,G
30,i,0.892264783,0.19763,stomp,G
30,i,5.138908848,0.188751521,stomp,G
31,g,1.026957719,0.212141715,control,G
31,g,6.786369728,0.333846748,control,G
31,i,0.743578196,0.12465109,control,G
31,i,1.679512642,0.110041373,control,G
31,i,3.965826469,0.051686712,control,G
31,i,8.98436704,0.165792307,control,G
32,g,0.205552551,0.19550457,stomp,G
32,g,0.31650731,0.290501393,stomp,G
32,i,0.533972221,0.159149098,stomp,G
32,i,0.75024945,0.188545638,stomp,G
32,i,0.923334718,0.313670465,stomp,G
32,i,1.262166254,0.235216445,stomp,G
33,g,0.508679639,0.342255339,control,G
33,g,4.355463194,0.149926696,control,G
33,i,0.042976141,0.107545911,control,G
33,i,0.063284676,0.091878125,control,G
33,i,0.894052173,0.246378755,control,G
33,i,2.433455991,0.14052043,control,G
34,g,0.720551062,0.531281143,stomp,G
34,g,0.738428025,0.158174755,stomp,G
34,i,0,0.073528884,stomp,G
34,i,0.057581496,0.11138377,stomp,G
34,i,0.162610052,0.142773537,stomp,G
34,i,0.22838137,0.258193992,stomp,G
35,g,0.786951944,0.11569756,stomp,G
35,g,1.359809183,0.331379986,stomp,G
35,i,0.024506727,0.101485242,stomp,G
35,i,0.064422447,0.121635362,stomp,G
35,i,0.614276735,0.191747574,stomp,G
35,i,1.795496924,0.230223462,stomp,G
36,g,0.137627746,0.208806114,control,G
36,g,0.15432755,0.191626929,control,G
36,i,0.069487104,0.131749898,control,G
36,i,0.178360622,0.103668439,control,G
36,i,0.531033626,0.154942075,control,G
36,i,1.474256313,0.141938616,control,G
37,g,0.308328826,0.202613527,control,G
37,g,0.603150408,0.326726124,control,G
37,i,0.059721349,0.074146401,control,G
37,i,0.130141247,0.103859558,control,G
37,i,0.230799334,0.100061838,control,G
37,i,9.187410125,0,control,G
38,g,0.122007419,0.085667378,stomp,G
38,g,1.341107282,0.286586091,stomp,G
38,i,0,0.091605594,stomp,G
38,i,0.081267055,0.109180132,stomp,G
38,i,0.544233778,0.177888711,stomp,G
38,i,1.742434513,0.227035347,stomp,G
39,g,0.763688868,0.226165466,control,G
39,g,4.63358448,0.18949113,control,G
39,i,0.055765045,0.09337958,control,G
39,i,0.140545649,0.11633678,control,G
39,i,0.155135746,0.133287524,control,G
39,i,3.436863939,0.112058284,control,G
40,g,0.056901886,0.154398259,control,G
40,g,1.009804534,0.456303355,control,G
40,i,0.082568485,0.157958177,control,G
40,i,0.091043018,0.113632621,control,G
40,i,0.183345058,0.125496464,control,G
40,i,4.867313796,0.271995642,control,G
