TagID,Year_t,Goodbuds_t,logvol_t,Year_t1,Survival_t1,logvol_t1
AD10,2004,1,11.70179184,2005,1,11.08874139
AD11,2004,1,10.4918713,2005,1,10.09239782
AD14,2004,9,12.9275069,2005,1,12.05389173
AD15,2004,9,11.48197842,2005,1,10.58895591
AD16,2004,10,12.68228699,2005,1,11.55391242
AD17,2004,7,11.4974841,2005,1,11.24646617
AD18,2004,6,11.59110117,2005,1,11.07505409
AD19,2004,19,11.61250326,2005,1,11.12795433
AD20,2004,26,11.6360041,2005,1,11.59170687
AD21,2004,3,12.57064397,2005,1,12.36527476
AD22,2004,3,10.0609788,2005,1,10.44324138
AD23,2004,14,11.91591299,2005,1,12.15824866
AD27,2004,3,11.01569425,2005,1,11.64619505
AD28,2004,1,11.41390168,2005,1,11.2926527
AD29,2004,22,13.40552743,2005,1,11.87904832
AD3,2004,7,11.76776309,2005,1,11.21010153
AD4,2004,17,12.34153265,2005,1,11.59663204
AD6,2004,8,11.30249783,2005,1,11.48474507
AD8,2004,20,13.44788084,2005,1,12.5953929
AD9,2004,12,12.04531366,2005,1,10.82602656
LJ11,2004,0,9.122926577,2005,1,9.743357124
LJ12,2004,0,11.32959216,2005,1,10.87372019
LJ13,2004,0,9.48311534,2005,1,9.719063204
LJ14,2004,0,11.05722673,2005,1,9.931396626
LJ15,2004,0,8.412487899,2005,1,8.47992918
LJ16,2004,0,11.11225974,2005,1,11.11360521
LJ17,2004,0,9.244562498,2005,1,9.419617943
LJ3,2004,0,9.721763077,2005,1,9.286235194
LJ8,2004,0,9.201077386,2005,1,9.52403937
LJ9,2004,0,10.54535998,2005,1,10.47896789
SJ11,2004,0,7.541659541,2005,1,8.583529996
SJ13,2004,0,7.531609205,2005,1,7.126144097
SJ17,2004,0,6.785454225,2005,1,6.620670288
SJ2,2004,0,9.462496053,2005,1,8.372392385
SJ20,2004,0,8.060783968,2005,1,7.311066436
SJ3,2004,0,9.099804159,2005,1,9.05415817
SJ4,2004,0,9.963803869,2005,1,9.470505275
SJ5,2004,0,6.400487638,2005,1,6.945714688
SJ7,2004,0,8.332009049,2005,1,8.427319229
SJ9,2004,0,5.036550184,2005,1,3.865202607
AD1,2004,25,12.35992294,2005,1,12.25661917
AD11,2004,1,10.81460259,2005,1,10.82549047
AD12,2004,18,13.26779857,2005,1,12.76369264
AD14,2004,11,12.77590346,2005,1,12.00388913
AD15,2004,16,12.37913122,2005,1,12.33131821
AD16,2004,12,11.59518211,2005,1,11.22869354
AD17,2004,13,11.59099705,2005,1,10.94552004
AD18,2004,19,11.70185253,2005,1,12.33745009
AD19,2004,22,11.2062463,2005,1,10.947492
AD22,2004,10,11.83059575,2005,1,11.52020997
AD23,2004,28,13.40366376,2005,1,13.16943365
AD24,2004,10,12.34036136,2005,1,12.28483197
AD28,2004,1,11.24573544,2005,1,11.49047845
AD29,2004,11,11.94255393,2005,1,11.66736762
AD3,2004,12,11.40187743,2005,1,11.04883808
AD30,2004,10,11.89301217,2005,1,11.56620734
AD4,2004,8,14.67189682,2005,1,12.66312039
AD6,2004,13,11.91467696,2005,1,11.06723544
AD7,2004,10,12.68092419,2005,1,12.42124502
AD9,2004,13,11.42024066,2005,1,11.11057194
LJ10,2004,0,10.64815645,2005,1,9.63629753
LJ11,2004,0,8.591752462,2005,1,9.346070128
LJ12,2004,0,10.98914396,2005,1,10.15450326
LJ14,2004,0,10.52935964,2005,1,10.3601573
LJ17,2004,0,10.75357789,2005,1,10.88551467
LJ2,2004,0,10.13346719,2005,1,10.05548428
LJ5,2004,0,11.10294234,2005,1,11.02801473
LJ6,2004,0,11.03803241,2005,1,11.16560039
LJ7,2004,0,12.7688866,2005,1,12.37798003
LJ9,2004,0,10.58939111,2005,1,9.585150018
SJ1,2004,0,8.653517056,2005,1,7.949898576
SJ10,2004,0,6.337686737,2005,1,6.358306024
SJ12,2004,0,6.771151239,2005,1,7.493285957
SJ13,2004,0,7.977402359,2005,1,7.562278828
SJ14,2004,0,6.260725696,2005,1,6.307251393
SJ16,2004,0,7.085558817,2005,1,7.66774138
SJ17,2004,0,6.880764404,2005,1,7.052642973
SJ2,2004,0,7.639743648,2005,1,7.084078432
SJ3,2004,0,3.421997171,2005,1,2.818706319
SJ9,2004,0,7.584346462,2005,1,7.791985827
AD1,2004,7,11.5710655,2005,1,11.11748111
AD10,2004,19,11.94201372,2005,1,11.74575963
AD12,2004,6,12.70710561,2005,1,11.39770726
AD13,2004,17,12.16930851,2005,1,11.54654529
AD15,2004,2,11.32081125,2005,1,11.1673246
AD17,2004,30,12.28900422,2005,1,11.78418561
AD18,2004,9,12.61170914,2005,1,11.8913997
AD19,2004,27,11.5414899,2005,1,10.62379884
AD20,2004,7,11.15078531,2005,1,10.81703647
AD21,2004,14,12.19349064,2005,1,11.58330875
AD22,2004,9,10.37029543,2005,1,10.51501661
AD24,2004,13,12.15029594,2005,1,11.81733752
AD25,2004,7,11.38111185,2005,1,11.08704144
AD28,2004,19,11.15428395,2005,1,10.96967803
AD3,2004,31,11.87305056,2005,1,12.26721216
AD30,2004,3,11.27682603,2005,1,10.539764
AD5,2004,5,12.28410549,2005,1,11.80992629
AD6,2004,25,11.48674115,2005,1,11.29175168
AD7,2004,25,12.29141096,2005,1,12.05528993
AD8,2004,13,12.01288555,2005,1,11.91316137
LJ13,2004,0,8.644383735,2005,1,8.842834673
LJ14,2004,0,10.6808426,2005,1,10.38365771
LJ17,2004,0,10.18955665,2005,1,10.31590271
LJ18,2004,0,11.00098606,2005,1,10.79505756
LJ19,2004,0,10.39784235,2005,1,10.2890907
LJ2,2004,0,10.82140048,2005,1,10.96808575
LJ20,2004,0,9.773479359,2005,1,9.310875129
LJ4,2004,0,11.20877257,2005,1,11.1625092
LJ6,2004,0,9.852212804,2005,1,9.981582142
LJ8,2004,0,8.653517056,2005,1,9.345424205
SJ10,2004,0,5.99871137,2005,1,6.632289252
SJ11,2004,0,7.764025012,2005,1,6.909136982
SJ12,2004,0,7.983492293,2005,1,8.304216173
SJ13,2004,0,6.483869247,2005,1,6.722571137
SJ14,2004,0,8.74667347,2005,1,8.464870716
SJ15,2004,0,8.226648534,2005,1,8.641752215
SJ19,2004,0,6.834244389,2005,1,6.206929271
SJ3,2004,0,5.036550184,2005,1,2.125559139
SJ5,2004,0,7.947124649,2005,1,7.658454434
SJ9,2004,0,7.500837546,2005,1,7.409317917
HT1B1,2005,NA,-3.342657274,2006,1,NA
HT2B3,2005,NA,-4.296688337,2006,0,NA
