FarmID,Year,FinalInfected,NPlants,NTraps,Naphids,Ag500,Ag1000,Ag1500
BT,1,6,40,57,70,40.45714286,44.01489118,51.61208105
BT,2,4,40,49,40,40.59633028,47.86594099,55.98726115
CS,1,0,38,51,33,55.21191294,53.92775229,52.9044586
CS,2,2,38,69,82,69.25714286,67.92885829,62.58598726
DL,2,4,20,15,13,85.35469108,77.84465463,73.43431772
EG,1,2,40,69,90,9.50744559,16.17520756,25.94622149
EG,2,1,40,77,120,21.01033295,23.75358166,33.34608031
FF,1,0,20,18,23,88.27586207,66.69532817,61.38361575
FF,2,0,20,26,26,91.51376147,72.5478982,67.06182282
FI,1,0,20,18,10,33.2187858,29.49269132,31.88479674
FI,2,0,20,25,12,39.93095512,35.31768746,39.69407266
FM,1,8,20,16,36,52.69804822,52.8956422,47.2087688
FM,2,0,20,26,16,68.62068966,63.05841924,59.5899134
GT,1,5,20,13,5,70.49368542,54.62112514,47.38116478
GT,2,6,20,23,25,72.93577982,55.53965073,50.30008939
HH,1,1,40,59,61,3.440366972,7.124463519,7.09192768
HH,2,6,38,68,30,11.88571429,12.3495702,11.15781429
HT,1,0,40,61,38,59.8173516,56.68004587,49.06405195
KB,1,0,39,63,55,6.084959816,2.923473775,11.766204
KB,2,1,35,27,7,10.19473081,5.020080321,14.75159236
MA,1,9,20,26,78,71.91780822,58.03212851,45.55994394
MA,2,16,20,10,2,76.83486239,77.64705882,61.497258
MB,2,2,20,80,26,49.4266055,39.29593589,32.21159975
MC,1,2,20,27,75,37.08381171,24.79244203,24.18058921
MC,2,0,20,26,10,43.62801378,47.64908257,44.84121923
MF,1,3,40,68,83,42.03894616,36.16532721,40.17834395
MF,2,11,40,86,47,39.60964409,50.91795754,53.11065783
PW,2,0,20,18,25,64.91428571,62.07687894,57.97119918
RE,1,0,29,25,4,54.06643757,52.91248207,48.79602497
RE,2,4,37,40,42,63.81278539,64.54753723,59.2432157
RF,2,1,20,54,205,45.89977221,32.59810942,33.61794316
RV,1,0,20,26,37,13.47926267,20.89423904,27.50668875
SF,1,2,20,18,8,38.92078071,42.34518349,40.54123053
SF,2,0,20,27,21,52.51716247,66.0739891,65.32535337
SQ,1,0,20,44,5,38.30275229,60.44711952,57.92892625
SQ,2,4,40,69,67,37.87185355,50.10043042,47.94241305
TG,1,2,40,73,22,38.5583524,36.47834815,38.91719745
TG,2,0,40,87,75,53.20366133,46.29735936,49.29290355
WH,1,6,40,62,58,53.50172216,32.41616509,24.34394904
WH,2,1,39,17,34,70.68965517,51.10410095,39.41438574
