EFNtype,Plant,Volume,Sugar
Foliar,1,1.0,36
Foliar,2,0.2,0
Foliar,3,1.8,25.5
Foliar,4,3.1,35
Foliar,5,0.4,0
Foliar,9,0.2,0
Foliar,10,1.1,12
Foliar,12,0.0,0
Foliar,13,0.5,6
Foliar,14,1.0,20
Foliar,17,0.9,20.5
Foliar,18,0.0,0
Foliar,19,0.9,16.5
Foliar,26,1.1,12.5
Foliar,27,0.9,0
Floral,11,2.5,16
Floral,12,5.2,56
Floral,13,2.4,49
Floral,14,3.0,62.5
Floral,15,2.8,100.5
Floral,16,1.0,8.5
Floral,17,2.1,18
Floral,18,1.6,0
Floral,19,1.3,0
Floral,20,1.1,5
Floral,11,1.0,16
Floral,12,2.1,56
Floral,13,1.6,49
Floral,14,1.3,62.5
Floral,15,1.1,100.5
