Sample_ID,OM,P1,P2,BICARB,K,Mg,Ca,pH,Nitrate,CEC
ARTR1-LV,2.3,20,92,14,389,114,3683,8.2,4,20.4
ARTR2-LV,2.7,17,86,9,475,100,3634,8.1,9,20.2
ARTR3-LV,3.6,15,84,9,559,133,3718,8.1,6,21.1
ARTR4-LV,3,14,129,9,313,136,3861,8,4,21.2
ARTR5-LV,2.9,18,120,9,333,175,3478,7.9,4,19.7
ARTR6-LV,2.8,19,138,10,341,257,2745,7.5,4,16.7
ARTR7-LV,2.3,12,117,9,538,175,3383,8,3,19.8
ARTR8-LV,2.8,17,93,13,326,155,3883,8,4,21.5
ARTR9-LV,2.5,13,110,12,290,130,3729,8,4,20.5
ARTR10-LV,2.7,19,119,14,410,204,2766,7.5,3,16.6
HECO1-LV,2.1,11,95,5,357,102,3340,8.1,5,18.5
POSE1-LV,2.3,18,130,14,331,289,2645,7.3,2,16.5
PSSP1-LV,2.5,13,112,8,287,163,3169,7.8,4,17.9
HECO2-LV,2.1,11,72,6,392,94,3436,8.1,5,19
HECO3-LV,2.5,22,130,12,619,112,3145,8.1,7,18.2
HECO4-LV,1.8,16,104,7,310,77,2912,8.1,6,16
HECO5-LV,1.8,21,115,10,262,158,2879,7.8,2,16.4
HECO6-LV,2.2,11,117,6,306,149,2704,7.8,4,15.5
HECO7-LV,2.2,10,121,5,326,169,2612,7.9,2,15.3
HECO8-LV,2.6,10,117,5,421,144,3031,7.9,4,17.4
HECO9-LV,2.6,11,79,12,455,129,3724,8.1,7,20.9
HECO10-LV,2,16,107,9,345,251,2412,7.5,2,15
POSE2-LV,2.8,33,109,19,450,282,2165,7,2,14.3
POSE3-LV,2.5,12,128,6,297,155,3280,7.9,5,18.5
POSE4-LV,4,15,113,6,465,163,3128,7.6,8,18.2
POSE5-LV,2.6,14,117,8,472,127,3366,7.9,8,19.1
POSE6-LV,2.7,12,102,8,517,161,3616,7.8,9,20.7
POSE7-LV,2.4,21,100,14,452,101,3873,8.1,3,21.4
POSE8-LV,3,19,123,11,543,127,3807,8,8,21.5
POSE9-LV,2.8,9,65,17,443,117,3679,8.1,6,20.5
POSE10-LV,2.9,18,114,10,471,159,3521,7.8,6,20.1
PSSP2-LV,2.2,12,139,9,385,155,3176,8,3,18.2
PSSP3-LV,2.1,26,98,23,567,153,3511,8.1,5,20.3
PSSP4-LV,3,7,72,16,486,115,3532,8.1,8,19.9
PSSP5-LV,2.4,6,64,14,462,119,3753,8.1,5,20.9
PSSP6-LV,2.5,18,85,18,403,100,3583,8.1,6,19.8
PSSP7-LV,2.9,17,129,13,347,158,3100,7.7,4,17.7
PSSP8-LV,3.3,42,118,35,687,292,2877,7.6,5,18.6
PSSP9-LV,2.6,30,124,31,505,229,2621,7.3,4,16.3
PSSP10-LV,3.3,43,116,36,660,270,2619,7.2,4,17
ARTR1-ST,2.6,25,112,20,426,95,3575,8.2,4,19.8
ARTR2-ST,2.9,18,104,10,483,94,3564,8.1,5,19.8
ARTR3-ST,3.3,10,83,10,562,122,3731,8.1,5,21.1
ARTR4-ST,3.1,17,110,15,322,124,3540,8.1,3,19.6
ARTR5-ST,2.1,18,134,15,339,172,3701,8,2,20.8
ARTR6-ST,2.9,26,111,13,334,254,2647,7.4,3,16.2
