ID,State,PSF,Census,Date,Height,Tiller,logMass.harv,Block,nested.ID
1,D,Away,1,27-Aug-14,10.6,3,-0.302458,1,1
5,D,Home,1,27-Aug-14,10.7,3,-0.300831,1,5
7,S,Away,1,27-Aug-14,15.9,3,-0.216227,1,7
11,S,Home,1,27-Aug-14,7.4,6,-0.080052,1,11
17,S,Home,1,27-Aug-14,8.1,1,-0.526113,2,5
19,D,Away,1,27-Aug-14,14.3,3,-0.242259,2,7
23,D,Home,1,27-Aug-14,20.7,2,-0.229621,2,11
25,D,Away,1,27-Aug-14,10.9,2,-0.389067,3,1
29,D,Home,1,27-Aug-14,12.6,3,-0.269918,3,5
31,S,Away,1,27-Aug-14,13.2,4,-0.168666,3,7
35,S,Home,1,27-Aug-14,9.6,1,-0.501708,3,11
37,D,Away,1,27-Aug-14,6.9,1,-0.545637,4,1
41,D,Home,1,27-Aug-14,11.8,3,-0.282934,4,5
43,S,Away,1,27-Aug-14,26.1,6,0.224197,4,7
47,S,Home,1,27-Aug-14,17.2,3,-0.195076,4,11
49,S,Away,1,27-Aug-14,18,6,0.09241,5,1
53,S,Home,1,27-Aug-14,8.2,1,-0.524486,5,5
55,D,Away,1,27-Aug-14,7.6,2,-0.442758,5,7
59,D,Home,1,27-Aug-14,23.8,8,0.369756,5,11
61,D,Away,1,27-Aug-14,11.1,1,-0.477303,6,1
65,D,Home,1,27-Aug-14,12.1,2,-0.369543,6,5
67,S,Away,1,27-Aug-14,17.6,10,0.451862,6,7
71,S,Home,1,27-Aug-14,18.5,1,-0.356905,6,11
73,D,Away,1,27-Aug-14,7.1,2,-0.450893,7,1
77,D,Home,1,27-Aug-14,6.5,1,-0.552145,7,5
79,S,Away,1,27-Aug-14,9.9,1,-0.496827,7,7
83,S,Home,1,27-Aug-14,6,2,-0.46879,7,11
85,D,Away,1,27-Aug-14,5.6,2,-0.475298,8,1
89,D,Home,1,27-Aug-14,0.7,1,-0.646511,8,5
91,S,Away,1,27-Aug-14,15.7,3,-0.219481,8,7
95,S,Home,1,27-Aug-14,11.3,1,-0.474049,8,11
97,D,Away,1,27-Aug-14,4.6,1,-0.583058,9,1
101,D,Home,1,27-Aug-14,6.2,1,-0.557026,9,5
103,S,Away,1,27-Aug-14,11.9,2,-0.372797,9,7
107,S,Home,1,27-Aug-14,11.9,2,-0.372797,9,11
109,D,Away,1,27-Aug-14,6.1,1,-0.558653,10,1
113,D,Home,1,27-Aug-14,4.9,1,-0.578177,10,5
119,S,Home,1,27-Aug-14,7.8,1,-0.530994,10,11
1,D,Away,2,4-Sep-14,11.8,2,-0.374424,1,1
5,D,Home,2,4-Sep-14,12.8,4,-0.175174,1,5
7,S,Away,2,4-Sep-14,15.8,3,-0.217854,1,7
11,S,Home,2,4-Sep-14,8.3,4,-0.248389,1,11
13,S,Away,2,4-Sep-14,13.5,2,-0.346765,2,1
17,S,Home,2,4-Sep-14,9.4,2,-0.413472,2,5
19,D,Away,2,4-Sep-14,16.3,2,-0.301209,2,7
23,D,Home,2,4-Sep-14,20,1,-0.3325,2,11
25,D,Away,2,4-Sep-14,11.7,3,-0.284561,3,1
29,D,Home,2,4-Sep-14,12.5,6,0.002925,3,5
31,S,Away,2,4-Sep-14,13.1,6,0.012687,3,7
35,S,Home,2,4-Sep-14,9.4,1,-0.504962,3,11
37,D,Away,2,4-Sep-14,9.8,1,-0.498454,4,1
41,D,Home,2,4-Sep-14,11.8,3,-0.282934,4,5
43,S,Away,2,4-Sep-14,25.7,5,0.126199,4,7
47,S,Home,2,4-Sep-14,18.2,4,-0.087316,4,11
49,S,Away,2,4-Sep-14,17.8,8,0.272136,5,1
53,S,Home,2,4-Sep-14,10.6,1,-0.485438,5,5
55,D,Away,2,4-Sep-14,9.5,3,-0.320355,5,7
59,D,Home,2,4-Sep-14,25,10,0.57226,5,11
61,D,Away,2,4-Sep-14,11.2,2,-0.384186,6,1
65,D,Home,2,4-Sep-14,14.9,3,-0.232497,6,5
67,S,Away,2,4-Sep-14,19.5,13,0.757245,6,7
71,S,Home,2,4-Sep-14,23.8,1,-0.270674,6,11
73,D,Away,2,4-Sep-14,8,1,-0.52774,7,1
77,D,Home,2,4-Sep-14,5.7,2,-0.473671,7,5
79,S,Away,2,4-Sep-14,11.7,1,-0.467541,7,7
83,S,Home,2,4-Sep-14,5.8,5,-0.197574,7,11
85,D,Away,2,4-Sep-14,4.5,2,-0.493195,8,1
89,D,Home,2,4-Sep-14,1.3,1,-0.636749,8,5
91,S,Away,2,4-Sep-14,15.9,3,-0.216227,8,7
95,S,Home,2,4-Sep-14,13.2,1,-0.443136,8,11
97,D,Away,2,4-Sep-14,6.5,1,-0.552145,9,1
101,D,Home,2,4-Sep-14,6.9,1,-0.545637,9,5
103,S,Away,2,4-Sep-14,11.1,3,-0.294323,9,7
107,S,Home,2,4-Sep-14,11.8,4,-0.191444,9,11
119,S,Home,2,4-Sep-14,7.7,1,-0.532621,10,11
1,D,Away,3,16-Sep-14,12.4,3,-0.273172,1,1
5,D,Home,3,16-Sep-14,13.7,6,0.022449,1,5
7,S,Away,3,16-Sep-14,17.8,4,-0.093824,1,7
11,S,Home,3,16-Sep-14,9.4,6,-0.047512,1,11
13,S,Away,3,16-Sep-14,12.1,2,-0.369543,2,1
17,S,Home,3,16-Sep-14,9.7,2,-0.408591,2,5
