Plot,Site,Treatment,Runoff,Depth,Infil,Stab,Chloro,BulkDens
1,S,NC,9726.370856,1.5,997,1.5,0.84564897,1.23377814
2,S,C,9151.804975,2.3,3318,4,3.086588407,1.152358154
3,S,NC,7369.799374,3.2,989,1.5,1.562318058,1.252093308
4,S,C,10632.28051,1.9,2778,2,2.756856468,1.283059998
5,S,NC,10092.1779,3.4,629,1,0.951256908,1.221910971
6,S,C,11732.71759,2.6,1941,2.5,2.369816815,1.159621065
7,S,NC,9402.72398,2.4,761,1.5,1.006442467,1.289681165
8,S,C,8252.178503,0.9,604,1.5,1.926718486,1.362575125
9,S,NC,7103.83214,3.3,1278,1,1.092180472,1.213008047
10,S,NC,9430.558491,2.3,1059,1,1.423104153,1.292859326
11,S,C,8428.107691,2.3,963,2.5,3.574937395,1.363430783
12,S,C,12576.8007,1.6,884,1,3.356633774,1.336294184
13,S,NC,16662.81894,1.6,1742,1,1.700884306,1.291555465
14,S,NC,12284.25559,2.4,669,1,1.954604198,1.243424671
15,S,C,8731.114303,2.8,489,1,2.219917429,1.224274218
16,S,C,7472.089631,2.9,791,3.5,3.359547043,1.163563207
17,S,NC,2607.270575,4.3,830,1,1.401674526,1.311592136
18,S,C,7919.515257,2.6,1553,1.5,2.340537837,1.133941123
19,S,NC,11465.36805,2.6,2050,1,1.901897744,1.170581644
20,S,C,9416.169997,3.9,1818,2.5,1.101246737,1.21089946
21,G,NC,5654.866776,5.1,520,1,1.16001618,1.380421717
22,G,NC,11476.48929,3.4,601,1,1.008522724,1.516328817
23,G,NC,7238.10381,3.8,522,1,0.777879522,1.439971478
24,G,NC,10822.97519,2.8,586,1.5,1.011221213,1.250351431
25,G,C,7439.102908,3.4,765,2.5,2.118881818,1.330070286
26,G,NC,9942.009775,3.2,1308,2,0.985872583,1.434511562
27,G,C,9742.581474,2.3,702,3.5,3.646970368,1.425221554
28,G,C,10570.57963,4.3,498,2.5,1.62749618,1.313018234
29,G,C,6586.788821,5.8,592,5,1.195256449,1.330813894
30,G,NC,9330.530181,4.3,530,1,0.688385423,1.173851482
31,G,C,7850.840041,3.5,558,3.5,1.292525231,1.352572069
32,G,NC,11298.80081,1.3,971,1,1.342160025,1.408709382
33,G,C,10334.8031,2.1,523,3,2.359424945,1.451400632
34,G,NC,9427.888137,4.2,1275,1,1.117382291,1.374136702
35,G,NC,10840.63094,4.1,1947,2,1.581234455,1.3874809
36,G,C,15654.43053,2.6,1577,3,2.816760787,1.313272894
37,G,C,11800.0105,3.9,1132,3.5,0.8990178,1.356931853
38,G,NC,10549.09114,2.3,599,1,1.311603026,1.415900988
39,G,C,8216.584258,5.1,626,3.5,1.300320546,1.388896812
40,G,C,9081.339052,2.4,687,4.5,1.918347681,1.315676887
