"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Packera anonyma",-83.110675,34.349319,"US","Georgia",NA,3709950093,"Asteraceae","SPECIES",3569,1937,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-84.133383,32.19252,"US","Georgia",NA,3709837776,"Apocynaceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-83.775833,33.193217,"US","Georgia",NA,3709979846,"Asteraceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-83.404984,34.067245,"US","Georgia",NA,4030703303,"Apocynaceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.602295,33.83031,"US","Georgia",NA,4030707304,"Poaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.852048,33.185813,"US","Georgia",NA,4030708304,"Poaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-83.852048,33.185813,"US","Georgia",NA,4030703308,"Apocynaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-83.00079,34.387941,"US","Georgia",NA,4030703309,"Asteraceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-83.370185,34.44866,"US","Georgia",NA,3709814979,"Apocynaceae","SPECIES",2782,1996,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-84.160467,34.236388,"US","Georgia",NA,3709962425,"Asteraceae","SPECIES",4301,1941,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-83.533181,32.476683,"US","Georgia",NA,3709834659,"Apocynaceae","SPECIES",NA,2009,"PRESERVED_SPECIMEN","GA",""
"Eryngium yuccifolium",-81.4404,32.1763,"US","Georgia",NA,3709845699,"Apiaceae","VARIETY",NA,2014,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.68235,33.2491,"US","Georgia",NA,3709983867,"Poaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-84.14575,33.806217,"US","Georgia",NA,3709983909,"Asteraceae","SPECIES",966,1935,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-84.143132,33.818908,"US","Georgia",NA,3709983937,"Asteraceae","SPECIES",628,1995,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.83987,31.12892,"US","Georgia",NA,4015888602,"Poaceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-83.7758,31.36057,"US","Georgia",NA,4015890664,"Asteraceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-82.451908,33.439341,"US","Georgia",NA,4030706303,"Poaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Asclepias tuberosa",-83.539397,34.157842,"US","Georgia",NA,4030706309,"Apocynaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-83.334789,33.887,"US","Georgia",NA,4132079315,"Asteraceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-84.017026,34.222864,"US","Georgia",NA,3709953606,"Asteraceae","SPECIES",2427,1955,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-83.182429,34.366324,"US","Georgia",NA,3709964216,"Asteraceae","SPECIES",4263,1989,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-83.481175,32.5706,"US","Georgia",NA,3709973357,"Asteraceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","GA",""
"Packera anonyma",-84.12953,32.197712,"US","Georgia",NA,3709838806,"Asteraceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","GA",""
"Silphium compositum",-84.139071,33.797968,"US","Georgia",NA,3709838905,"Asteraceae","SPECIES",129,1995,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-84.481111,31.260278,"US","Georgia",NA,3710076562,"Asteraceae","SPECIES",NA,2018,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-84.33906,34.30623,"US","Georgia",NA,3709928567,"Asteraceae","SPECIES",NA,2018,"PRESERVED_SPECIMEN","GA",""
"Silphium compositum",-84.55628,34.163712,"US","Georgia",NA,3709928607,"Asteraceae","SPECIES",1220,1988,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-84.806066,32.497752,"US","Georgia",NA,4015893303,"Poaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.131066,33.588352,"US","Georgia",NA,4030708303,"Poaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-83.851759,33.186839,"US","Georgia",NA,4030708309,"Asteraceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-83.538933,32.502858,"US","Georgia",NA,3709807238,"Asteraceae","VARIETY",NA,2010,"PRESERVED_SPECIMEN","GA",""
"Eryngium yuccifolium",-83.969957,30.762714,"US","Georgia",NA,3709954947,"Apiaceae","VARIETY",4925,1987,"PRESERVED_SPECIMEN","GA",""
"Parthenium integrifolium",-84.160467,34.236388,"US","Georgia",NA,3709964833,"Asteraceae","SPECIES",1807,1955,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-83.840639,34.332033,"US","Georgia",NA,3709965092,"Poaceae","SPECIES",3428,1955,"PRESERVED_SPECIMEN","GA",""
"Silphium compositum",-84.136157,32.203299,"US","Georgia",NA,3709985734,"Asteraceae","SPECIES",NA,2014,"PRESERVED_SPECIMEN","GA",""
"Coreopsis major",-84.134544,33.807293,"US","Georgia",NA,3709842924,"Asteraceae","SPECIES",130,1995,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-84.025582,30.844349,"US","Georgia",NA,3710036799,"Poaceae","SPECIES",8159,1985,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-84.029787,30.837596,"US","Georgia",NA,3709926516,"Poaceae","SPECIES",3070,1985,"PRESERVED_SPECIMEN","GA",""
"Eryngium yuccifolium",-84.652163,34.213704,"US","Georgia",NA,3710075619,"Apiaceae","VARIETY",1500,1964,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-84.75677,30.73584,"US","Georgia",NA,4015887656,"Poaceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-82.889704,34.12585,"US","Georgia",NA,4030702304,"Poaceae","SPECIES",NA,2020,"PRESERVED_SPECIMEN","GA",""
"Schizachyrium scoparium",-82.885657,34.123732,"US","Georgia",NA,4030705312,"Poaceae","SPECIES",NA,2021,"PRESERVED_SPECIMEN","GA",""
