"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Arnoglossum atriplicifolium",-84.324478,33.989105,"USA","Georgia",NA,4076118895,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.693802,34.002504,"USA","Georgia",NA,4424547761,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.473584,33.990152,"USA","Georgia",NA,2641311435,"Asteraceae","SPECIES",2104,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.890183,34.04482,"USA","Georgia",NA,4080883599,"Asteraceae","SPECIES",24,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.931122,34.737896,"USA","Georgia",NA,4875331556,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.043945,34.143542,"USA","Georgia",NA,3902221069,"Asteraceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.170259,33.823622,"USA","Georgia",NA,3858371779,"Asteraceae","SPECIES",28902,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.234183,34.868062,"USA","Georgia",NA,4413962468,"Asteraceae","SPECIES",23,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.931122,34.737896,"USA","Georgia",NA,4875531416,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.530308,33.695546,"USA","Georgia",NA,4875454985,"Asteraceae","SPECIES",28930,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.445686,33.913482,"USA","Georgia",NA,3881404296,"Asteraceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.839069,32.841315,"USA","Georgia",NA,4946546806,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-85.150813,34.62272,"USA","Georgia",NA,3873617401,"Asteraceae","SPECIES",6,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.575058,34.874587,"USA","Georgia",NA,4162358847,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.44531,33.90411,"USA","Georgia",NA,2422499210,"Asteraceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","UCR",""
"Arnoglossum atriplicifolium",-85.379945,34.712802,"USA","Georgia",NA,4075829645,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-85.561046,34.894402,"USA","Georgia",NA,2265845112,"Asteraceae","SPECIES",28762,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.4488,33.909087,"USA","Georgia",NA,4919427955,"Asteraceae","SPECIES",22,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.378805,34.02204,"USA","Georgia",NA,3859829410,"Asteraceae","SPECIES",NA,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.54533,34.15754,"USA","Georgia",NA,4900871930,"Asteraceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.301318,34.648876,"USA","Georgia",NA,3892595070,"Asteraceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.381057,33.903088,"USA","Georgia",NA,3872980734,"Asteraceae","SPECIES",55,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.998008,32.567233,"USA","Georgia",NA,3118281377,"Asteraceae","SPECIES",65,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.88112,34.287353,"USA","Georgia",NA,3892624897,"Asteraceae","SPECIES",59,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.245658,34.566822,"USA","Georgia",NA,4597010008,"Asteraceae","SPECIES",7,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.391469,33.901467,"USA","Georgia",NA,3859296949,"Asteraceae","SPECIES",99,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-85.50273,34.940139,"USA","Georgia",NA,2265845870,"Asteraceae","SPECIES",28762,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.706196,34.688518,"USA","Georgia",NA,4516626772,"Asteraceae","SPECIES",187,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.742758,34.801458,"USA","Georgia",NA,4902024126,"Asteraceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.058861,33.894875,"USA","Georgia",NA,4111861944,"Asteraceae","SPECIES",1399,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.38022,34.037095,"USA","Georgia",NA,4597169446,"Asteraceae","SPECIES",70,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.278703,34.042992,"USA","Georgia",NA,3915665373,"Asteraceae","SPECIES",10,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.260178,34.171812,"USA","Georgia",NA,3355189680,"Asteraceae","SPECIES",5,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-84.545731,34.158585,"USA","Georgia",NA,4080597910,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.807047,32.888747,"USA","Georgia",NA,4921731188,"Asteraceae","SPECIES",66,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.915561,33.903712,"USA","Georgia",NA,4102659221,"Asteraceae","SPECIES",24,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Arnoglossum atriplicifolium",-83.366473,33.954138,"USA","Georgia",NA,1986901719,"Asteraceae","SPECIES",2006,1928,"PRESERVED_SPECIMEN","USU",""
"Arnoglossum atriplicifolium",-83.972815,34.738139,"USA","Georgia",NA,3333295321,"Asteraceae","SPECIES",NA,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
