"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Asclepias tuberosa",-85.302827,34.954898,"USA","Georgia",NA,4145454307,"Apocynaceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.022261,32.727944,"USA","Georgia",NA,3320951983,"Apocynaceae","SPECIES",50,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.234071,33.792888,"USA","Georgia",NA,4908997213,"Apocynaceae","SPECIES",40,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-85.449298,34.861265,"USA","Georgia",NA,4145734965,"Apocynaceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-83.435874,34.712481,"USA","Georgia",NA,2850903450,"Apocynaceae","SPECIES",11,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-85.540138,34.675052,"USA","Georgia",NA,4868119079,"Apocynaceae","SPECIES",28790,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.366543,34.546121,"USA","Georgia",NA,2856663117,"Apocynaceae","SPECIES",48,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-82.111585,32.547401,"USA","Georgia",NA,4867867888,"Apocynaceae","SPECIES",5,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.304779,33.172523,"USA","Georgia",NA,3013929357,"Apocynaceae","SUBSPECIES",NA,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-83.299944,34.634722,"USA","Georgia",NA,4161978985,"Apocynaceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-81.911951,32.1465,"USA","Georgia",NA,2626659333,"Apocynaceae","SPECIES",9,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-82.422605,33.379798,"USA","Georgia",NA,1880481512,"Apocynaceae","SPECIES",9,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.726845,32.823128,"USA","Georgia",NA,3947296345,"Apocynaceae","SPECIES",7000,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-81.880425,31.676675,"USA","Georgia",NA,4872530043,"Apocynaceae","SPECIES",16,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-83.388245,34.540042,"USA","Georgia",NA,4121388833,"Apocynaceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-83.733949,33.978205,"USA","Georgia",NA,4872043578,"Apocynaceae","SPECIES",25,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.499893,34.678524,"USA","Georgia",NA,3892403591,"Apocynaceae","SPECIES",40,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-85.477531,34.786328,"USA","Georgia",NA,3328119374,"Apocynaceae","SPECIES",45,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-85.075962,34.597626,"USA","Georgia",NA,3873746796,"Apocynaceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.943623,32.615876,"USA","Georgia",NA,3889060556,"Apocynaceae","SPECIES",29066,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-83.374955,32.782137,"USA","Georgia",NA,4126895199,"Apocynaceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.369562,33.794103,"USA","Georgia",NA,1898797498,"Apocynaceae","SPECIES",10,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-83.314334,34.493388,"USA","Georgia",NA,3321032556,"Apocynaceae","SPECIES",6,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-85.361162,34.390533,"USA","Georgia",NA,3902769446,"Apocynaceae","SUBSPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.470225,34.303612,"USA","Georgia",NA,4153678115,"Apocynaceae","SPECIES",28846,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.891097,32.56184,"USA","Georgia",NA,3888889076,"Apocynaceae","SPECIES",29093,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.713806,34.656161,"USA","Georgia",NA,1990584320,"Apocynaceae","SPECIES",NA,2016,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.875458,30.801083,"USA","Georgia",NA,3013946183,"Apocynaceae","SPECIES",10,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.851722,33.993437,"USA","Georgia",NA,4872275945,"Apocynaceae","SPECIES",28902,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.279651,33.773415,"USA","Georgia",NA,2634346314,"Apocynaceae","SPECIES",5,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Asclepias tuberosa",-84.881914,33.412214,"USA","Georgia",NA,3858352368,"Apocynaceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
