"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Chamaecrista fasciculata",-85.505539,34.858382,"USA","Georgia",NA,3325566365,"Fabaceae","SPECIES",6,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.867248,34.239601,"USA","Georgia",NA,4171255745,"Fabaceae","SPECIES",6,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.36,33.763162,"USA","Georgia",NA,2282997466,"Fabaceae","SPECIES",50,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.695432,34.599709,"USA","Georgia",NA,4414062594,"Fabaceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.7463,33.11998,"USA","Georgia",NA,3337415296,"Fabaceae","SPECIES",1494,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.046735,34.051717,"USA","Georgia",NA,4399871377,"Fabaceae","SPECIES",194,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.192925,34.807572,"USA","Georgia",NA,4414331678,"Fabaceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.402283,34.78652,"USA","Georgia",NA,2850924536,"Fabaceae","SPECIES",10,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.206223,34.423478,"USA","Georgia",NA,2517956366,"Fabaceae","SPECIES",12,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.396483,32.765933,"USA","Georgia",NA,4407477981,"Fabaceae","SPECIES",5,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.390244,33.840092,"USA","Georgia",NA,3307339019,"Fabaceae","SPECIES",67,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.4544,33.907444,"USA","Georgia",NA,3889010784,"Fabaceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.949699,34.791656,"USA","Georgia",NA,3902518444,"Fabaceae","SPECIES",35,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.146202,33.794117,"USA","Georgia",NA,2282998480,"Fabaceae","SPECIES",NA,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.449538,33.91148,"USA","Georgia",NA,4910749549,"Fabaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.124986,33.672497,"USA","Georgia",NA,2366105868,"Fabaceae","SPECIES",96,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.725037,34.016556,"USA","Georgia",NA,3355809736,"Fabaceae","SPECIES",4,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.352761,33.808945,"USA","Georgia",NA,2397517550,"Fabaceae","SPECIES",9,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.37353,33.800084,"USA","Georgia",NA,4919213578,"Fabaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.402074,32.897363,"USA","Georgia",NA,4910766581,"Fabaceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.057608,30.930857,"USA","Georgia",NA,4952754158,"Fabaceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.239283,33.734341,"USA","Georgia",NA,4177445512,"Fabaceae","SPECIES",28930,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.787323,33.701862,"USA","Georgia",NA,3912476568,"Fabaceae","SPECIES",116,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.572033,33.853908,"USA","Georgia",NA,4046460650,"Fabaceae","SPECIES",NA,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-82.862511,31.743721,"USA","Georgia",NA,4945776812,"Fabaceae","SPECIES",478,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.440344,33.920448,"USA","Georgia",NA,4407349890,"Fabaceae","SPECIES",64,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.177429,31.246842,"USA","Georgia",NA,1640042883,"Fabaceae","SPECIES",29252,2017,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-82.019444,33.529167,"USA","Georgia",NA,4399881366,"Fabaceae","SPECIES",NA,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-82.779147,33.205155,"USA","Georgia",NA,4945909145,"Fabaceae","SPECIES",87,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.852996,30.718064,"USA","Georgia",NA,4867803616,"Fabaceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.470294,31.18495,"USA","Georgia",NA,2331854784,"Fabaceae","SPECIES",NA,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.39078,32.55831,"USA","Georgia",NA,4925942025,"Fabaceae","SPECIES",248,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.398631,33.951766,"USA","Georgia",NA,2850760182,"Fabaceae","SPECIES",10,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.165173,31.763262,"USA","Georgia",NA,3355587683,"Fabaceae","SPECIES",29199,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.43943,34.803813,"USA","Georgia",NA,3903056619,"Fabaceae","SPECIES",6,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.444728,33.940565,"USA","Georgia",NA,4407264726,"Fabaceae","SPECIES",9,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.358482,33.731941,"USA","Georgia",NA,3859777970,"Fabaceae","SPECIES",40,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.411133,33.721191,"USA","Georgia",NA,4923833525,"Fabaceae","SPECIES",8,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.867371,34.239526,"USA","Georgia",NA,2868137721,"Fabaceae","SPECIES",26,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.900095,33.914213,"USA","Georgia",NA,2963837909,"Fabaceae","SPECIES",5,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.206872,33.792876,"USA","Georgia",NA,3325564347,"Fabaceae","SPECIES",5,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.567437,34.516145,"USA","Georgia",NA,3355670417,"Fabaceae","SPECIES",4,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.435028,33.937612,"USA","Georgia",NA,4936080133,"Fabaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.355026,33.807757,"USA","Georgia",NA,2856559795,"Fabaceae","SPECIES",110,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.477739,33.819524,"USA","Georgia",NA,2823240649,"Fabaceae","SPECIES",8,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.527064,31.485913,"USA","Georgia",NA,4937084383,"Fabaceae","SPECIES",18,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.40062,33.778912,"USA","Georgia",NA,3355590556,"Fabaceae","SPECIES",6,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.386224,33.841153,"USA","Georgia",NA,4137905722,"Fabaceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.398545,33.952137,"USA","Georgia",NA,3902994914,"Fabaceae","SPECIES",140,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.733055,33.722963,"USA","Georgia",NA,4908213870,"Fabaceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.362125,33.768865,"USA","Georgia",NA,1640046802,"Fabaceae","SPECIES",15,2017,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.384727,33.9995,"USA","Georgia",NA,2270647449,"Fabaceae","SPECIES",800,2007,"PRESERVED_SPECIMEN","ASU",""
"Chamaecrista fasciculata",-84.443763,34.192967,"USA","Georgia",NA,4400383310,"Fabaceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.05154,34.056988,"USA","Georgia",NA,4407565163,"Fabaceae","SPECIES",1004,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.439154,33.921637,"USA","Georgia",NA,3892697937,"Fabaceae","SPECIES",244,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-81.442147,32.102489,"USA","Georgia",NA,3902616054,"Fabaceae","SPECIES",5,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.637872,33.575833,"USA","Georgia",NA,4875251662,"Fabaceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.439378,34.804005,"USA","Georgia",NA,2802708268,"Fabaceae","SPECIES",6,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.667313,33.816894,"USA","Georgia",NA,2856629843,"Fabaceae","SPECIES",65,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.746674,33.12087,"USA","Georgia",NA,3888817933,"Fabaceae","SPECIES",1050,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-81.916759,31.551434,"USA","Georgia",NA,1930936913,"Fabaceae","SPECIES",NA,1947,"PRESERVED_SPECIMEN","NY","Vascular plants"
"Chamaecrista fasciculata",-83.402137,32.897419,"USA","Georgia",NA,4953027974,"Fabaceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-83.36258,33.933906,"USA","Georgia",NA,3881876902,"Fabaceae","SPECIES",31,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.682292,32.482906,"USA","Georgia",NA,3766329886,"Fabaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Chamaecrista fasciculata",-84.696699,32.506419,"USA","Georgia",NA,3766329888,"Fabaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Chamaecrista fasciculata",-84.682292,32.482906,"USA","Georgia",NA,3766329894,"Fabaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Chamaecrista fasciculata",-84.693958,32.482528,"USA","Georgia",NA,3766329895,"Fabaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Chamaecrista fasciculata",-84.885244,32.288609,"USA","Georgia",NA,3766329902,"Fabaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Chamaecrista fasciculata",-84.696699,32.506419,"USA","Georgia",NA,3766329908,"Fabaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Chamaecrista fasciculata",-84.589722,32.343334,"USA","Georgia",NA,3766338771,"Fabaceae","SPECIES",NA,2004,"PRESERVED_SPECIMEN","AUA",""
"Chamaecrista fasciculata",-83.073417,34.026052,"USA","Georgia",NA,4399902226,"Fabaceae","SPECIES",757,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Chamaecrista fasciculata",-84.303688,33.80583,"USA","Georgia",NA,4936416337,"Fabaceae","SPECIES",12,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
