"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Eryngium yuccifolium",-84.05448,30.620351,"USA","Georgia",NA,3889092269,"Apiaceae","SPECIES",29330,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-82.157772,30.713889,"USA","Georgia",NA,1883468362,"Apiaceae","SPECIES",12,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.155364,33.638983,"USA","Georgia",NA,4172162376,"Apiaceae","SPECIES",12,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.319512,34.466427,"USA","Georgia",NA,3985925604,"Apiaceae","SPECIES",28818,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.540155,31.177867,"USA","Georgia",NA,3759590122,"Apiaceae","SPECIES",15,2017,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.470814,31.2091,"USA","Georgia",NA,2269299308,"Apiaceae","SPECIES",NA,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-81.967261,33.385611,"USA","Georgia",NA,3889051356,"Apiaceae","SPECIES",33,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.233844,33.793193,"USA","Georgia",NA,4416674852,"Apiaceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.400365,33.779258,"USA","Georgia",NA,4413609035,"Apiaceae","SPECIES",7,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.364732,33.774645,"USA","Georgia",NA,3889133358,"Apiaceae","SPECIES",65,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-83.575011,34.873936,"USA","Georgia",NA,3321075848,"Apiaceae","SPECIES",4,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-81.389304,31.223462,"USA","Georgia",NA,3873150637,"Apiaceae","SPECIES",9,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.007784,30.759625,"USA","Georgia",NA,4153844111,"Apiaceae","SPECIES",NA,2014,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-84.186553,30.999563,"USA","Georgia",NA,2269330068,"Apiaceae","SPECIES",29304,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Eryngium yuccifolium",-81.967185,33.385482,"USA","Georgia",NA,4867863244,"Apiaceae","SPECIES",14,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
