"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Helianthus atrorubens",-83.707369,34.418262,"USA","Georgia",NA,3344420691,"Asteraceae","SPECIES",1510,1978,"PRESERVED_SPECIMEN","CLEMS",""
"Helianthus atrorubens",-83.45008,34.75343,"USA","Georgia",NA,3892346331,"Asteraceae","SPECIES",NA,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-83.707369,34.418262,"USA","Georgia",NA,3709950457,"Asteraceae","SPECIES",1510,1978,"PRESERVED_SPECIMEN","GA",""
"Helianthus atrorubens",-84.55393,34.196382,"USA","Georgia",NA,3709932605,"Asteraceae","SPECIES",1610,1948,"PRESERVED_SPECIMEN","GA",""
"Helianthus atrorubens",-85.38623,34.919445,"USA","Georgia",NA,3961116666,"Asteraceae","SPECIES",191,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-85.370628,34.944794,"USA","Georgia",NA,3889148323,"Asteraceae","SPECIES",4,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-83.974113,34.740978,"USA","Georgia",NA,3892626352,"Asteraceae","SPECIES",10,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-84.472632,34.837804,"USA","Georgia",NA,4062575479,"Asteraceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-85.448768,34.861487,"USA","Georgia",NA,4145799631,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-84.473998,34.837981,"USA","Georgia",NA,4924161932,"Asteraceae","SPECIES",130,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-85.393678,34.927833,"USA","Georgia",NA,3888977327,"Asteraceae","SPECIES",4,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-85.383072,34.922245,"USA","Georgia",NA,3888837379,"Asteraceae","SPECIES",20,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-83.565362,34.799253,"USA","Georgia",NA,3888857360,"Asteraceae","SPECIES",49,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-82.854562,32.740361,"USA","Georgia",NA,2366038896,"Asteraceae","SPECIES",2501884,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-85.349633,33.930538,"USA","Georgia",NA,3399145370,"Asteraceae","SPECIES",5,2017,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-84.042476,34.247282,"USA","Georgia",NA,4935776248,"Asteraceae","SPECIES",28846,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-84.057276,34.77302,"USA","Georgia",NA,3892479354,"Asteraceae","SPECIES",28790,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-83.402492,34.882236,"USA","Georgia",NA,4153062035,"Asteraceae","SPECIES",NA,1963,"PRESERVED_SPECIMEN","FSU",""
"Helianthus atrorubens",-83.280817,34.995581,"USA","Georgia",NA,3707757613,"Asteraceae","SPECIES",NA,2014,"PRESERVED_SPECIMEN","MMNS",""
"Helianthus atrorubens",-83.19693,34.997605,"USA","Georgia",NA,1586141371,"Asteraceae","SPECIES",NA,2017,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-84.02962,34.75724,"USA","Georgia",NA,3902778487,"Asteraceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Helianthus atrorubens",-84.475057,34.244317,"USA","Georgia",NA,1990172711,"Asteraceae","SPECIES",NA,NA,"PRESERVED_SPECIMEN","NCSC",""
