"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Liatris elegantula",-83.689327,33.072433,"USA","Georgia",NA,4162048291,"Asteraceae","SPECIES",195,2014,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris elegantula",-84.595577,33.95837,"USA","Georgia",NA,4046516369,"Asteraceae","SPECIES",36,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris elegantula",-81.324914,31.602648,"USA","Georgia",NA,4424078680,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris elegantula",-83.689327,33.072433,"USA","Georgia",NA,4162279136,"Asteraceae","SPECIES",195,2014,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris elegantula",-82.682151,34.114222,"USA","Georgia",NA,4853571718,"Asteraceae","SPECIES",904,1977,"PRESERVED_SPECIMEN","KU","R. L. McGregor Herbarium Vascular Plants Collection"
"Liatris elegantula",-83.941317,34.260105,"USA","Georgia",NA,4853571772,"Asteraceae","SPECIES",8532,1955,"PRESERVED_SPECIMEN","KU","R. L. McGregor Herbarium Vascular Plants Collection"
"Liatris elegantula",-83.596707,33.654992,"USA","Georgia",NA,4853572451,"Asteraceae","SPECIES",4103,1978,"PRESERVED_SPECIMEN","KU","R. L. McGregor Herbarium Vascular Plants Collection"
"Liatris elegantula",-83.604232,33.665736,"USA","Georgia",NA,4853571916,"Asteraceae","SPECIES",517,1978,"PRESERVED_SPECIMEN","KU","R. L. McGregor Herbarium Vascular Plants Collection"
"Liatris elegantula",-81.36653,31.776411,"USA","Georgia",NA,4853572065,"Asteraceae","SPECIES",650,1984,"PRESERVED_SPECIMEN","KU","R. L. McGregor Herbarium Vascular Plants Collection"
"Liatris elegantula",-84.92361,33.502743,"USA","Georgia",NA,4516276452,"Asteraceae","SPECIES",23,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris elegantula",-84.889168,32.28389,"USA","Georgia",NA,3766271703,"Asteraceae","SPECIES",NA,2001,"PRESERVED_SPECIMEN","AUA",""
"Liatris elegantula",-84.78611,32.404167,"USA","Georgia",NA,3766271706,"Asteraceae","SPECIES",NA,2000,"PRESERVED_SPECIMEN","AUA",""
"Liatris elegantula",-84.154529,33.753359,"USA","Georgia",NA,2859314864,"Asteraceae","SPECIES",4021,1991,"PRESERVED_SPECIMEN","CM",""
"Liatris elegantula",-84.019645,30.832324,"USA","Georgia",NA,3709961027,"Asteraceae","SPECIES",4086,1997,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-84.160467,34.236388,"USA","Georgia",NA,3709944144,"Asteraceae","SPECIES",4468,1955,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-84.157429,34.242784,"USA","Georgia",NA,3709951895,"Asteraceae","SPECIES",4651,1955,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-83.558967,32.466725,"USA","Georgia",NA,3709815082,"Asteraceae","SPECIES",NA,2010,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-84.29409,34.075376,"USA","Georgia",NA,3709946684,"Asteraceae","SPECIES",8528,1932,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-84.128221,32.202753,"USA","Georgia",NA,3709843771,"Asteraceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-84.33994,34.30364,"USA","Georgia",NA,3710072569,"Asteraceae","SPECIES",NA,2018,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-83.528172,32.496594,"USA","Georgia",NA,3709806989,"Asteraceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-84.025582,30.844349,"USA","Georgia",NA,3710036797,"Asteraceae","SPECIES",8159,1985,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-84.188036,34.348356,"USA","Georgia",NA,4132081310,"Asteraceae","SPECIES",100,2021,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-84.491671,34.236857,"USA","Georgia",NA,3709932570,"Asteraceae","SPECIES",3000,1985,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-84.75677,30.73584,"USA","Georgia",NA,4015888630,"Asteraceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-84.76644,30.804243,"USA","Georgia",NA,4132082335,"Asteraceae","SPECIES",NA,2009,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-84.000992,30.771196,"USA","Georgia",NA,3709828847,"Asteraceae","SPECIES",4017,1987,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-83.970687,30.989344,"USA","Georgia",NA,3709973977,"Asteraceae","SPECIES",12861,1969,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-83.3872,33.90182,"USA","Georgia",NA,3709984688,"Asteraceae","SPECIES",NA,2015,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-84.633635,34.134463,"USA","Georgia",NA,3710076607,"Asteraceae","SPECIES",1610,1948,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-83.352942,31.043619,"USA","Georgia",NA,4911407046,"Asteraceae","SPECIES",NA,2003,"PRESERVED_SPECIMEN","GA",""
"Liatris elegantula",-83.528172,32.496389,"USA","Georgia",NA,1932899887,"Asteraceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","UTEP",""
"Liatris elegantula",-83.528172,32.496594,"USA","Georgia",NA,4511528307,"Asteraceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","FLAS",""
"Liatris elegantula",-81.808105,31.009128,"USA","Georgia",NA,4028668468,"Asteraceae","SPECIES",5,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
