"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Liatris microcephala",-84.60408,33.387181,"USA","Georgia",NA,3031663305,"Asteraceae","SPECIES",337,2014,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-84.119697,33.659138,"USA","Georgia",NA,3743059405,"Asteraceae","SPECIES",36,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-84.157085,33.808621,"USA","Georgia",NA,4431041608,"Asteraceae","SPECIES",447,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-82.99196,33.9693,"USA","Georgia",NA,4853572373,"Asteraceae","SPECIES",6453,1962,"PRESERVED_SPECIMEN","KU","R. L. McGregor Herbarium Vascular Plants Collection"
"Liatris microcephala",-83.333333,34.666667,"USA","Georgia",NA,2560339955,"Asteraceae","SPECIES",NA,1987,"PRESERVED_SPECIMEN","OBI",""
"Liatris microcephala",-83.30921,34.63837,"USA","Georgia",NA,4873181840,"Asteraceae","SPECIES",NA,2022,"PRESERVED_SPECIMEN","CLEMS",""
"Liatris microcephala",-84.11825,33.665109,"USA","Georgia",NA,3709945711,"Asteraceae","SPECIES",1353,1976,"PRESERVED_SPECIMEN","GA",""
"Liatris microcephala",-84.14575,33.806217,"USA","Georgia",NA,3709985925,"Asteraceae","SPECIES",966,1995,"PRESERVED_SPECIMEN","GA",""
"Liatris microcephala",-84.1453,33.8056,"USA","Georgia",NA,1928200492,"Asteraceae","SPECIES",NA,1894,"PRESERVED_SPECIMEN","NY","Vascular plants"
"Liatris microcephala",-84.12345,33.660122,"USA","Georgia",NA,4950080180,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-84.155953,33.808625,"USA","Georgia",NA,3743077370,"Asteraceae","SPECIES",21,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-82.649727,32.873086,"USA","Georgia",NA,3456610235,"Asteraceae","SPECIES",29039,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-83.678122,34.724033,"USA","Georgia",NA,3743247308,"Asteraceae","SPECIES",5,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-84.118919,33.663866,"USA","Georgia",NA,3743198388,"Asteraceae","SPECIES",NA,2005,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-84.839593,33.712618,"USA","Georgia",NA,4935950225,"Asteraceae","SPECIES",28930,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-84.158638,33.810244,"USA","Georgia",NA,3743026407,"Asteraceae","SPECIES",63,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-85.416595,34.141572,"USA","Georgia",NA,3743220328,"Asteraceae","SPECIES",5,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-84.120595,33.670705,"USA","Georgia",NA,3743003334,"Asteraceae","SPECIES",83,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-84.167962,33.815145,"USA","Georgia",NA,3743176375,"Asteraceae","SPECIES",1414,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-85.143578,33.245146,"USA","Georgia",NA,1978816846,"Asteraceae","SPECIES",5,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-83.413672,34.536758,"USA","Georgia",NA,4936589998,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris microcephala",-82.706664,34.095281,"USA","Georgia",NA,4929917239,"Asteraceae","SPECIES",6214,1947,"PRESERVED_SPECIMEN","PH",""
"Liatris microcephala",-83.074081,33.866806,"USA","Georgia",NA,1990254918,"Asteraceae","SPECIES",NA,NA,"PRESERVED_SPECIMEN","NCSC",""
