"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Liatris spicata",-84.429749,34.94841,"USA","Georgia",NA,3961007393,"Asteraceae","SPECIES",NA,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-84.197041,32.039969,"USA","Georgia",NA,1931014331,"Asteraceae","SPECIES",NA,1896,"PRESERVED_SPECIMEN","NY","Vascular plants"
"Liatris spicata",-84.5092,31.5822,"USA","Georgia",1,1456137205,"Asteraceae","SPECIES",NA,1991,"PRESERVED_SPECIMEN","US","NMNH Extant Biology"
"Liatris spicata",-83.7025,31.7317,"USA","Georgia",NA,1848013629,"Asteraceae","SPECIES",NA,1991,"PRESERVED_SPECIMEN","USF",""
"Liatris spicata",-85.439079,34.794896,"USA","Georgia",NA,4853572244,"Asteraceae","VARIETY",352,1979,"PRESERVED_SPECIMEN","KU","R. L. McGregor Herbarium Vascular Plants Collection"
"Liatris spicata",-82.141792,30.711675,"USA","Georgia",NA,3963551605,"Asteraceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-85.383142,34.922087,"USA","Georgia",NA,2350325844,"Asteraceae","SPECIES",8000,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-81.686767,31.104106,"USA","Georgia",NA,3384886308,"Asteraceae","VARIETY",10,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-82.170278,30.659914,"USA","Georgia",NA,3391382057,"Asteraceae","SPECIES",29330,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-84.021572,30.837362,"USA","Georgia",NA,3709951143,"Asteraceae","SPECIES",3858,1996,"PRESERVED_SPECIMEN","GA",""
"Liatris spicata",-84.14575,33.806217,"USA","Georgia",NA,3709980913,"Asteraceae","SPECIES",966,1929,"PRESERVED_SPECIMEN","GA",""
"Liatris spicata",-84.037692,30.959181,"USA","Georgia",NA,3709805671,"Asteraceae","SPECIES",8319,1996,"PRESERVED_SPECIMEN","GA",""
"Liatris spicata",-84.063681,31.572752,"USA","Georgia",NA,3709961685,"Asteraceae","SPECIES",1777,1930,"PRESERVED_SPECIMEN","GA",""
"Liatris spicata",-84.519195,34.340543,"USA","Georgia",NA,3709934614,"Asteraceae","SPECIES",1000,1988,"PRESERVED_SPECIMEN","GA",""
"Liatris spicata",-81.888487,30.836586,"USA","Georgia",NA,4911406698,"Asteraceae","SPECIES",NA,2003,"PRESERVED_SPECIMEN","GA",""
"Liatris spicata",-84.017222,30.844167,"USA","Georgia",NA,3709804761,"Asteraceae","SPECIES",100,1990,"PRESERVED_SPECIMEN","GA",""
"Liatris spicata",-83.464689,32.422036,"USA","Georgia",NA,3709800558,"Asteraceae","SPECIES",NA,2009,"PRESERVED_SPECIMEN","GA",""
"Liatris spicata",-84.14575,33.806217,"USA","Georgia",NA,3709986907,"Asteraceae","SPECIES",966,1894,"PRESERVED_SPECIMEN","GA",""
"Liatris spicata",-84.535042,34.246804,"USA","Georgia",NA,3710074573,"Asteraceae","SPECIES",1500,1948,"PRESERVED_SPECIMEN","GA",""
"Liatris spicata",-84.130285,33.801173,"USA","Georgia",NA,3709838965,"Asteraceae","SPECIES",97,1995,"PRESERVED_SPECIMEN","GA",""
"Liatris spicata",-81.607497,31.323943,"USA","Georgia",NA,2802930502,"Asteraceae","SPECIES",122,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-81.940583,30.942955,"USA","Georgia",NA,3963268613,"Asteraceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-83.888606,32.849163,"USA","Georgia",NA,3391507655,"Asteraceae","SPECIES",251,2010,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-84.438828,34.804395,"USA","Georgia",NA,4162486618,"Asteraceae","SPECIES",5,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-81.281762,31.428822,"USA","Georgia",NA,1920825085,"Asteraceae","SPECIES",5,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-84.119335,33.672245,"USA","Georgia",NA,2862499932,"Asteraceae","SPECIES",NA,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris spicata",-85.48793,34.814858,"USA","Georgia",NA,2818522544,"Asteraceae","SPECIES",5,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
