"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Liatris squarrosa",-83.7131,31.7283,"USA","Georgia",NA,1848013344,"Asteraceae","SPECIES",NA,1991,"PRESERVED_SPECIMEN","USF",""
"Liatris squarrosa",-84.507158,32.868979,"USA","Georgia",NA,4919358443,"Asteraceae","SPECIES",29039,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris squarrosa",-81.974838,33.47097,"USA","Georgia",NA,1930471398,"Asteraceae","SPECIES",NA,1898,"PRESERVED_SPECIMEN","NY","Vascular plants"
"Liatris squarrosa",-84.59695,33.937289,"USA","Georgia",NA,4022002140,"Asteraceae","SPECIES",2,2017,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris squarrosa",-85.229104,34.939524,"USA","Georgia",NA,2859316887,"Asteraceae","VARIETY",6905,1991,"PRESERVED_SPECIMEN","CM",""
"Liatris squarrosa",-85.254474,34.933588,"USA","Georgia",NA,4908355549,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris squarrosa",-84.512878,32.89315,"USA","Georgia",NA,2802874210,"Asteraceae","SPECIES",17,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris squarrosa",-85.410395,34.817797,"USA","Georgia",NA,3923440151,"Asteraceae","SPECIES",11,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris squarrosa",-84.553051,33.946943,"USA","Georgia",NA,4177040351,"Asteraceae","SPECIES",28902,2018,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Liatris squarrosa",-83.919197,30.864153,"USA","Georgia",NA,4153053732,"Asteraceae","SPECIES",NA,NA,"PRESERVED_SPECIMEN","TTRS",""
"Liatris squarrosa",-84.705477,32.869884,"USA","Georgia",NA,4929909768,"Asteraceae","VARIETY",3970,1944,"PRESERVED_SPECIMEN","PH",""
