"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Packera anonyma",-83.1746,33.451453,"USA","Georgia",NA,2626255258,"Asteraceae","SPECIES",16,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-82.993161,31.890765,"USA","Georgia",NA,3746967028,"Asteraceae","SPECIES",43883,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-83.65708,34.69527,"USA","Georgia",NA,4137778765,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-81.822885,32.338205,"USA","Georgia",NA,4852576881,"Asteraceae","SPECIES",5,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-83.234643,33.83526,"USA","Georgia",NA,2620124294,"Asteraceae","SPECIES",28902,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-84.488363,33.520559,"USA","Georgia",NA,2611191369,"Asteraceae","SPECIES",10,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-83.912816,33.906086,"USA","Georgia",NA,4103144161,"Asteraceae","SPECIES",24,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-83.848325,34.93339,"USA","Georgia",NA,4852787524,"Asteraceae","SPECIES",1980,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-83.430679,33.903648,"USA","Georgia",NA,3764213825,"Asteraceae","SPECIES",33,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-84.230186,32.755131,"USA","Georgia",NA,4852500128,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-84.303481,33.778314,"USA","Georgia",NA,4855366279,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-84.597169,33.933653,"USA","Georgia",NA,4096968311,"Asteraceae","SPECIES",117,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-84.125603,33.667192,"USA","Georgia",NA,4009893165,"Asteraceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-84.527292,34.539738,"USA","Georgia",NA,4130135681,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-84.445883,33.936012,"USA","Georgia",NA,4852210769,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-85.536652,34.668375,"USA","Georgia",NA,3773462313,"Asteraceae","SPECIES",2532,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-84.378996,33.793417,"USA","Georgia",NA,3858365015,"Asteraceae","SPECIES",41,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-84.404237,33.996608,"USA","Georgia",NA,4852762883,"Asteraceae","SPECIES",19,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-84.707535,33.57761,"USA","Georgia",NA,2447828342,"Asteraceae","SPECIES",NA,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-84.535528,33.999307,"USA","Georgia",NA,3112699708,"Asteraceae","SPECIES",10,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Packera anonyma",-84.87546,33.704095,"USA","Georgia",NA,2311276981,"Asteraceae","SPECIES",NA,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
