"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Parthenium integrifolium",-83.4141,34.5377,"USA","Georgia",NA,4103133123,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-83.4141,34.5377,"USA","Georgia",NA,3337768094,"Asteraceae","SPECIES",NA,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-84.399977,33.778738,"USA","Georgia",NA,3873387497,"Asteraceae","SPECIES",65,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-85.072147,34.573236,"USA","Georgia",NA,3985667939,"Asteraceae","SPECIES",46,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-84.400591,33.779111,"USA","Georgia",NA,4946599388,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-85.553773,34.135788,"USA","Georgia",NA,4901069991,"Asteraceae","SPECIES",28874,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-83.898169,33.916299,"USA","Georgia",NA,3872867661,"Asteraceae","SPECIES",24,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-83.575303,34.874839,"USA","Georgia",NA,3873045478,"Asteraceae","SPECIES",16,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-85.113494,33.573638,"USA","Georgia",NA,3802789341,"Asteraceae","SPECIES",41,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-85.232297,34.941961,"USA","Georgia",NA,4096629339,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-83.575264,34.874512,"USA","Georgia",NA,4599942180,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-83.386146,34.537261,"USA","Georgia",NA,1843219923,"Asteraceae","VARIETY",491,1959,"PRESERVED_SPECIMEN","KU","R. L. McGregor Herbarium Vascular Plants Collection"
"Parthenium integrifolium",-83.975204,34.740926,"USA","Georgia",NA,1843219956,"Asteraceae","VARIETY",2395,1978,"PRESERVED_SPECIMEN","KU","R. L. McGregor Herbarium Vascular Plants Collection"
"Parthenium integrifolium",-82.827915,34.224275,"USA","Georgia",NA,1843219934,"Asteraceae","VARIETY",385,1977,"PRESERVED_SPECIMEN","KU","R. L. McGregor Herbarium Vascular Plants Collection"
"Parthenium integrifolium",-85.402454,34.930807,"USA","Georgia",NA,4891655485,"Asteraceae","SPECIES",NA,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-85.061276,33.598452,"USA","Georgia",NA,3873335493,"Asteraceae","SPECIES",15,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-85.107947,33.569905,"USA","Georgia",NA,4872113566,"Asteraceae","SPECIES",137,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-85.108113,33.569884,"USA","Georgia",NA,4121108770,"Asteraceae","SPECIES",7,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Parthenium integrifolium",-85.314722,33.856111,"USA","Georgia",NA,2859030136,"Asteraceae","SPECIES",100,2003,"PRESERVED_SPECIMEN","CM",""
"Parthenium integrifolium",-84.87815,33.44277,"USA","Georgia",NA,1563148006,"Asteraceae","SPECIES",NA,2016,"PRESERVED_SPECIMEN","LSU",""
