"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Schizachyrium scoparium",-83.9309,34.7732,"USA","Georgia",NA,1849186029,"Poaceae","SPECIES",NA,2014,"PRESERVED_SPECIMEN","USCH",""
"Schizachyrium scoparium",-84.11565,31.30128,"USA","Georgia",NA,3978733150,"Poaceae","SPECIES",11327,2003,"PRESERVED_SPECIMEN","BAYLU",""
"Schizachyrium scoparium",-84.806066,32.497752,"USA","Georgia",NA,3766326320,"Poaceae","VARIETY",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Schizachyrium scoparium",-84.696699,32.506419,"USA","Georgia",NA,3766326321,"Poaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Schizachyrium scoparium",-84.824718,32.511218,"USA","Georgia",NA,3766326318,"Poaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Schizachyrium scoparium",-84.824718,32.511218,"USA","Georgia",NA,3766326350,"Poaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Schizachyrium scoparium",-84.885244,32.288609,"USA","Georgia",NA,3766326352,"Poaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Schizachyrium scoparium",-84.639369,32.490922,"USA","Georgia",NA,3766326357,"Poaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Schizachyrium scoparium",-84.650563,32.495273,"USA","Georgia",NA,3766326355,"Poaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Schizachyrium scoparium",-84.639369,32.490922,"USA","Georgia",NA,3766326356,"Poaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Schizachyrium scoparium",-84.693958,32.482528,"USA","Georgia",NA,3766326359,"Poaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Schizachyrium scoparium",-84.791487,32.392882,"USA","Georgia",NA,3766326358,"Poaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Schizachyrium scoparium",-84.791487,32.392882,"USA","Georgia",NA,3766326364,"Poaceae","VARIETY",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Schizachyrium scoparium",-84.826298,32.445536,"USA","Georgia",NA,3766326362,"Poaceae","SPECIES",NA,2005,"PRESERVED_SPECIMEN","AUA",""
"Schizachyrium scoparium",-83.333333,33.95,"USA","Georgia",NA,1986873993,"Poaceae","VARIETY",NA,1928,"PRESERVED_SPECIMEN","USU",""
