"species","decimalLongitude","decimalLatitude","countryCode","stateProvince","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","datasetName"
"Silphium compositum",-84.312347,34.781712,"USA","Georgia",NA,4946578402,"Asteraceae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-85.162391,34.68375,"USA","Georgia",NA,3902540497,"Asteraceae","SPECIES",33,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.067794,34.66138,"USA","Georgia",NA,4130205169,"Asteraceae","SPECIES",134,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-82.565732,32.674614,"USA","Georgia",NA,4923790140,"Asteraceae","VARIETY",29066,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.038972,34.499088,"USA","Georgia",NA,4852001816,"Asteraceae","SPECIES",22,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-85.07304,34.574265,"USA","Georgia",NA,3961222196,"Asteraceae","SPECIES",24,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.918088,34.030761,"USA","Georgia",NA,4936096115,"Asteraceae","SPECIES",4,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.933846,33.970924,"USA","Georgia",NA,3302036495,"Asteraceae","SPECIES",24,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-85.370644,34.944714,"USA","Georgia",NA,2864877142,"Asteraceae","SPECIES",4,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-85.383537,34.92225,"USA","Georgia",NA,3384201693,"Asteraceae","SPECIES",13,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-83.46178,34.534796,"USA","Georgia",NA,4946416013,"Asteraceae","SPECIES",193,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-82.216446,31.142319,"USA","Georgia",NA,4424223782,"Asteraceae","SPECIES",198,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.134783,33.806107,"USA","Georgia",NA,3925324651,"Asteraceae","SPECIES",21,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-83.835737,34.951057,"USA","Georgia",NA,2294418898,"Asteraceae","SPECIES",2500,2019,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.793782,34.187021,"USA","Georgia",NA,3860212148,"Asteraceae","VARIETY",28874,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.312073,34.781428,"USA","Georgia",NA,4062726521,"Asteraceae","SPECIES",91,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-83.131767,34.189492,"USA","Georgia",NA,4908649868,"Asteraceae","SPECIES",108,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.416642,34.938612,"USA","Georgia",NA,3302200086,"Asteraceae","SPECIES",8,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-85.08657,34.643392,"USA","Georgia",NA,3859317049,"Asteraceae","SPECIES",100,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.526742,34.540233,"USA","Georgia",NA,4867714298,"Asteraceae","SPECIES",16,2024,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-83.4141,34.5377,"USA","Georgia",NA,4102729107,"Asteraceae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-83.369325,32.775475,"USA","Georgia",NA,4129670840,"Asteraceae","SPECIES",3,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.602172,33.945042,"USA","Georgia",NA,3117917061,"Asteraceae","SPECIES",NA,2021,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-85.38302,34.922328,"USA","Georgia",NA,3858735217,"Asteraceae","SPECIES",4,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-83.499827,34.984804,"USA","Georgia",NA,4134054520,"Asteraceae","SPECIES",28762,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.239005,34.800359,"USA","Georgia",NA,4901046612,"Asteraceae","SPECIES",28762,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.911212,30.829367,"USA","Georgia",NA,2641507728,"Asteraceae","SPECIES",NA,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-83.358818,34.649712,"USA","Georgia",NA,4111681807,"Asteraceae","SPECIES",239,2023,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.449081,34.132479,"USA","Georgia",NA,3903207661,"Asteraceae","SPECIES",NA,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-84.805619,34.074689,"USA","Georgia",NA,2898328639,"Asteraceae","SPECIES",272,2020,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
"Silphium compositum",-83.917453,33.906467,"USA","Georgia",NA,3859649377,"Asteraceae","SPECIES",24,2022,"HUMAN_OBSERVATION","iNaturalist","iNaturalist research-grade observations"
