box_id,group,parasite,treatment,soil_id,root_biomass,proxy_root_biomass (all 3 3cm long segments wieghted together),calculated_proxy (accounts for proxy and root slides taken),box_id,parasite,treatment,soil_id,SOAL_biomass,AGPU_biomass,total_root_pot,,Notes:,,,,,,Color Code,,,
1,1,yes,sterilized,1,4.56,,0.001,1,yes,sterilized,1,4.569,0.001,4.57,,proxy_root_biomass = segment of root (9cm) to measure ho much biomass was lost for root slide  =,,,,,,group 5&6 = inital sol sample,group 7&8 = back up sol sample,group 1 & 2 = parasite,group 3 & 4 = host
2,2,yes,innoculated,1,4.15,,0.001,2,yes,innoculated,1,4.165,0.001,4.166,,root_biomass = entire root mass conataining host & parasite and solidago                     =,,,,,,group 1 & 2 = host parasite biomass weighed together,,,group 3 & 4 = solidago alone biomass weight (no parasite)
3,3,no,sterilized,1,,0.005,0.01,3,no,sterilized,1,5.2,,5.2,,total_root_biomass = root ,,,,,,,,,
4,4,no,innoculated,1,,0.008,0.016,4,no,innoculated,1,2.8112,,2.8112,,in grams,,,,,,,,,
5,5,no,sterilized,1,5.16,0.002,0.004,5,yes,sterilized,2,6.154,0.004,6.158,,,,,,,,,,,
6,6,no,innoculated,1,2.8,0.004,0.008,6,yes,innoculated,2,4.215,0.001,4.216,,"5 & 7 = Sol steril, group 5 inital sample and group 7 back-up sample",,,,,,,,,
7,7,no,sterilized,1,,0.018,0.036,7,no,sterilized,2,1.918,,1.918,,"6 & 8 = Sol innoc, group 6 inital sample and group 8 back-up sample",,,,,,,,,
8,8,no,innoculated,1,,0.0016,0.0032,8,no,innoculated,2,0.182,,0.182,,,,,,,,,,,
9,1,yes,sterilized,2,6.14,0.002,0.004,9,yes,sterilized,3,6.487,0.001,6.488,,"parasites are between 2cm-3cm, only one cut, not a full 9cm segment ",,,,,,,,,
10,2,yes,innoculated,2,4.21,,0.001,10,yes,innoculated,3,4.111,0.001,4.112,,,,,,,,,,,
11,3,no,sterilized,2,,0.009,0.018,11,no,sterilized,3,,,,,root_biomass with parasite = total weight for host and parasite,,,,,,,,,
12,4,no,innoculated,2,,0.003,0.006,12,no,innoculated,3,3.426,,3.426,,5&6 = total root_biomass for solidago innoculated and sterilized,,,,,,,,,
13,5,no,sterilized,2,1.9,0.003,0.006,13,yes,sterilized,4,4.765,0.001,4.766,,,,,,,,,,,
14,6,no,innoculated,2,0.15,0.014,0.028,14,yes,innoculated,4,2.935,0.001,2.936,,,,,,,,,,,
15,7,no,sterilized,2,,0.006,0.012,15,no,sterilized,4,,,,,parasite and host plants were never seperated,,,,,,,,,
16,8,no,innoculated,2,,0.002,0.004,16,no,innoculated,4,3.074,,3.074,,,,,,,,,,,
17,1,yes,sterilized,3,6.47,,0.001,17,yes,sterilized,5,3.389,0.001,3.39,,,,,,,,,,,
18,2,yes,innoculated,3,4.09,,0.001,18,yes,innoculated,5,3.316,0.004,3.32,,,,,,,,,,,
19,3,no,sterilized,3,,0.009,0.018,19,no,sterilized,5,5.558,,5.558,,,,,,,,,,,
20,4,no,innoculated,3,,0.011,0.022,20,no,innoculated,5,3.186,,3.186,,,,,,,,,,,
21,5,no,sterilized,3,,,0,21,yes,sterilized,6,5.433,0.001,5.434,,,,,,,,,,,
22,6,no,innoculated,3,3.39,0.005,0.01,22,yes,innoculated,6,5.017,0.001,5.018,,,,,,,,,,,
23,7,no,sterilized,3,,,0,23,no,sterilized,6,6.83,,6.83,,,,,,,,,,,
24,8,no,innoculated,3,,0.013,0.026,24,no,innoculated,6,5.178,,5.178,,,,,,,,,,,
25,1,yes,sterilized,4,4.73,,0.001,25,yes,sterilized,7,5.1518,0.001,5.1528,,,,,,,,,,,
26,2,yes,innoculated,4,2.91,0.0005,0.001,26,yes,innoculated,7,3.023,0.001,3.024,,,,,,,,,,,
27,3,no,sterilized,4,,0.018,0.036,27,no,sterilized,7,4.078,,4.078,,,,,,,,,,,
28,4,no,innoculated,4,,0.013,0.026,28,no,innoculated,7,5.608,,5.608,,,,,,,,,,,
29,5,no,sterilized,4,,,0,29,yes,sterilized,8,5.013,0.001,5.014,,,,,,,,,,,
30,6,no,innoculated,4,2.97,0.017,0.034,30,yes,innoculated,8,3.99,0.002,3.992,,,,,,,,,,,
31,7,no,sterilized,4,,,0,31,no,sterilized,8,1.92,,1.92,,,,,,,,,,,
32,8,no,innoculated,4,,0.035,0.07,32,no,innoculated,8,2.644,,2.644,,,,,,,,,,,
33,1,yes,sterilized,5,3.35,,0.001,33,yes,sterilized,9,1.591,0.001,1.592,,,,,,,,,,,
34,2,yes,innoculated,5,3.31,0.002,0.004,34,yes,innoculated,9,2.527,0.001,2.528,,,,,,,,,,,
35,3,no,sterilized,5,,0.02,0.04,35,no,sterilized,9,2.962,,2.962,,,,,,,,,,,
36,4,no,innoculated,5,,0.005,0.01,36,no,innoculated,9,3.284,,3.284,,,,,,,,,,,
37,5,no,sterilized,5,5.52,0.015,0.03,37,yes,sterilized,10,4.023,0.001,4.024,,,,,,,,,,,
38,6,no,innoculated,5,3.16,0.006,0.012,38,yes,innoculated,10,1.402,0.004,1.406,,,,,,,,,,,
39,7,no,sterilized,5,,0.004,0.008,39,no,sterilized,10,5.302,,5.302,,,,,,,,,,,
40,8,no,innoculated,5,,0.007,0.014,40,no,innoculated,10,3.924,,3.924,,,,,,,,,,,
41,1,yes,sterilized,6,5.4,,0.001,41,yes,sterilized,11,4.877,0.001,4.878,,,,,,,,,,,
42,2,yes,innoculated,6,4.97,,0.001,42,yes,innoculated,11,4.427,0.001,4.428,,,,,,,,,,,
43,3,no,sterilized,6,,0.017,0.034,43,no,sterilized,11,5.174,,5.174,,,,,,,,,,,
44,4,no,innoculated,6,,0.024,0.048,44,no,innoculated,11,2.878,,2.878,,,,,,,,,,,
45,5,no,sterilized,6,6.77,0.017,0.034,45,,,,,,,,,,,,,,,,,
