-,group,parasite,treatment,soil_id,SOAL_biomass,AGPU_biomass
1,1,yes,sterilized,1,5.616,0.005
2,2,yes,innoculated,1,4.715,0.014
3,3,no,sterilized,1,4.601,
4,4,no,innoculated,1,4.771,
5,1,yes,sterilized,2,4.876,0.042
6,2,yes,innoculated,2,3.897,0.02
7,3,no,sterilized,2,2.484,
8,4,no,innoculated,2,0.529,
9,1,yes,sterilized,3,7.27,0.029
10,2,yes,innoculated,3,4.029,0.018
11,3,no,sterilized,3,,
12,4,no,innoculated,3,4.301,
13,1,yes,sterilized,4,5.413,0.035
14,2,yes,innoculated,4,2.497,0.024
15,3,no,sterilized,4,,
16,4,no,innoculated,4,3.537,
17,1,yes,sterilized,5,2.14,0.01
18,2,yes,innoculated,5,3.592,0.012
19,3,no,sterilized,5,6.512,
20,4,no,innoculated,5,1.814,
21,1,yes,sterilized,6,5.225,0.023
22,2,yes,innoculated,6,4.562,0.023
23,3,no,sterilized,6,,
24,4,no,innoculated,6,4.807,
25,1,yes,sterilized,7,6.084,
26,2,yes,innoculated,7,3.602,
27,3,no,sterilized,7,4.642,
28,4,no,innoculated,7,6.785,
29,1,yes,sterilized,8,5.6,0.011
30,2,yes,innoculated,8,4.302,0.139
31,3,no,sterilized,8,4.031,
32,4,no,innoculated,8,3.472,
33,1,yes,sterilized,9,1.827,0.032
34,2,yes,innoculated,9,2.506,0.0039
35,3,no,sterilized,9,3.995,
36,4,no,innoculated,9,4.204,
37,1,yes,sterilized,10,4.672,0.009
38,2,yes,innoculated,10,2.731,0.169
39,3,no,sterilized,10,6.114,
40,4,no,innoculated,10,3.958,
41,1,yes,sterilized,11,5.031,0.003
42,2,yes,innoculated,11,5.274,
43,3,no,sterilized,11,4.876,
44,4,no,innoculated,11,1.373,
