box_id,group,parasite,treatment,soil_id,SOAL_height_9/12,AGPU_height_9/12,SOAL_height_9/19,AGPU_height_9/19,SOAL_height_9/30,AGPU_height_9/30,SOAL_height_10/3,AGPU_height_10/3,SOAL_height_10/10,AGPU_height_10/10,SOAL_height_10/17,AGPU_height_10/17,SOAL_height_10/24,AGPU_height_10/24,SOAL_height_10/31,AGPU_height_10/31,SOAL_height_11/7,AGPU_height_11/7,SOAL_height_11/14,AGPU_height_11/14
1,1,yes,sterilized,1,1,0.3,1.9,0.4,11,0.4,13.8,0.5,21,0.7,26,1.6,31,1.7,35.4,2.1,39.5,3,43,3.5
2,2,yes,innoculated,1,0.4,0.2,1,0.5,3,2.5,5,4.1,13.8,9.6,19,10.5,25,3,29.9,4,34,4.5,38,7.5
3,3,no,sterilized,1,1.5,,3,,13,,16.3,,24.6,,27.1,,32,,36.5,,42.2,,47.4,
4,4,no,innoculated,1,0.5,,0.5,,5.5,,8.1,,13.5,,22.5,,26.5,,30.5,,34.3,,38,
5,1,yes,sterilized,2,0.7,0.3,1.1,0.05,9.5,3.6,13.2,2.2,21.5,5.2,27.5,7.4,33.4,8.4,39.5,9.4,45.5,10.5,51,12.5
6,2,yes,innoculated,2,0.2,0.1,0.8,0.4,2,1.4,2.3,2.3,11,6,20.4,7,26,7.1,29.4,8.3,35.5,9.4,40.6,10.5
7,3,no,sterilized,2,0.5,,0.7,,2.3,,1.5,,2.1,,3.6,,7,,11.5,,18.2,,22.2,
8,4,no,innoculated,2,0.5,,0.2,,0.6,,0.8,,1,,2.6,,3.3,,4.1,,7,,12.3,
9,1,yes,sterilized,3,1,0.1,1.5,0.3,9,1,13.5,1,26.5,2.2,34.2,2.8,41.8,4,49,3.7,57,4.3,63,5.5
10,2,yes,innoculated,3,0.5,0.4,1,0.4,4.5,2,7.6,2.2,16.5,2.7,23,4.5,28,4.1,30.2,4.9,37.5,6,40.4,6.3
11,3,no,sterilized,3,0.3,,0.2,,0.3,,0.2,,0.2,,0.2,,0.3,,0.3,,0.5,,,
12,4,no,innoculated,3,1,,0.8,,3.9,,5.5,,14,,21.5,,27.5,,37.7,,40,,45.5,
13,1,yes,sterilized,4,0.6,0.3,1.4,0.2,9.3,3.5,13.5,4.7,23,6.5,293,7.1,36.2,8,42.5,8.8,48,10.1,53.5,11.3
14,2,yes,innoculated,4,0.2,0.3,0.5,0.8,1.5,1.5,2.2,2,6,4.1,106,6,14.5,6,19,7.8,23.6,9,27,10.5
15,3,no,sterilized,4,0,,0.1,,0.1,,0.3,,0.3,,0.2,,0.3,,0.3,,0,,,
16,4,no,innoculated,4,0.5,,0.4,,1.3,,8.2,,14.5,,16,,22,,32,,34.3,,41,
17,1,yes,sterilized,5,0.5,0.2,1.3,0.4,9,1,13.5,1.1,25.5,2.1,29.5,2,10,2.8,11.1,5.1,14.3,6.2,19,7.5
18,2,yes,innoculated,5,0.7,0.4,0.7,0.4,2.5,2,6.6,2.3,21.6,5.6,28.2,6.7,31.8,7.2,33.9,7.5,39.4,6,41,9.5
19,3,no,sterilized,5,1.1,,3.5,,15.2,,19,,26,,29.5,,34.5,,39.4,,45,,49.4,
20,4,no,innoculated,5,0.8,,0.6,,5.4,,8.2,,14.5,,20.9,,25.2,,27,,18.5,,24,
21,1,yes,sterilized,6,0.6,0.1,1.5,0.3,8,1.8,12,2.7,21.2,5.5,26.5,6.6,29,7.5,32.5,7.8,38.5,9.5,43.5,11
22,2,yes,innoculated,6,0.4,0.3,0.8,0.3,2.5,1.5,5.5,1.2,17.4,5.5,22.9,7.5,27.5,8.3,32.9,9.4,38,10,43,11.3
23,3,no,sterilized,6,1,,2.1,,12.9,,16.8,,26.3,,29.8,,31.8,,34.5,,41.6,,48.7,
24,4,no,innoculated,6,1,,1,,4,,7,,18.9,,27.3,,32.7,,18,,42.7,,49,
25,1,yes,sterilized,7,0.3,0.1,0.5,0.3,7,1.5,8.2,1.4,14,1,22.5,2.4,29.4,3.1,32.2,4.8,38.5,5,45,2.2
26,2,yes,innoculated,7,0.2,0.2,0.6,0.2,2,0.2,4,0.3,10.8,0.3,19.3,0.2,24,0.5,30.5,0.6,38.2,0,44,0
27,3,no,sterilized,7,0.4,,1.8,,9.5,,14,,21.1,,25.1,,30.9,,35.8,,42,,47.4,
28,4,no,innoculated,7,1,,1,,5.6,,10,,20.5,,28.4,,35,,36.2,,48,,56.2,
