genus,species,parasitic_habit,native,ecosystem,host,inat_GA,inat_entire,protection_state,protection_fed,NatureServ_status_GA,DNR_monitor,DNR_status_GA,NatureServ_status,EO,accessions,habitat,DNR GA Biodiversity Link,SERNEC Herbarium Link,NatureServ Link,INat Link,Key Notes
Agalinis,aphylla,Root Hemiparasite,Yes,Wetland/ Savannah,Generalist,1,56,No Georgia state protection,No US federal protection,S2,11 to 25,S2,G3,12,343,Pitcherplant bogs; pine flatwoods:Moist to wet pine savannas (disturbed savanna fields),https://georgiabiodiversity.org/portal/profile?group=all&es_id=20070, ,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144947/Agalinis_aphylla,https://www.inaturalist.org/taxa/158045-Agalinis-aphylla,Global Status last reviewed 2/1/2013; could potentially be included in restoration fire disturbance work due to habitat it resides
Agalinis,decemloba,Root Hemiparasite,Yes,Grassland,Generalist,1,96,No Georgia state protection,No US federal protection,S1,less than 10,S1,G3,8,0,"Dry, grassy meadows.",https://georgiabiodiversity.org/portal/profile?group=all&es_id=15912,N/A,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157615/Agalinis_decemloba,https://www.inaturalist.org/observations?place_id=23&subview=map&taxon_id=1131697,Global Status last reviewed 2/14/2017; could be included in restoration fire disturbance work due to habitat it resides
Agalinis,divaricata,Root Hemiparasite,Yes,Savannah,Generalist,0,66,No Georgia state protection,No US federal protection,S1?,11 to 25,S1?,G3,5,250,"Dry, grassy, pine-scrub oak ridges",https://georgiabiodiversity.org/portal/profile?group=all&es_id=15287,SERNEC - Agalinis divaricata (sernecportal.org),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151185/Agalinis_divaricata,https://www.inaturalist.org/observations?place_id=23&subview=map&taxon_id=158051,"Global Status last reviewed 4/19/1997; threated due to conversion of pine plantations, pastures, development, and fire supression"
Agalinis,fasciculata,Root Hemiparasite,Yes,Grassland,Generalist,143,1747,N/A,N/A,SNR,N/A,N/A,G5,0,3109,N/A,N/A,SERNEC - Agalinis fasciculata (sernecportal.org),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135271/Agalinis_fasciculata,https://www.inaturalist.org/observations?place_id=23&subview=map&taxon_id=158053,"Global Status last reviewed 5/11/1985; Nature Serve states that status needs review, habitat not described on Nature Serve and no DNR Website for this species"
Agalinis,filicaulis,Root Hemiparasite,Yes,Wetland,Generalist,0,35,No Georgia state protection,No US federal protection,S2?,Over 25,S2?,G3,3,203,"Seasonally wet, longleaf pine-wiregrass savannas; grassy pine barrens",https://georgiabiodiversity.org/portal/profile?group=all&es_id=21809,SERNEC - Agalinis filicaulis (sernecportal.org),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135270/Agalinis_filicaulis,Jackson False Foxglove (Agalinis filicaulis) (inaturalist.org),Global Status last reviewed 9/27/2021
Agalinis,filifolia,Root Hemiparasite,Yes,Sandhills,Generalist,8,553,No Georgia state protection,No US federal protection,S2,Over 25,S2?,G4,6,299,"Dry, sandy, longleaf pinelands",https://georgiabiodiversity.org/portal/profile?group=all&es_id=15439,SERNEC - Agalinis filifolia (sernecportal.org),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136666/Agalinis_filifolia,https://www.inaturalist.org/taxa/158055-Agalinis-filifolia,Global Status last reviewed 5/2/1988; Nature Serve states that statues needs review
Agalinis,gattingeri,Root Hemiparasite,Yes,Grassland,Generalist,4,281,No Georgia state protection,No US federal protection,SH,Over 25,SH,G4,1,0,"Cherty soils in oak-pine woods, glades",https://georgiabiodiversity.org/portal/profile?group=all&es_id=20076,N/A,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150817/Agalinis_gattingeri,https://www.inaturalist.org/taxa/158056-Agalinis-gattingeri,Global Status last reviewed 5/25/1994; Nature Serve states that Global Status needs review
Agalinis,harperi,Root Hemiparasite,Yes,Wetland,Generalist,0,34,No Georgia state protection,No US federal protection,SNR,Over 25,SH,G4,11,256,"Pine savannas, bogs, interdune swales",Agalinis harperi (georgiabiodiversity.org),SERNEC - Agalinis harperi (sernecportal.org),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158360/Agalinis_harperi,Observations · iNaturalist,Global Status last reviewed 1/31/2001; Nature Serve states that Global Status needs review
Agalinis,heterophylla,Root Hemiparasite,Yes,Grassland,Generalist,3,4744,N/A,N/A,N/A,N/A,N/A,G4,0,1200,N/A,N/A,SERNEC - Agalinis heterophylla (sernecportal.org),Agalinis heterophylla | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 5/2/1988; Nature Serve states that statues needs review
Agalinis,laxa,Root Hemiparasite,Yes,Savannah,Generalist,1,8,No Georgia state protection,No US federal protection,S1,less than 10,S1,G3,7,50,Dry longleaf pine sandhills,Agalinis laxa (georgiabiodiversity.org),SERNEC - Agalinis laxa (sernecportal.org),Agalinis laxa | NatureServe Explorer,Observations · iNaturalist,Global Status last reviewed 7/12/1995; Nature Serve stats that status needs review
