pot_number,replicate_id,species,type,treatment,cross-treatment_group,pot_id,above_harvest,above_sla,above_phys,above_total,below,below_micro,below_total,total_biomass,root_shoot
1,1,HESU,host,sterilized,1,1as,0.475,0.018,0.024,0.517,1.406,0.006,1.412,1.929,2.731
2,1,HESU,host,innoculated,2,1ai,0.692,0.018,0.026,0.74,2.051,0.006,2.057,2.793,2.795
3,1,AGPU,host-parasite,sterilized,3,1bs,0.189,0.008,,0.20,0.234,0.003,0.237,0.434,1.203
3,1,HESU,host-parasite,sterilized,3,1bs,0.496,0.014,0.017,0.53,1.153,0.005,1.158,1.685,2.197
4,1,AGPU,host-parasite,innoculated,4,1bi,0.423,0.007,,0.42,0.493,0.011,0.493,0.916,1.165
4,1,HESU,host-parasite,innoculated,4,1bi,0.524,0.016,0.015,0.56,0.633,0.004,0.633,1.188,1.141
5,1,AGPU,parasite,sterilized,5,1cs,0.423,0.012,,0.44,0.493,0.003,0.496,0.931,1.140
6,1,AGPU,parasite,innoculated,6,1ci,0.524,0.009,,0.53,0.633,0.004,0.637,1.170,1.195
7,2,HESU,host,sterilized,1,2as,0.395,0.021,0.018,0.43,0.071,0.001,0.072,0.506,0.166
8,2,HESU,host,innoculated,2,2ai,0.457,0.014,0.025,0.50,0.075,0.010,0.085,0.581,0.171
9,2,AGPU,host-parasite,sterilized,3,2bs,0.545,0.005,,0.55,1.886,0.006,1.892,2.442,3.440
9,2,HESU,host-parasite,sterilized,3,2bs,0.727,0.018,0.025,0.77,1.456,0.006,1.462,2.232,1.899
10,2,AGPU,host-parasite,innoculated,4,2bi,0.029,0.009,,0.04,0.240,0.002,0.242,0.280,6.368
10,2,HESU,host-parasite,innoculated,4,2bi,0.599,0.018,0.013,0.63,1.609,0.005,1.614,2.244,2.562
11,2,AGPU,parasite,sterilized,5,2cs,0.43,0.008,,0.44,1.141,0.003,1.144,1.582,2.612
12,2,AGPU,parasite,innoculated,6,2ci,0.983,0.01,,0.99,0.984,0.004,0.988,1.981,0.995
13,3,HESU,host,sterilized,1,3as,0.428,0.02,0.032,0.48,0.118,0.003,0.121,0.601,0.252
14,3,HESU,host,innoculated,2,3ai,0.565,0.017,0.022,0.60,0.232,0.011,0.243,0.847,0.402
15,3,AGPU,host-parasite,sterilized,3,3bs,1.051,0.007,,1.06,1.358,0.006,1.364,2.422,1.289
15,3,HESU,host-parasite,sterilized,3,3bs,0.536,0.018,0.023,0.58,1.334,0.002,1.336,1.913,2.315
16,3,AGPU,host-parasite,innoculated,4,3bi,0.148,0.005,,0.15,0.257,0.004,0.261,0.414,1.706
16,3,HESU,host-parasite,innoculated,4,3bi,0.441,0.01,0.019,0.47,1.307,0.001,1.308,1.778,2.783
17,3,AGPU,parasite,sterilized,5,3cs,0.205,0.012,,0.22,0.674,0.002,0.676,0.893,3.115
18,3,AGPU,parasite,innoculated,6,3ci,0.622,0.011,,0.63,1.045,0.006,1.051,1.684,1.660
19,4,HESU,host,sterilized,1,4as,0.497,0.015,0.023,0.54,0.169,0.001,0.170,0.705,0.318
20,4,HESU,host,innoculated,2,4ai,0.645,0.014,0.028,0.69,0.200,0.005,0.205,0.892,0.298
21,4,AGPU,host-parasite,sterilized,3,4bs,0.996,0.007,,1.00,3.376,0.004,3.380,4.383,3.370
21,4,HESU,host-parasite,sterilized,3,4bs,0.448,0.02,0.029,0.50,1.111,0.005,1.116,1.613,2.245
22,4,AGPU,host-parasite,innoculated,4,4bi,0.091,0.009,,0.10,0.212,0.004,0.216,0.316,2.160
22,4,HESU,host-parasite,innoculated,4,4bi,0.238,0.02,0.13,0.39,0.445,0.006,0.451,0.839,1.162
23,4,AGPU,parasite,sterilized,5,4cs,0.23,0.007,,0.24,0.643,0.002,0.645,0.882,2.722
24,4,AGPU,parasite,innoculated,6,4ci,0.314,0.008,,0.32,0.648,0.003,0.651,0.973,2.022
25,5,HESU,host,sterilized,1,5as,0.388,0.023,0.026,0.44,0.090,0.002,0.092,0.529,0.211
26,5,HESU,host,innoculated,2,5ai,0.513,0.013,0.021,0.55,0.105,0.002,0.107,0.654,0.196
27,5,AGPU,host-parasite,sterilized,3,5bs,0.781,0.012,,0.79,3.396,0.004,3.400,4.193,4.288
27,5,HESU,host-parasite,sterilized,3,5bs,0.81,0.014,0.022,0.85,1.618,0.003,1.621,2.467,1.916
28,5,AGPU,host-parasite,innoculated,4,5bi,0.333,0.014,,0.35,0.224,0.005,0.229,0.576,0.660
28,5,HESU,host-parasite,innoculated,4,5bi,0.112,0.014,0.015,0.14,0.344,0.003,0.347,0.488,2.461
29,5,AGPU,parasite,sterilized,5,5cs,0.691,0.01,,0.70,0.577,0.002,0.579,1.280,0.826
30,5,AGPU,parasite,innoculated,6,5ci,0.655,0.012,,0.67,1.043,0.007,1.050,1.717,1.574
31,6,HESU,host,sterilized,1,6as,0.447,0.019,0.026,0.49,0.139,0.004,0.143,0.635,0.291
32,6,HESU,host,innoculated,2,6ai,0.555,0.019,0.036,0.61,0.170,0.003,0.173,0.783,0.284
33,6,AGPU,host-parasite,sterilized,3,6bs,0.839,0.011,,0.85,1.725,0.005,1.730,2.580,2.035
33,6,HESU,host-parasite,sterilized,3,6bs,1.051,0.019,0.036,1.11,2.539,0.007,2.546,3.652,2.302
34,6,AGPU,host-parasite,innoculated,4,6bi,,0.008,,0.01,,0.003,0.003,0.011,0.375
34,6,HESU,host-parasite,innoculated,4,6bi,0.474,0.019,0.036,0.53,0.245,0.004,0.249,0.778,0.471
35,6,AGPU,parasite,sterilized,5,6cs,0.0128,0.006,,0.02,0.153,0.002,0.155,0.174,8.245
36,6,AGPU,parasite,innoculated,6,6ci,0.898,0.01,,0.91,3.232,0.008,3.240,4.148,3.568
37,7,HESU,host,sterilized,1,7as,0.424,0.019,0.022,0.47,0.154,0.002,0.156,0.621,0.335
38,7,HESU,host,innoculated,2,7ai,0.537,0.016,0.029,0.58,0.344,0.005,0.349,0.931,0.600
39,7,AGPU,host-parasite,sterilized,3,7bs,1.1,0.019,,1.12,2.884,0.006,2.890,4.009,2.583
39,7,HESU,host-parasite,sterilized,3,7bs,0.573,0.016,0.029,0.62,1.830,0.003,1.833,2.451,2.966
40,7,AGPU,host-parasite,innoculated,4,7bi,0.701,0.011,,0.71,0.484,0.002,0.486,1.198,0.683
40,7,HESU,host-parasite,innoculated,4,7bi,0.668,0.016,0.009,0.69,1.516,0.007,1.523,2.216,2.198
41,7,AGPU,parasite,sterilized,5,7cs,0.196,0.008,,0.20,0.149,0.002,0.151,0.355,0.740
42,7,AGPU,parasite,innoculated,6,7ci,0.406,0.009,,0.42,0.831,0.003,0.834,1.249,2.010
43,8,HESU,host,sterilized,1,8as,0.371,0.022,0.039,0.43,0.045,0.005,0.050,0.482,0.116
44,8,HESU,host,innoculated,2,8ai,0.536,0.016,0.028,0.58,0.400,0.004,0.404,0.984,0.697
45,8,AGPU,host-parasite,sterilized,3,8bs,1.099,0.015,,1.11,3.245,0.004,3.249,4.363,2.917
45,8,HESU,host-parasite,sterilized,3,8bs,0.453,0.007,0.031,0.49,0.673,0.003,0.676,1.167,1.377
46,8,AGPU,host-parasite,innoculated,4,8bi,0.621,0.007,,0.63,0.344,0.005,0.349,0.977,0.556
46,8,HESU,host-parasite,innoculated,4,8bi,0.631,0.016,0.025,0.67,0.995,0.006,1.001,1.673,1.490
47,8,AGPU,parasite,sterilized,5,8cs,0.157,0.002,,0.16,0.363,0.004,0.367,0.526,2.308
48,8,AGPU,parasite,innoculated,6,8ci,0.433,0.009,,0.44,0.761,0.002,0.763,1.205,1.726
49,9,HESU,host,sterilized,1,9as,1.067,0.019,0.036,1.12,0.002,0.000,0.002,1.124,0.002
50,9,HESU,host,innoculated,2,9ai,0.495,0.016,0.023,0.53,0.241,0.005,0.246,0.780,0.461
51,9,AGPU,host-parasite,sterilized,3,9bs,1.099,0.009,,1.11,2.422,0.009,2.431,3.539,2.194
51,9,HESU,host-parasite,sterilized,3,9bs,0.476,0.019,0.025,0.52,1.008,0.002,1.010,1.530,1.942
52,9,AGPU,host-parasite,innoculated,4,9bi,0.36,0.005,,0.37,0.563,0.002,0.565,0.930,1.548
52,9,HESU,host-parasite,innoculated,4,9bi,0.977,0.019,0.014,1.01,1.306,0.006,1.312,2.322,1.299
53,9,AGPU,parasite,sterilized,5,9cs,0.044,0.002,,0.05,0.188,0.003,0.191,0.237,4.152
