pot_number,replicate_id,species,type,treatment,cross-treatment_group,pot_id,first_bud,bud_count,bursting_bud,total_bud,flowering,flower_count
3,1,AGPU,host-parasite,sterilized,3,1bs,t7,13,,13,,
4,1,AGPU,host-parasite,innoculated,4,1bi,t8,4,,4,,
5,1,AGPU,parasite,sterilized,5,1cs,t8,2,,2,,
6,1,AGPU,parasite,innoculated,6,1ci,t7,8,,8,,
9,2,AGPU,host-parasite,sterilized,3,2bs,t8,6,,6,,
10,2,AGPU,host-parasite,innoculated,4,2bi,none,0,,0,,
11,2,AGPU,parasite,sterilized,5,2cs,t7,10,,10,,
12,2,AGPU,parasite,innoculated,6,2ci,t8,12,,12,,
15,3,AGPU,host-parasite,sterilized,3,3bs,t7,17,4,21,,
16,3,AGPU,host-parasite,innoculated,4,3bi,t7,8,,8,,
17,3,AGPU,parasite,sterilized,5,3cs,t7,17,,17,,
18,3,AGPU,parasite,innoculated,6,3ci,t6,16,2,18,,
21,4,AGPU,host-parasite,sterilized,3,4bs,t7,18,,18,,
22,4,AGPU,host-parasite,innoculated,4,4bi,t8,14,,14,,
23,4,AGPU,parasite,sterilized,5,4cs,t8,4,,4,,
24,4,AGPU,parasite,innoculated,6,4ci,t8,10,,10,,
27,5,AGPU,host-parasite,sterilized,3,5bs,t7,23,1,24,,
28,5,AGPU,host-parasite,innoculated,4,5bi,t7,15,,15,,
29,5,AGPU,parasite,sterilized,5,5cs,t7,6,,6,,
30,5,AGPU,parasite,innoculated,6,5ci,t7,6,,6,,
33,6,AGPU,host-parasite,sterilized,3,6bs,t8,4,,4,,
34,6,AGPU,host-parasite,innoculated,4,6bi,none,0,,0,,
35,6,AGPU,parasite,sterilized,5,6cs,t7,6,,6,,
36,6,AGPU,parasite,innoculated,6,6ci,t7,22,,22,,
39,7,AGPU,host-parasite,sterilized,3,7bs,t7,13,,13,,
40,7,AGPU,host-parasite,innoculated,4,7bi,t8,5,,5,,
41,7,AGPU,parasite,sterilized,5,7cs,t8,4,,4,,
42,7,AGPU,parasite,innoculated,6,7ci,t8,6,,6,,
45,8,AGPU,host-parasite,sterilized,3,8bs,t7,22,,22,,
46,8,AGPU,host-parasite,innoculated,4,8bi,t7,20,,20,,
47,8,AGPU,parasite,sterilized,5,8cs,none,0,,0,,
48,8,AGPU,parasite,innoculated,6,8ci,t8,14,,14,,
51,9,AGPU,host-parasite,sterilized,3,9bs,t8,13,,13,,
52,9,AGPU,host-parasite,innoculated,4,9bi,t7,8,,8,,
53,9,AGPU,parasite,sterilized,5,9cs,none,0,,0,,
54,9,AGPU,parasite,innoculated,6,9ci,t7,12,,12,,
57,10,AGPU,host-parasite,sterilized,3,10bs,none,0,,0,,
58,10,AGPU,host-parasite,innoculated,4,10bi,t8,5,,5,,
59,10,AGPU,parasite,sterilized,5,10cs,t8,9,,9,,
60,10,AGPU,parasite,innoculated,6,10ci,t7,16,,16,,
63,11,AGPU,host-parasite,sterilized,3,11bs,t7,16,,16,,
64,11,AGPU,host-parasite,innoculated,4,11bi,t7,14,,14,,
65,11,AGPU,parasite,sterilized,5,11cs,t6,14,7,21,6/13,1
66,11,AGPU,parasite,innoculated,6,11ci,t7,6,,6,,
69,12,AGPU,host-parasite,sterilized,3,12bs,t8,2,,2,,
70,12,AGPU,host-parasite,innoculated,4,12bi,t8,4,,4,,
71,12,AGPU,parasite,sterilized,5,12cs,t8,10,,10,,
72,12,AGPU,parasite,innoculated,6,12ci,t7,12,,12,,
