order,species,pot_id,biomass_type,type,treatment,estimated_biomass,lab_id,lab_sample_id,N,C,P,K
1,HESU,1as,Above,host,sterilized,0.52,411497,HESU 1as Above,1.25,40.34,0.195,2.89
2,HESU,1ai,Above,host,innoculated,0.74,411498,HESU 1ai Above,0.96,40.6,0.26,2.48
3,AGPU,1bs,Above,host-parasite,sterilized,0.20,411499,AGPU 1bs Above,1.37,40.29,,
4,HESU,1bs,Above,host-parasite,sterilized,0.53,411500,HESU 1bs Above,0.98,40.59,0.138,2.56
5,AGPU,1bi,Above,host-parasite,innoculated,0.42,411501,AGPU 1bi Above,1.22,38.18,,
6,HESU,1bi,Above,host-parasite,innoculated,0.56,411502,HESU 1bi Above,0.92,40.4,0.198,2.42
7,AGPU,1cs,Above,parasite,sterilized,0.44,411503,AGPU 1cs Above,3.45,42.61,,
8,AGPU,1ci,Above,parasite,innoculated,0.53,411504,AGPU 1ci Above,2.94,42.14,,
9,HESU,2as,Above,host,sterilized,0.43,411505,HESU 2as Above,1.08,39.76,0.214,2.78
10,HESU,2ai,Above,host,innoculated,0.50,411506,HESU 2ai Above,0.99,39.76,0.248,2.49
11,AGPU,2bs,Above,host-parasite,sterilized,0.55,411507,AGPU 2bs Above,1.7,44.63,,
12,HESU,2bs,Above,host-parasite,sterilized,0.77,411508,HESU 2bs Above,1.06,40.58,0.214,2.8
13,AGPU,2bi,Above,host-parasite,innoculated,0.04,411509,AGPU 2bi Above,0.89,40.69,0.189,2.24
14,HESU,2bi,Above,host-parasite,innoculated,0.63,411510,HESU 2bi Above,1.09,38.91,,
15,AGPU,2cs,Above,parasite,sterilized,0.44,411511,AGPU 2cs Above,2.3,43.07,,
16,AGPU,2ci,Above,parasite,innoculated,0.99,411512,AGPU 2ci Above,2.32,42.13,0.315,2.19
17,HESU,3as,Above,host,sterilized,0.48,411513,HESU 3as Above,0.84,40.8,0.201,2.37
18,HESU,3ai,Above,host,innoculated,0.60,411514,HESU 3ai Above,1.08,39.85,0.303,2.55
19,AGPU,3bs,Above,host-parasite,sterilized,1.06,411515,AGPU 3bs Above,1.57,40.39,,
