pot_number,replicate_id,species,type,plant_id,treatment,cross-treatment_group,pot_id,file_name,log_number,leaf_area,A,Ci,E,gsw
1,1,HESU,host,h,sterilized,1,1as,2025-06-09 jca_Tkd,35,3.577,5.866131952,336.4799873,0.01181199912,0.2057220425
2,1,HESU,host,h,innoculated,2,1ai,2025-06-09 jca_Tkd,20,2.996,8.712882457,360.9590843,0.0220460864,0.525744344
3,1,HESU,host-parasite,hp,sterilized,3,1bs,2025-06-09 jca_Tkd,25,2.996,3.441457321,348.7447758,0.008519002661,0.1497611908
3,1,AGPU,host-parasite,ph,sterilized,3,1bs,2025-06-09 jca_Tkd,24,2.1868,-15.31120697,472.9748481,0.01538293876,0.3131987882
4,1,HESU,host-parasite,hp,innoculated,4,1bi,2025-06-09 jca_Tkd,22,2.774,-6.885817786,414.6176084,0.02358096104,0.5350073105
4,1,AGPU,host-parasite,ph,innoculated,4,1bi,2025-06-09 jca_Tkd,21,2.1868,0.5195068233,390.6727562,0.02528577266,0.5934391734
5,1,AGPU,parasite,p,sterilized,5,1cs,2025-06-09 jca_Tkd,29,2.1868,8.160439718,356.0881836,0.01993501323,0.4220714989
6,1,AGPU,parasite,p,innoculated,6,1ci,2025-06-09 jca_Tkd,34,2.1868,6.36075458,350.5335788,0.01678661602,0.3033509498
7,2,HESU,host,h,sterilized,1,2as,2025-06-06 jca_Tkd,5,2.025,5.893068554,368.9185119,0.03733479448,0.7536214572
8,2,HESU,host,h,innoculated,2,2ai,2025-06-09 jca_Tkd,18,4.346,4.401548041,374.5284181,0.01391658672,0.3765984099
9,2,HESU,host-parasite,hp,sterilized,3,2bs,2025-06-06 jca_Tkd,6,1.888,5.416197887,347.1002342,0.01686593156,0.2701217548
9,2,AGPU,host-parasite,ph,sterilized,3,2bs,2025-06-06 jca_Tkd,7,2.1868,7.790541745,340.0846884,0.01743558723,0.3059459029
10,2,HESU,host-parasite,hp,innoculated,4,2bi,2025-06-06 jca_Tkd,3,2.677,0.2994235333,365.9139752,0.002065335536,0.03101708229
10,2,AGPU,host-parasite,ph,innoculated,4,2bi,2025-06-06 jca_Tkd,4,2.1868,4.296747425,334.8788677,0.009458299653,0.1491774158
11,2,AGPU,parasite,p,sterilized,5,2cs,2025-06-06 jca_Tkd,8,2.1868,5.355767236,311.2398117,0.008221915698,0.1245415954
12,2,AGPU,parasite,p,innoculated,6,2ci,2025-06-09 jca_Tkd,19,2.1868,7.48978695,370.4753031,0.02263510339,0.5659443604
