pot_number,replicate_id,species,type,treatment,cross-treatment_group,pot_id,area,number_hole,dry_weight_g,sla
1,1,HESU,host,sterilized,1,1as,0.635,10,0.018,352.78
2,1,HESU,host,innoculated,2,1ai,0.635,10,0.018,352.78
3,1,HESU,host-parasite,sterilized,3,1bs,0.635,10,0.014,453.57
3,1,AGPU,host-parasite,sterilized,3,1bs,0.631,3,0.008,236.63
4,1,HESU,host-parasite,innoculated,4,1bi,0.635,10,0.021,302.38
4,1,AGPU,host-parasite,innoculated,4,1bi,0.45,3,0.007,192.86
5,1,AGPU,parasite,sterilized,5,1cs,0.599,3,0.012,149.75
6,1,AGPU,parasite,innoculated,6,1ci,0.295,3,0.009,98.33
7,2,HESU,host,sterilized,1,2as,0.635,10,0.021,302.38
8,2,HESU,host,innoculated,2,2ai,0.635,10,0.014,453.57
9,2,HESU,host-parasite,sterilized,3,2bs,0.635,10,0.018,352.78
9,2,AGPU,host-parasite,sterilized,3,2bs,0.227,3,0.005,136.20
10,2,HESU,host-parasite,innoculated,4,2bi,0.635,10,0.018,352.78
10,2,AGPU,host-parasite,innoculated,4,2bi,0.654,3,0.009,218.00
11,2,AGPU,parasite,sterilized,5,2cs,0.479,3,0.008,179.63
12,2,AGPU,parasite,innoculated,6,2ci,0.775,3,0.01,232.50
13,3,HESU,host,sterilized,1,3as,0.635,10,0.02,317.50
14,3,HESU,host,innoculated,2,3ai,0.635,10,0.017,373.53
15,3,HESU,host-parasite,sterilized,3,3bs,0.635,10,0.018,352.78
15,3,AGPU,host-parasite,sterilized,3,3bs,0.454,3,0.007,194.57
16,3,HESU,host-parasite,innoculated,4,3bi,0.635,10,0.01,635.00
16,3,AGPU,host-parasite,innoculated,4,3bi,0.493,3,0.01,147.90
17,3,AGPU,parasite,sterilized,5,3cs,0.508,3,0.012,127.00
18,3,AGPU,parasite,innoculated,6,3ci,0.57,3,0.011,155.45
19,4,HESU,host,sterilized,1,4as,0.635,10,0.015,423.33
20,4,HESU,host,innoculated,2,4ai,0.635,10,0.014,453.57
21,4,HESU,host-parasite,sterilized,3,4bs,0.635,10,0.02,317.50
21,4,AGPU,host-parasite,sterilized,3,4bs,0.369,3,0.007,158.14
22,4,HESU,host-parasite,innoculated,4,4bi,0.635,10,0.02,317.50
22,4,AGPU,host-parasite,innoculated,4,4bi,0.565,3,0.009,188.33
23,4,AGPU,parasite,sterilized,5,4cs,0.369,3,0.007,158.14
24,4,AGPU,parasite,innoculated,6,4ci,0.543,3,0.008,203.63
25,5,HESU,host,sterilized,1,5as,0.635,10,0.023,276.09
26,5,HESU,host,innoculated,2,5ai,0.635,10,0.013,488.46
27,5,HESU,host-parasite,sterilized,3,5bs,0.635,10,0.014,453.57
27,5,AGPU,host-parasite,sterilized,3,5bs,0.75,3,0.012,187.50
28,5,HESU,host-parasite,innoculated,4,5bi,0.635,10,0.014,453.57
28,5,AGPU,host-parasite,innoculated,4,5bi,0.629,3,0.014,134.79
29,5,AGPU,parasite,sterilized,5,5cs,0.595,3,0.01,178.50
30,5,AGPU,parasite,innoculated,6,5ci,0.507,3,0.012,126.75
31,6,HESU,host,sterilized,1,6as,0.635,10,0.019,334.21
32,6,HESU,host,innoculated,2,6ai,0.635,10,0.019,334.21
33,6,HESU,host-parasite,sterilized,3,6bs,0.635,10,0.019,334.21
33,6,AGPU,host-parasite,sterilized,3,6bs,0.68,3,0.011,185.45
34,6,HESU,host-parasite,innoculated,4,6bi,0.635,10,0.019,334.21
34,6,AGPU,host-parasite,innoculated,4,6bi,0.472,3,0.008,177.00
35,6,AGPU,parasite,sterilized,5,6cs,0.321,3,0.006,160.50
36,6,AGPU,parasite,innoculated,6,6ci,0.585,3,0.01,175.50
37,7,HESU,host,sterilized,1,7as,0.635,10,0.019,334.21
38,7,HESU,host,innoculated,2,7ai,0.635,10,0.016,396.88
39,7,HESU,host-parasite,sterilized,3,7bs,0.635,10,0.016,396.88
39,7,AGPU,host-parasite,sterilized,3,7bs,1.010333333,3,0.019,159.53
40,7,HESU,host-parasite,innoculated,4,7bi,0.635,10,0.016,396.88
40,7,AGPU,host-parasite,innoculated,4,7bi,0.576,3,0.011,157.09
41,7,AGPU,parasite,sterilized,5,7cs,0.4683333333,3,0.008,175.63
42,7,AGPU,parasite,innoculated,6,7ci,0.521,3,0.009,173.67
