year,deployment_period,plot,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss,redo_coin_litter_dry_weight,diff
2024,Overwinter,1,2,A,No,8/16/23,6/30/24,319,Mixed,C,1.6,3.225,5,1.601,3.399,3.201,0.024
2024,Overwinter,1,5,B,No,8/16/23,6/30/24,319,Mixed,C,1.59,3.227,5,1.619,3.381,3.209,0.018
2024,Overwinter,1,8,C,No,8/16/23,6/30/24,319,Mixed,C,1.55,3.223,5,1.654,3.346,3.204,0.019
2024,Overwinter,2,5,B,No,8/16/23,6/30/24,319,Mixed,R,1.56,4.021,5,2.425,2.575,3.985,0.036
2024,Overwinter,2,8,C,No,8/16/23,6/30/24,319,Mixed,R,1.54,3.424,5,1.871,3.129,3.411,0.013
2024,Overwinter,2,1,A,Yes,8/16/23,6/30/24,319,Mixed,R,1.57,,,,,,
2024,Overwinter,3,4,B,No,8/16/23,6/30/24,319,Castilleja,C,1.55,2.901,5,1.32,3.68,2.87,0.031
2024,Overwinter,3,6,C,No,8/16/23,6/30/24,319,Castilleja,C,1.56,2.988,5,1.393,3.607,2.953,0.035
2024,Overwinter,3,1,A,Yes,8/16/23,6/30/24,319,Castilleja,C,1.59,,,,,,
2024,Overwinter,4,1,A,No,8/16/23,6/30/24,319,Castilleja,R,1.57,2.801,5,1.184,3.816,2.754,0.047
2024,Overwinter,4,3,B,No,8/16/23,6/30/24,319,Castilleja,R,1.57,3.209,5,1.599,3.401,3.169,0.04
2024,Overwinter,4,8,C,No,8/16/23,6/30/24,319,Castilleja,R,1.55,2.865,5,1.288,3.712,2.838,0.027
2024,Overwinter,5,1,A,No,8/16/23,6/30/24,319,Community,R,1.56,2.883,5,1.301,3.699,2.861,0.022
2024,Overwinter,5,2,B,No,8/16/23,6/30/24,319,Community,R,1.56,3.29,5,1.665,3.335,3.225,0.065
2024,Overwinter,5,4,C,No,8/16/23,6/30/24,319,Community,R,1.55,2.852,5,1.257,3.743,2.807,0.045
2024,Overwinter,6,2,A,No,8/16/23,6/30/24,319,Community,C,1.55,3.06,5,1.473,3.527,3.023,0.037
