Species,Origin,Date,Description,Sterilized,Amount,strat exit date,Stratification length,first germ date,days to first germ,germ,molded,failed,percent germ,percent mold,Notes
Lupinus texensis,NA Seeds,2/22,N/A,N,10,2/22,0,3/4,11,5,1,4,50.00%,10.00%,
Lupinus texensis,NA Seeds,2/28,N/A,N,10,3/8,9,3/11,3,3,2,5,30.00%,20.00%,
Lupinus texensis,NA Seeds,2/28,N/A,N,10,3/8,9,3/11,3,1,3,6,10.00%,30.00%,
Lupinus texensis,NA Seeds,2/28,N/A,N,10,3/8,9,3/11,3,3,7,0,30.00%,70.00%,
Lupinus texensis,Wildseed Farms,1/31,no spots,Y,13,2/12,12,2/15,3,2,3,8,15.38%,23.08%,
Lupinus texensis,Wildseed Farms,1/31,dark spots,Y,12,2/12,12,,,0,9,3,0.00%,75.00%,
Agalinus sp. ,Rabun County,2/1,N/A,Y,10,2/15,14,2/19,4,4,4,2,40.00%,40.00%,4 germ. seeds taken for direct sow 2/29/24
Agalinus sp. ,Rabun County,2/1,N/A,Y,10,2/28,27,3/4,5,5,3,2,50.00%,30.00%,
Lupinus texensis,Wildseed Farms,2/1,dark/gray,Y,13,2/15,14,,,1,5,7,7.69%,38.46%,
Lupinus texensis,Wildseed Farms,2/1,light/yellow,Y,12,2/15,14,,,,,,,,
Lupinus texensis,Wildseed Farms,2/16,large seeds,Y,12,3/1,14,3/4,3,,,,,,
Lupinus texensis,Wildseed Farms,2/16,small seeds,Y,13,3/1,14,3/4,3,,10,3,0.00%,76.92%,
Agalinus sp. ,Hambidge,2/22,N/A,Y,10,2/28,6,3/4,5,4,0,6,40.00%,0.00%,
Agalinus sp. ,Hambidge,2/22,N/A,Y,10,3/8,15,3/13,5,2,2,6,20.00%,20.00%,
Agalinus sp. ,Hambidge,2/22,N/A,Y,10,3/8,15,3/13,5,,,10,0.00%,0.00%,
Solidago sp.,Rabun County,2/22,N/A,Y,10,2/28,6,3/4,5,6,0,4,60.00%,0.00%,
Solidago sp.,Rabun County,2/22,N/A,Y,10,3/8,15,3/11,3,5,4,1,50.00%,40.00%,Took 4 seeds out for direct sow
Lupinus texensis,NA Seeds,2/28,N/A,Y,10,3/8,9,3/11,3,1,8,1,10.00%,80.00%,
Lupinus texensis,NA Seeds,2/28,N/A,Y,10,3/8,9,3/11,3,2,1,7,20.00%,10.00%,
Lupinus texensis,NA Seeds,2/28,N/A,Y,10,,,,,,,,,,
