"code","family","genus","species","functional_group","life_history","growth_form","spatial_rarity","temporal_rarity","response_ratio","occupancy_shift","dominance_class","indicator","nn_association","nn_freq_years","nn_infreq_years","turnover_class","turnover_magnitude"
"RIMO","Grossulariaceae","Ribes","montigenum","shrub","perennial","shrub",0,0,-0.130215748548899,-0.0875,"CP",TRUE,"As expected",0,0,"Control colonizer",1
"BAVU","Brassicaceae","Barbarea","vulgaris","forb","biennial","rossette, erect",0.862745098039216,0,-0.27007299270073,-0.075,"SP",TRUE,"As expected",0,0,"No clear response",1
"HYCA","Boraginaceae","Hydrophyllum","capitatum","forb","perennial","erect",0.686274509803922,0,-0.839080459770115,-0.075,"SP",TRUE,"As expected",0,0,"No clear response",2
"AGGL","Asteraceae","Agoseris","glauca","forb","perennial","rossette",0.705882352941176,0.333333333333333,-0.142857142857143,-0.075,"SP",TRUE,"As expected",0,0,"No clear response",3
"LIPO","Apiaceae","Ligusticum","porteri","forb","perennial","erect, clump",0.0392156862745098,0,-0.148936170212766,-0.05,"CP",TRUE,"As expected",0,0,"No clear response",0
"MESP","Poaceae","Melica","spectabilis","grass","perennial","cespitose, rhizome",0.274509803921569,0,0.214096304924289,0.0375,"SP",FALSE,"Frequent Neighbor",1,0,"No clear response",2
"RUSA","Polygonaceae","Rumex","salicifolius","forb","perennial","erect",0.235294117647059,0,-0.148091603053435,-0.0625,"CP",FALSE,"As expected",0,0,"No clear response",2
"THFE","Ranunculaceae","Thalictrum","fendleri","forb","perennial","erect",0.0980392156862745,0,-0.625,-0.05,"CP",FALSE,"As expected",0,0,"No clear response",0
"EREL","Asteraceae","Erigeron","elatior","forb","perennial","rhizome, clump",0.411764705882353,0.333333333333333,-0.123298327499028,-0.05,"SP",FALSE,"As expected",0,0,"No clear response",4
"HEMA","Apiaceae","Heracleum","maximum","forb","perennial","erect",0.137254901960784,0,0.145631067961165,-0.0375,"CP",FALSE,"As expected",0,0,"Control extirpation",-2
"FRVI","Rosaceae","Fragaria","virginiana","forb","perennial","rhizome, stolon",0.509803921568627,0,0.0950683986665134,0.125,"SP",FALSE,"As expected",0,0,"Control colonizer",3
"CAHO","Cyperaceae","Carex","hoodii","sedge","perennial","rhizome, stolon",0.568627450980392,0,0.250766400980993,0.0125,"SP",FALSE,"As expected",0,0,"No clear response",0
"POST","Poaceae","Poa","stenantha","grass","perennial","cespitose",0.490196078431373,0.666666666666667,-0.411764705882353,-0.025,"SI",FALSE,"As expected",0,0,"No clear response",2
"LUAR","Fabaceae","Lupinus","argenteus","legume","perennial","erect, clump",0.117647058823529,0,-0.069264904495466,-0.075,"CP",FALSE,"Frequent Neighbor",1,0,"No clear response",1
"TRSP","Poaceae","Trisetum","spicatum","grass","perennial","cespitose",0.294117647058823,0.333333333333333,-0.6,-0.025,"SP",FALSE,"As expected",0,0,"No clear response",0
"VINU","Violaceae","Viola","nuttallii","forb","perennial","rhizome",0.92156862745098,0,0.18413262285376,0.0375,"SP",FALSE,"As expected",0,0,"No clear response",6
"POPR","Poaceae","Poa","pratensis","grass","perennial","tiller, clump",0.196078431372549,0,-0.0818455011490189,-0.0125,"CP",FALSE,"As expected",0,0,"Removal extirpation",1
"POGR","Rosaceae","Potentilla","gracilis","forb","perennial","caudex, rhizome",0.313725490196078,0,0.167566833880974,-0.0625,"SP",FALSE,"Frequent Neighbor",1,0,"No clear response",0
"TAOF","Asteraceae","Taraxacum","officinale","forb","perennial","rossette",0.666666666666667,0.333333333333333,-0.111111111111111,-0.0375,"SP",FALSE,"As expected",0,0,"No clear response",2
"DESO","Brassicaceae","Descurainia","sophia","forb","perennial","erect",0.88235294117647,0.666666666666667,-0.574803149606299,0.025,"SI",FALSE,"As expected",0,0,"No clear response",-2
"DEBA","Ranunculaceae","Delphinium","barbeyi","forb","perennial","erect, clump",0.254901960784314,0,-0.12867530825166,-0.0625,"SP",FALSE,"As expected",0,0,"Removal extirpation",2
"RAIN","Ranunculaceae","Ranunculus","inamoenus","forb","perennial","corm",0.803921568627451,0.666666666666667,-0.818181818181818,-0.0125,"SI",FALSE,"As expected",0,0,"No clear response",1
"GEPA","Gentianaceae","Gentiana","parryi","forb","perennial","erect",NA,NA,NA,NA,NA,FALSE,"As expected",0,0,"No clear response",0
"ERGR","Liliaceae","Erythronium","grandiflorum","forb","perennial","rhizome",0.725490196078431,0.333333333333333,-0.134728033472803,0.0125,"SP",FALSE,"As expected",0,0,"No clear response",6
"HYHO","Asteraceae","Hymenoxys","hoopesii","forb","perennial","erect",0.176470588235294,0,-0.0640247150314264,-0.0375,"CP",FALSE,"As expected",0,0,"No clear response",5
"VAOC","Caprifoliaceae","Valeriana","occidentalis","forb","perennial","rhizome",0.372549019607843,0,0.0706061264392787,0.0375,"SP",FALSE,"As expected",0,0,"Control colonizer",7
"AQCO","Ranunculaceae","Aquilegia","coerulea","forb","perennial","bushy, clump",0.450980392156863,0,0.0173913043478261,-0.075,"SP",FALSE,"As expected",0,0,"Removal extirpation",2
"MOUN","Ericaceae","Moneses","uniflora","forb","perennial","rossette",0.627450980392157,0.666666666666667,0.121495327102804,-0.025,"SI",FALSE,"As expected",0,0,NA,NA
"MECI","Boraginaceae","Mertensia","ciliata","forb","perennial","erect, clump",0.470588235294118,0,-0.0499080036798528,0.075,"SP",FALSE,"As expected",0,0,"Control colonizer",7
"ERSP","Asteraceae","Erigeron","speciosus","forb","perennial","rhizome, clump",0.333333333333333,0,0.0429447852760737,-0.0375,"SP",FALSE,"As expected",0,0,"No clear response",-2
"NOFE","Brassicaceae","Noccaea","fendleri","forb","perennial","erect, clump",0.980392156862745,0.666666666666667,0.454545454545455,0.0125,"SI",FALSE,"As expected",0,0,"No clear response",1
"BOST","Brassicaceae","Boechera","stricta","forb","biennial","rossette",0.901960784313726,0.666666666666667,-0.0588235294117647,-0.0125,"SI",FALSE,"As expected",0,0,NA,NA
"ELGL","Poaceae","Elymus","glaucus","grass","perennial","erect",0.215686274509804,0,-0.00449456429016926,-0.0125,"CP",FALSE,"Frequent Neighbor",3,0,"No clear response",0
"BRPU","Poaceae","Bromus","pumpellianus","grass","perennial","cespitose, rhizome",0.647058823529412,0,0.0403354396740093,0.0125,"SP",FALSE,"As expected",0,0,"No clear response",3
"ANSE","Primulaceae","Androsace","septentrionalis","forb","annual","rossette",0.96078431372549,0,0.231051906293064,-0.025,"SP",FALSE,"As expected",0,0,"Control colonizer",8
"ERCO","Asteraceae","Erigeron","coulteri","forb","perennial","rhizome",0.549019607843137,0,0.00940438871473355,0.05,"SP",FALSE,"As expected",0,0,"No clear response",1
"DRSP","Brassicaceae ","Draba","spectabilis","forb","perennial","rossette",0.843137254901961,0.666666666666667,0.138353765323993,0.0125,"SI",FALSE,"As expected",0,0,"No clear response",0
"CHAN","Onagraceae","Chamaenerion","angustifolium","forb","perennial","rhizome",0.0588235294117647,0,-0.0546691667695901,0.0375,"CP",FALSE,"As expected",0,0,"No clear response",5
"GABI","Rubiaceae","Galium","bifolium","forb","perennial","erect",0.823529411764706,0.333333333333333,0.135371179039301,0.025,"SP",FALSE,"As expected",0,0,"No clear response",2
"GERI","Geraniaceae","Geranium","richardsonii","forb","perennial","rhizome",0.431372549019608,0,-0.145522388059702,0,"SP",FALSE,"As expected",0,0,"No clear response",3
"SECR","Asteraceae","Senecio","crassulus","forb","perennial","rhizome",0.352941176470588,0,-0.00907344537205954,0.025,"SP",FALSE,"As expected",0,0,"No clear response",3
"HEQU","Asteraceae","Helianthella","quinquenervis","forb","perennial","clump",0.0784313725490197,0,0.117114572231995,-0.0625,"CP",FALSE,"Infrequent Neighbor",0,1,"No clear response",2
"PHAL","Poaceae","Phleum","alpinum","grass","perennial","cespitose, rhizome",0.588235294117647,0,0.0718954248366013,-0.025,"SP",FALSE,"As expected",0,0,"Removal colonizer",-3
"CACA","Poaceae","Calamagrostis","canadensis","grass","perennial","cespitose, rhizome",0.156862745098039,0.666666666666667,-0.172413793103448,0,"CI",FALSE,"As expected",0,0,"Removal colonizer",-1
"DOEN","Asteraceae","Doellingeria","engelmannii","forb","perennial","caudex, rhizome",NA,NA,NA,NA,NA,FALSE,"As expected",0,0,NA,NA
"PHPR","Poaceae","Phleum","pratense","grass","perennial","erect, clump",NA,NA,NA,NA,NA,FALSE,"As expected",0,0,"Control extirpation",-1
"RHIN","Crassulaceae","Rhodiola","integrifolia","forb","perennial","erect",0.529411764705882,0,0.25,-0.0375,"SP",FALSE,"As expected",0,0,"No clear response",0
"CAPE","Campanulaceae","Campanula","petiolata","forb","perennial","rossette",NA,NA,NA,NA,NA,FALSE,"As expected",0,0,"Removal colonizer",-1
"HEMU","Asteraceae","Heliomeris","multiflora","forb","perennial","erect, clump",0.803921568627451,0.666666666666667,0.2,0,"SI",FALSE,"As expected",0,0,"No clear response",0
"FEEA","Poaceae","Festuca","earlei","grass","perennial","cespitose, rhizome",NA,NA,NA,NA,NA,FALSE,"As expected",0,0,NA,NA
"VECA","Melanthiaceae","Veratrum","californicum","forb","perennial","rhizome",0.0196078431372549,0,-0.617834394904459,-0.025,"CP",FALSE,"As expected",0,0,"Removal colonizer",-1
"SIDR","Caryophyllaceae","Silene","drummondii","forb","perennial","erect",NA,NA,NA,NA,NA,FALSE,"As expected",0,0,"Removal colonizer",-1
"EPCI","Onagraceae","Epilobium","ciliatum","forb","perennial","rossette",NA,NA,NA,NA,NA,FALSE,"As expected",0,0,"Control extirpation",-1
"PLTW","Plantaginaceae","Plantago","tweedyi","forb","perennial","rossette",NA,NA,NA,NA,NA,FALSE,"As expected",0,0,"Control colonizer",1
"TRHY","Fabaceae","Trifolium","hybridum","legume","perennial","erect, clump",NA,NA,NA,NA,NA,FALSE,"As expected",0,0,"Control colonizer",1
