year,date,site,fieldplot,Block,Near,removal_species,code,cover,count,removed,held
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,bare,30,,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,litter,0,,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,rock,2,,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,VAOC,15,7,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,LIPO,6,2,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,HYHO,10,2,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,POGR,13,9,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,LUAR,5,1,y,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,HEQU,20,6,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,CAHO,5,10,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,BRPU,0.2,2,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,MESP,10,3,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,ANSE,0.5,1,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,FRVI,0.5,2,,
2024,8/8/24,Emerald Lake,R1,1,"13,1,12",LUAR,DEBA,0.1,1,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,bare,70,,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,litter,6,,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,rock,2,,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,HYHO,15,8,y,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,ELGL,5,9,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,CHAN,30,11,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,HEMA,2,2,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,LIPO,0.5,1,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,LUAR,4,2,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,MECI,1,5,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,HYCA,0.5,1,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,DEBA,3,1,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,GERI,0.5,1,,
2024,8/8/24,Emerald Lake,R2,4,"8,9",HYHO,SECR,1,3,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,bare,60,,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,litter,1,,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,rock,2,,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,CHAN,30,12,y,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,HYHO,20,10,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,RHIN,3,8,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,LUAR,10,5,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,MESP,4,6,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,HEMA,6,1,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,MECI,2,4,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,SECR,2,4,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,FRVI,1,1,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,BRPU,1,4,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,DEBA,0.5,1,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,MOUN,1,3,,
2024,8/8/24,Emerald Lake,R3,5,"9,10",CHAN,POGR,1,1,,
