year,date,site,fieldplot,pair,plot,block,collection,litter,removal,family,genus,species,code,functional_group,life_history,cover,count,nearest_neighbor,percent_cover
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,,,,bare,environmental,,25,0,0,0.25
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,,,,litter,environmental,,2,0,0,0.02
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,,,,rock,environmental,,1,0,0,0.01
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.5,2,0,0.005
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,3,3,0,0.03
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Brassicaceae ,Draba,spectabilis,DRSP,forb,perennial,0.1,2,0,0.001
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,4,3,0,0.04
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Geraniaceae,Geranium,richardsonii,GERI,forb,perennial,2,2,0,0.02
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,45,7,0,0.45
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,3,2,0,0.03
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,3,2,0,0.03
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,1,2,0,0.01
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Rosaceae,Potentilla,gracilis,POGR,forb,perennial,7,4,0,0.07
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Asteraceae,Senecio,crassulus,SECR,forb,perennial,4,3,0,0.04
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Poaceae,Bromus,pumpellianus,BRPU,grass,perennial,1,2,0,0.01
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Poaceae,Elymus,glaucus,ELGL,grass,perennial,12,4,0,0.12
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Poaceae,Melica,spectabilis,MESP,grass,perennial,10,6,0,0.1
2025,8/6/25,Emerald Lake,1A,1,1,1,Post,Mixed,R,Fabaceae,Lupinus,argenteus,LUAR,legume,perennial,3,10,0,0.03
2025,8/6/25,Emerald Lake,1B,1,2,1,Post,Mixed,C,,,,bare,environmental,,40,0,0,0.4
2025,8/6/25,Emerald Lake,1B,1,2,1,Post,Mixed,C,,,,litter,environmental,,1,0,0,0.01
2025,8/6/25,Emerald Lake,1B,1,2,1,Post,Mixed,C,,,,rock,environmental,,1,0,0,0.01
2025,8/6/25,Emerald Lake,1B,1,2,1,Post,Mixed,C,Asteraceae,Agoseris,glauca,AGGL,forb,perennial,1,2,0,0.01
2025,8/6/25,Emerald Lake,1B,1,2,1,Post,Mixed,C,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,0.5,1,0,0.005
2025,8/6/25,Emerald Lake,1B,1,2,1,Post,Mixed,C,Ranunculaceae,Aquilegia,coerulea,AQCO,forb,perennial,4,2,0,0.04
