Year,site,field_plot,pair,plot,block,litter,removal,removal_held,elevation,disturbance_distance,disturbance_type,soil_moisture,summer_precip,summer_temp,snowpack,snowfall
2023,Emerald Lake ,1A,1,1,1,Mixed,R,yes,3214.53,3.81,Treeline,5.68,0.80,19.35,246,362.6
2023,Emerald Lake ,1B,1,2,1,Mixed,C,yes,3214.30,5,Treeline,6.58,0.80,19.35,246,362.6
2023,Emerald Lake ,2A,2,3,2,Castilleja,C,yes,3214.13,2.95,Trail,7.08,0.80,19.35,246,362.6
2023,Emerald Lake ,2B,2,4,2,Castilleja,R,yes,3214.69,4.62,Treeline,6.06,0.80,19.35,246,362.6
2023,Emerald Lake ,3A,3,5,2,Community,R,yes,3213.22,5.78,Treeline,5.49,0.80,19.35,246,362.6
2023,Emerald Lake ,3B,3,6,2,Community,C,yes,3213.49,7,Creek,5.77,0.80,19.35,246,362.6
2023,Emerald Lake ,4A,4,7,2,Mixed,R,yes,3212.75,6.12,Treeline,6.31,0.80,19.35,246,362.6
2023,Emerald Lake ,4B,4,8,2,Mixed,C,yes,3212.82,6.8,Creek,6.30,0.80,19.35,246,362.6
2023,Emerald Lake ,5A,5,9,3,Mixed,C,yes,3214.16,3.46,Treeline,7.92,0.80,19.35,246,362.6
2023,Emerald Lake ,5B,5,10,3,Mixed,R,yes,3214.76,5.78,Trail,7.32,0.80,19.35,246,362.6
2023,Emerald Lake ,6A,6,11,3,Community,R,yes,3218.01,4.27,Treeline,6.64,0.80,19.35,246,362.6
2023,Emerald Lake ,6B,6,12,3,Community,C,yes,3214.81,5.16,Treeline,5.56,0.80,19.35,246,362.6
2023,Emerald Lake ,7A,7,13,4,Castilleja,C,yes,3210.22,3.3,Treeline,4.38,0.80,19.35,246,362.6
2023,Emerald Lake ,7B,7,14,4,Castilleja,R,yes,3210.28,4.7,Treeline,7.69,0.80,19.35,246,362.6
2023,Emerald Lake ,8A,8,15,4,Control,C,yes,3207.14,4.18,Treeline,5.97,0.80,19.35,246,362.6
2023,Emerald Lake ,8B,8,16,4,Control,R,yes,3209.16,4.61,Treeline,5.97,0.80,19.35,246,362.6
2023,Emerald Lake ,9A,9,17,5,Mixed,C,yes,3208.28,3.12,Treeline,6.11,0.80,19.35,246,362.6
2023,Emerald Lake ,9B,9,18,5,Mixed,R,yes,3207.11,4.35,Treeline,5.90,0.80,19.35,246,362.6
2023,Emerald Lake ,10A,10,19,5,Control,C,yes,3207.27,2.22,Treeline,8.90,0.80,19.35,246,362.6
2023,Emerald Lake ,10B,10,20,5,Control,R,yes,3207.81,2.57,Treeline,6.60,0.80,19.35,246,362.6
2023,Emerald Lake ,11A,11,21,3,Castilleja,C,yes,3211.66,9.25,Creek,4.05,0.80,19.35,246,362.6
2023,Emerald Lake ,11B,11,22,3,Castilleja,R,yes,3211.10,5.93,Creek,7.10,0.80,19.35,246,362.6
2023,Emerald Lake ,12A,12,23,3,Control,C,yes,3215.35,6.92,Treeline,7.13,0.80,19.35,246,362.6
2023,Emerald Lake ,12B,12,24,3,Control,R,yes,3211.64,9.6,Creek,6.87,0.80,19.35,246,362.6
2023,Emerald Lake ,13A,13,25,1,Control,R,yes,3217.02,4.62,Treeline,7.51,0.80,19.35,246,362.6
2023,Emerald Lake ,13B,13,26,1,Control,C,yes,3216.15,4.11,Trail,7.81,0.80,19.35,246,362.6
2023,Emerald Lake ,14A,14,27,1,Community,C,yes,3216.20,4.33,Treeline,5.34,0.80,19.35,246,362.6
2023,Emerald Lake ,14B,14,28,1,Community,R,yes,3216.00,7.29,Trail,6.15,0.80,19.35,246,362.6
2023,Emerald Lake ,15A,15,29,1,Castilleja,C,yes,3216.51,5.93,Treeline,6.95,0.80,19.35,246,362.6
2023,Emerald Lake ,15B,15,30,1,Castilleja,R,yes,3218.55,6.88,Trail,7.37,0.80,19.35,246,362.6
2023,Emerald Lake ,16A,16,31,2,Control,C,yes,3216.43,2.95,Treeline,7.61,0.80,19.35,246,362.6
2023,Emerald Lake ,16B,16,32,2,Control,R,yes,3215.72,5.1,Treeline,8.28,0.80,19.35,246,362.6
2023,Emerald Lake ,17A,17,33,4,Community,R,yes,3210.96,5.61,Trail,9.05,0.80,19.35,246,362.6
2023,Emerald Lake ,17B,17,34,4,Community,C,yes,3214.84,2.77,Trail,8.05,0.80,19.35,246,362.6
2023,Emerald Lake ,18A,18,35,5,Community,C,yes,3208.33,3.55,Trail,9.92,0.80,19.35,246,362.6
2023,Emerald Lake ,18B,18,36,5,Community,R,yes,3208.76,4,Treeline,6.84,0.80,19.35,246,362.6
2023,Emerald Lake ,19A,19,37,5,Castilleja,C,yes,3208.84,4.3,Treeline,5.78,0.80,19.35,246,362.6
2023,Emerald Lake ,19B,19,38,5,Castilleja,R,yes,3208.21,3.7,Treeline,5.78,0.80,19.35,246,362.6
2023,Emerald Lake ,20A,20,39,4,Mixed,C,yes,3210.32,1.9,Trail,10.40,0.80,19.35,246,362.6
2023,Emerald Lake ,20B,20,40,4,Mixed,R,yes,3213.27,3.37,Treeline,7.16,0.80,19.35,246,362.6
2024,Emerald Lake ,1A,1,1,1,Mixed,R,,3214.53,3.81,Treeline,9.70,2.24,18.13,164,300.4
2024,Emerald Lake ,1B,1,2,1,Mixed,C,,3214.30,5,Treeline,10.30,2.24,18.13,164,300.4
2024,Emerald Lake ,2A,2,3,2,Castilleja,C,,3214.13,2.95,Trail,9.95,2.24,18.13,164,300.4
2024,Emerald Lake ,2B,2,4,2,Castilleja,R,,3214.69,4.62,Treeline,6.34,2.24,18.13,164,300.4
2024,Emerald Lake ,3A,3,5,2,Community,R,,3213.22,5.78,Treeline,7.45,2.24,18.13,164,300.4
2024,Emerald Lake ,3B,3,6,2,Community,C,,3213.49,7,Creek,6.18,2.24,18.13,164,300.4
2024,Emerald Lake ,4A,4,7,2,Mixed,R,,3212.75,6.12,Treeline,7.25,2.24,18.13,164,300.4
2024,Emerald Lake ,4B,4,8,2,Mixed,C,,3212.82,6.8,Creek,8.80,2.24,18.13,164,300.4
2024,Emerald Lake ,5A,5,9,3,Mixed,C,,3214.16,3.46,Treeline,10.43,2.24,18.13,164,300.4
2024,Emerald Lake ,5B,5,10,3,Mixed,R,,3214.76,5.78,Trail,9.31,2.24,18.13,164,300.4
2024,Emerald Lake ,6A,6,11,3,Community,R,,3218.01,4.27,Treeline,5.50,2.24,18.13,164,300.4
2024,Emerald Lake ,6B,6,12,3,Community,C,,3214.81,5.16,Treeline,7.10,2.24,18.13,164,300.4
2024,Emerald Lake ,7A,7,13,4,Castilleja,C,,3210.22,3.3,Treeline,6.69,2.24,18.13,164,300.4
2024,Emerald Lake ,7B,7,14,4,Castilleja,R,,3210.28,4.7,Treeline,8.93,2.24,18.13,164,300.4
2024,Emerald Lake ,8A,8,15,4,Control,C,,3207.14,4.18,Treeline,5.83,2.24,18.13,164,300.4
2024,Emerald Lake ,8B,8,16,4,Control,R,,3209.16,4.61,Treeline,7.13,2.24,18.13,164,300.4
2024,Emerald Lake ,9A,9,17,5,Mixed,C,,3208.28,3.12,Treeline,7.56,2.24,18.13,164,300.4
2024,Emerald Lake ,9B,9,18,5,Mixed,R,,3207.11,4.35,Treeline,8.48,2.24,18.13,164,300.4
2024,Emerald Lake ,10A,10,19,5,Control,C,,3207.27,2.22,Treeline,8.79,2.24,18.13,164,300.4
2024,Emerald Lake ,10B,10,20,5,Control,R,,3207.81,2.57,Treeline,7.71,2.24,18.13,164,300.4
2024,Emerald Lake ,11A,11,21,3,Castilleja,C,,3211.66,9.25,Creek,7.05,2.24,18.13,164,300.4
2024,Emerald Lake ,11B,11,22,3,Castilleja,R,,3211.10,5.93,Creek,6.68,2.24,18.13,164,300.4
2024,Emerald Lake ,12A,12,23,3,Control,C,,3215.35,6.92,Treeline,7.24,2.24,18.13,164,300.4
2024,Emerald Lake ,12B,12,24,3,Control,R,,3211.64,9.6,Creek,7.80,2.24,18.13,164,300.4
2024,Emerald Lake ,13A,13,25,1,Control,R,,3217.02,4.62,Treeline,5.53,2.24,18.13,164,300.4
2024,Emerald Lake ,13B,13,26,1,Control,C,,3216.15,4.11,Trail,7.46,2.24,18.13,164,300.4
2024,Emerald Lake ,14A,14,27,1,Community,C,,3216.20,4.33,Treeline,7.49,2.24,18.13,164,300.4
2024,Emerald Lake ,14B,14,28,1,Community,R,,3216.00,7.29,Trail,7.86,2.24,18.13,164,300.4
2024,Emerald Lake ,15A,15,29,1,Castilleja,C,,3216.51,5.93,Treeline,7.50,2.24,18.13,164,300.4
2024,Emerald Lake ,15B,15,30,1,Castilleja,R,,3218.55,6.88,Trail,5.30,2.24,18.13,164,300.4
2024,Emerald Lake ,16A,16,31,2,Control,C,,3216.43,2.95,Treeline,9.58,2.24,18.13,164,300.4
2024,Emerald Lake ,16B,16,32,2,Control,R,,3215.72,5.1,Treeline,9.16,2.24,18.13,164,300.4
2024,Emerald Lake ,17A,17,33,4,Community,R,,3210.96,5.61,Trail,9.68,2.24,18.13,164,300.4
2024,Emerald Lake ,17B,17,34,4,Community,C,,3214.84,2.77,Trail,8.89,2.24,18.13,164,300.4
2024,Emerald Lake ,18A,18,35,5,Community,C,,3208.33,3.55,Trail,12.35,2.24,18.13,164,300.4
2024,Emerald Lake ,18B,18,36,5,Community,R,,3208.76,4,Treeline,11.73,2.24,18.13,164,300.4
2024,Emerald Lake ,19A,19,37,5,Castilleja,C,,3208.84,4.3,Treeline,5.75,2.24,18.13,164,300.4
2024,Emerald Lake ,19B,19,38,5,Castilleja,R,,3208.21,3.7,Treeline,5.75,2.24,18.13,164,300.4
2024,Emerald Lake ,20A,20,39,4,Mixed,C,,3210.32,1.9,Trail,14.78,2.24,18.13,164,300.4
2024,Emerald Lake ,20B,20,40,4,Mixed,R,,3213.27,3.37,Treeline,8.35,2.24,18.13,164,300.4
2025,Emerald Lake ,1A,1,1,1,Mixed,R,yes,3214.53,3.81,Treeline,2.59,1.00,19.74,90,226
2025,Emerald Lake ,1B,1,2,1,Mixed,C,yes,3214.30,5,Treeline,2.51,1.00,19.74,90,226
2025,Emerald Lake ,2A,2,3,2,Castilleja,C,yes,3214.13,2.95,Trail,2.89,1.00,19.74,90,226
2025,Emerald Lake ,2B,2,4,2,Castilleja,R,yes,3214.69,4.62,Treeline,3.19,1.00,19.74,90,226
2025,Emerald Lake ,3A,3,5,2,Community,R,yes,3213.22,5.78,Treeline,2.50,1.00,19.74,90,226
2025,Emerald Lake ,3B,3,6,2,Community,C,yes,3213.49,7,Creek,2.93,1.00,19.74,90,226
2025,Emerald Lake ,4A,4,7,2,Mixed,R,yes,3212.75,6.12,Treeline,2.59,1.00,19.74,90,226
2025,Emerald Lake ,4B,4,8,2,Mixed,C,yes,3212.82,6.8,Creek,3.00,1.00,19.74,90,226
2025,Emerald Lake ,5A,5,9,3,Mixed,C,yes,3214.16,3.46,Treeline,5.48,1.00,19.74,90,226
2025,Emerald Lake ,5B,5,10,3,Mixed,R,yes,3214.76,5.78,Trail,3.94,1.00,19.74,90,226
