host,parasite,replicate,date planted,parasite/host dead,parasite replanted,Biomass_host,biomass_parasite,host height 8,paraiste height 8,date 8 ,host height 1(cm),parasite height 1,date,host_height_2,parasite_height_2,Date,host height 8,parasite height 8,date 8,host height 4 ,parasite height 4 ,date 4,host height 5,parasite height 5,date 5,host height 6,parasite height 6,date 6,host height 7,parasite height 7,,,date 7 
SOAL,parasite,1,9/18,,n/a,2.445,0.161,,,,1.2,0.7,10/4,2.4,1.7,10/10,50.2,27,10/15,,,,,,,,,,,,,,
SOAL,parasite,2,9/18,10/4,n/a,1.389,,,,,0.9,,10/4,2.3,,10/10,34.1,,,,,,,,,,,,,,,,
SOAL,parasite,3,9/18,,n/a,2.89,0.155,,,,2.2,1.1,10/4,4.6,1.9,10/10,48.2,23.7,,,,,,,,,,,,,,,
SOAL,parasite,4,9/18,9/23,n/a,1.771,,,,,2,,10/4,3,,10/10,41,,,,,,,,,,,,,,,,
SOAL,parasite,5,9/18,,n/a,2.512,0.007,,,,1.4,0.3,10/4,3.3,0.6,10/10,48.7,10.9,,,,,,,,,,,,,,,
SOAL,parasite,6,9/18,,n/a,1.535,0.001,,,,0.6,0.2,10/4,2,0.4,10/10,44.8,1.3,,,,,,,,,,,,,,,
SOAL,parasite,7,9/18,,n/a,3.175,0.12,,,,2.8,0.7,10/4,3.7,1.1,10/10,55.6,20.5,,,,,,,,,,,,,,,
SOAL,parasite,8,9/18,,n/a,3.254,0.023,,,,3.4,0.8,10/4,6.3,1.1,10/10,50.3,12.4,,,,,,,,,,,,,,,
SOAL,parasite,9,9/18,,n/a,1.637,,,,,1,0.2,10/4,2.4,0.6,10/10,37.5,,,,,,,,,,,,,,,,
SOAL,parasite,10,9/18,9/23,n/a,3.095,,,,,1.2,,10/4,2.4,,10/10,45.7,,,,,,,,,,,,,,,,
SOAL,control,1,10/3,,n/a,,,,,,1.6,n/a,10/22,,,,,,,,,,,,,,,,,,,,
SOAL,control,2,10/3,,n/a,4.511,,49.6,,12/6,2,n/a,10/22,,,,,,,,,,,,,,,,,,,,
SOAL,control,3,10/3,,n/a,5.353,,52.1,,,2.4,n/a,10/22,,,,,,,,,,,,,,,,,,,,
SOAL,control,4,10/3,,n/a,3.603,,56.5,,,1.2,n/a,10/22,,,,,,,,,,,,,,,,,,,,
SOAL,control,5,10/3,,n/a,4.466,,55,,,2.2,n/a,10/22,,,,,,,,,,,,,,,,,,,,
SOAL,control,6,10/3,,n/a,2.311,,55.7,,,1.1,n/a,10/22,,,,,,,,,,,,,,,,,,,,
SOAL,control,7,10/3,,n/a,3.917,,58.1,,,2.5,n/a,10/22,,,,,,,,,,,,,,,,,,,,
SOAL,control,8,10/3,,n/a,3.34,,56.3,,,1.8,n/a,10/22,,,,,,,,,,,,,,,,,,,,
SOAL,control,9,10/3,,n/a,5.142,,63.6,,,2.3,n/a,10/22,,,,,,,,,,,,,,,,,,,,
SOAL,control,10,10/4,,n/a,3.125,,55.5,,,1.7,n/a,10/22,,,,,,,,,,,,,,,,,,,,
HESU,parasite,1,9/18,,n/a,2.321,,,,,3.4,0.5,10/4,5.1,0.4,10/10,18.2,,,,,,,,,,,,,,,,
HESU,parasite,2,9/18,,n/a,3.492,0.389,,,,4.2,0.9,10/4,5.6,3.5,10/10,22.2,32.1,,,,,,,,,,,,,,,
HESU,parasite,3,9/18,,n/a,3.633,0.001,,,,4.1,0.2,10/4,2.8,0.3,10/10,25.8,1.7,,,,,,,,,,,,,,,
HESU,parasite,4,9/18,,n/a,0.49,,,,,1.7,0.2,10/4,1.8,0.2,10/10,11.6,,,,,,,,,,,,,,,,
HESU,parasite,5,9/18,,n/a,2.469,0.201,,,,3.8,0.9,10/4,4.3,1.5,10/10,20.8,22.4,,,,,,,,,,,,,,,
HESU,parasite,6,9/18,,n/a,1.174,0.022,,,,3.5,0.1,10/4,3.8,0.4,10/10,12.1,13.5,,,,,,,,,,,,,,,
HESU,parasite,7,9/18,,n/a,2.073,0.131,,,,4,0.7,10/4,5.5,1.4,10/10,17.5,22.3,,,,,,,,,,,,,,,
