pot_type,plant,light,replicate,identity,bio_type,biomass,final_height
P,CAIN,ambient,1,H1,AGB,0.244,5.6
P,CAIN,ambient,1,H1,BGB,0.191,
P,CAIN,low,10,H10,AGB,0.1,6.8
P,CAIN,low,10,H10,BGB,0.031,
P,CAIN,low,11,H11,AGB,0.076,4.3
P,CAIN,low,11,H11,BGB,0.017,
P,CAIN,ambient,12,H12,AGB,0.298,9.8
P,CAIN,ambient,12,H12,BGB,0.163,
P,CAIN,ambient,2,H2,AGB,0.381,8.3
P,CAIN,ambient,2,H2,BGB,0.262,
P,CAIN,low,3,H3,AGB,0.205,8.1
P,CAIN,low,3,H3,BGB,0.051,
P,CAIN,low,4,H4,AGB,0.152,7.5
P,CAIN,low,4,H4,BGB,0.025,
P,CAIN,ambient,5,H5,AGB,0.27,6
P,CAIN,ambient,5,H5,BGB,0.136,
P,CAIN,low,6,H6,AGB,0.241,8
P,CAIN,low,6,H6,BGB,0.039,
P,CAIN,ambient,7,H7,AGB,0.159,6.2
P,CAIN,ambient,7,H7,BGB,0.078,
P,CAIN,ambient,8,H8,AGB,0.444,7.4
P,CAIN,ambient,8,H8,BGB,0.186,
P,CAIN,low,9,H9,AGB,0.152,9.3
P,CAIN,low,9,H9,BGB,0.088,
HP,CAIN,ambient,1,HP1,AGB,0.197,5.2
HP,SCSC,ambient,1,HP1,AGB,0.008,5.5
HP,CAIN,ambient,1,HP1,BGB,0.131,
HP,SCSC,ambient,1,HP1,BGB,0.004,
HP,CAIN,low,10,HP10,AGB,0.04,2.4
HP,SCSC,low,10,HP10,AGB,0.176,43.5
HP,CAIN,low,10,HP10,BGB,0.018,
HP,SCSC,low,10,HP10,BGB,0.064,
HP,CAIN,ambient,12,HP12,AGB,0.135,5.8
HP,SCSC,ambient,12,HP12,AGB,,
HP,CAIN,ambient,12,HP12,BGB,0.117,
HP,SCSC,ambient,12,HP12,BGB,,
HP,CAIN,ambient,2,HP2,AGB,,
HP,SCSC,ambient,2,HP2,AGB,0.247,24.6
HP,CAIN,ambient,2,HP2,BGB,,
HP,SCSC,ambient,2,HP2,BGB,0.284,
HP,CAIN,ambient,3,HP3,AGB,0.041,3.3
HP,SCSC,ambient,3,HP3,AGB,0.298,27.5
HP,CAIN,ambient,3,HP3,BGB,0.007,
HP,SCSC,ambient,3,HP3,BGB,0.241,
HP,CAIN,low,4,HP4,AGB,0.076,4.1
HP,SCSC,low,4,HP4,AGB,0.072,36.2
HP,CAIN,ambient,4,HP11,AGB,0.122,4.6
HP,SCSC,ambient,4,HP11,AGB,0.079,25.8
HP,CAIN,low,4,HP4,BGB,0.019,
HP,CAIN,ambient,4,HP11,BGB,0.066,
HP,SCSC,low,4,HP4,BGB,0.03,
HP,SCSC,ambient,4,HP11,BGB,0.204,
HP,SCSC,low,5,HP5,AGB,0.209,35
HP,CAIN,low,5,HP5,AGB,0.011,2.9
HP,SCSC,low,5,HP5,BGB,0.148,
HP,CAIN,low,5,HP5,BGB,0.003,
HP,SCSC,low,6,HP6,AGB,0.163,41.8
HP,CAIN,low,6,HP6,AGB,0.094,6.7
HP,SCSC,low,6,HP6,BGB,0.132,
HP,CAIN,low,6,HP6,BGB,0.024,
HP,SCSC,low,7,HP7,AGB,0.083,23.7
HP,CAIN,low,7,HP7,AGB,0.086,5
HP,SCSC,low,7,HP7,BGB,0.065,
HP,CAIN,low,7,HP7,BGB,0.015,
HP,SCSC,low,8,HP8,AGB,0.177,40.1
HP,CAIN,low,8,HP8,AGB,0.069,5
HP,SCSC,low,8,HP8,BGB,0.09,
HP,CAIN,low,8,HP8,BGB,0.013,
HP,SCSC,ambient,9,HP9,AGB,0.167,28.1
HP,CAIN,ambient,9,HP9,AGB,0.067,3
HP,SCSC,ambient,9,HP9,BGB,0.247,
HP,CAIN,ambient,9,HP9,BGB,0.009,
H,SCSC,ambient,1,RH1,AGB,0.469,23.4
H,SCSC,ambient,1,RH1,BGB,,
H,SCSC,ambient,10,RH10,AGB,0.829,56.5
H,SCSC,ambient,10,RH10,BGB,0.619,
H,SCSC,ambient,11,RH11,AGB,0.288,34.8
H,SCSC,ambient,11,RH11,BGB,0.257,
H,SCSC,low,12,RH12,AGB,0.037,19
H,SCSC,low,12,RH12,BGB,0.014,
H,SCSC,low,2,RH2,AGB,0.34,42.3
H,SCSC,low,2,RH2,BGB,0.049,
H,SCSC,low,3,RH3,AGB,0.217,44.2
H,SCSC,low,3,RH3,BGB,0.076,
H,SCSC,low,4,RH4,AGB,0.695,42.2
H,SCSC,low,4,RH4,BGB,0.117,
H,SCSC,ambient,5,RH5,AGB,0.623,31.1
H,SCSC,ambient,5,RH5,BGB,0.463,
H,SCSC,low,6,RH6,AGB,0.236,47.4
H,SCSC,low,6,RH6,BGB,0.065,
H,SCSC,low,7,RH7,AGB,0.301,49.1
H,SCSC,low,7,RH7,BGB,0.079,
H,SCSC,ambient,8,RH8,AGB,0.768,59.3
H,SCSC,ambient,8,RH8,BGB,0.836,
H,SCSC,ambient,9,RH9,AGB,0.482,50.3
H,SCSC,ambient,9,RH9,BGB,0.506,
