box_id,group,host,parasite,treatment,soil_id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,1,soal,yes,sterilized,1,0.3,0.4,0.4,0.5,0.7,1.6,1.7,2.1,3,3.5
2,2,soal,yes,innoculated,1,0.2,0.5,2.5,4.1,9.6,10.5,3,4,4.5,7.5
5,1,soal,yes,sterilized,2,0.3,0.05,3.6,2.2,5.2,7.4,8.4,9.4,10.5,12.5
6,2,soal,yes,innoculated,2,0.1,0.4,1.4,2.3,6,7,7.1,8.3,9.4,10.5
9,1,soal,yes,sterilized,3,0.1,0.3,1,1,2.2,2.8,4,3.7,4.3,5.5
10,2,soal,yes,innoculated,3,0.4,0.4,2,2.2,2.7,4.5,4.1,4.9,6,6.3
13,1,soal,yes,sterilized,4,0.3,0.2,3.5,4.7,6.5,7.1,8,8.8,10.1,11.3
14,2,soal,yes,innoculated,4,0.3,0.8,1.5,2,4.1,6,6,7.8,9,10.5
17,1,soal,yes,sterilized,5,0.2,0.4,1,1.1,2.1,2,2.8,5.1,6.2,7.5
18,2,soal,yes,innoculated,5,0.4,0.4,2,2.3,5.6,6.7,7.2,7.5,6,9.5
21,1,soal,yes,sterilized,6,0.1,0.3,1.8,2.7,5.5,6.6,7.5,7.8,9.5,11
22,2,soal,yes,innoculated,6,0.3,0.3,1.5,1.2,5.5,7.5,8.3,9.4,10,11.3
25,1,soal,yes,sterilized,7,0.1,0.3,1.5,1.4,1,2.4,3.1,4.8,5,2.2
26,2,soal,yes,innoculated,7,0.2,0.2,0.2,0.3,0.3,0.2,0.5,0.6,0,0
29,1,soal,yes,sterilized,8,0.3,0.3,1.5,1.7,3.9,4.8,6,7.5,6,7.6
30,2,soal,yes,innoculated,8,0.5,0.8,5.5,6,10.3,11.4,13.2,15.8,18.5,20.5
33,1,soal,yes,sterilized,9,0.1,0.4,0.8,1.4,1.9,2.5,4,6,8,9.7
34,2,soal,yes,innoculated,9,0.2,0.3,0.5,0.8,1,12.4,2.1,3,3,3
37,1,soal,yes,sterilized,10,0.1,0.2,1,1.7,2.5,3.2,5.1,6.4,6,7
38,2,soal,yes,innoculated,10,0.2,0.4,3,5,10.2,2.8,14.3,16.1,18.5,20.5
41,1,soal,yes,sterilized,11,0.3,0.2,0.5,0.7,0.3,0.4,1.2,1.3,2,3
42,2,soal,yes,innoculated,11,0.1,0.1,0.3,0.5,0.2,0.5,0.4,0.6,0.4,0.5
