pot_id,sample_id,replicate,pot_treatment,light,species,focal_species,focal_code,bag_above,bag_below,bag_and_above,bag_and_below,above,below,total
L_1_P1,L_1_P1_AGPU,1,alone,Low,P1,A. purpurea,AGPU,9.489,9.542,11.059,11.131,1.570,1.589,3.159
L_2_P1,L_2_P1_AGPU,2,alone,Low,P1,A. purpurea,AGPU,9.624,9.622,11.272,11.415,1.648,1.793,3.441
L_3_P1,L_3_P1_AGPU,3,alone,Low,P1,A. purpurea,AGPU,9.469,9.817,11.158,11.481,1.689,1.664,3.353
L_4_P1,L_4_P1_AGPU,4,alone,Low,P1,A. purpurea,AGPU,,,,,,,
L_5_P1,L_5_P1_AGPU,5,alone,Low,P1,A. purpurea,AGPU,9.911,9.911,11.839,11.746,1.928,1.835,3.763
A_1_P1,A_1_P1_AGPU,1,alone,Ambient,P1,A. purpurea,AGPU,,,,,,,
A_2_P1,A_2_P1_AGPU,2,alone,Ambient,P1,A. purpurea,AGPU,9.620,9.326,11.344,10.953,1.724,1.627,3.351
A_3_P1,A_3_P1_AGPU,3,alone,Ambient,P1,A. purpurea,AGPU,9.330,9.432,11.018,11.103,1.688,1.671,3.359
A_4_P1,A_4_P1_AGPU,4,alone,Ambient,P1,A. purpurea,AGPU,9.707,9.481,11.417,11.237,1.710,1.756,3.466
A_5_P1,A_5_P1_AGPU,5,alone,Ambient,P1,A. purpurea,AGPU,,,,,,,
L_1_H1,L_1_H1_SCSC,1,alone,Low,H1,S. scoparium,SCSC,9.639,9.538,11.516,11.341,1.877,1.803,3.680
L_2_H1,L_2_H1_SCSC,2,alone,Low,H1,S. scoparium,SCSC,9.477,9.584,11.484,11.579,2.007,1.995,4.002
L_3_H1,L_3_H1_SCSC,3,alone,Low,H1,S. scoparium,SCSC,9.463,9.418,11.296,11.336,1.833,1.918,3.751
L_4_H1,L_4_H1_SCSC,4,alone,Low,H1,S. scoparium,SCSC,9.597,9.674,11.490,11.492,1.893,1.818,3.711
L_5_H1,L_5_H1_SCSC,5,alone,Low,H1,S. scoparium,SCSC,9.776,9.675,11.656,11.577,1.880,1.902,3.782
A_1_H1,A_1_H1_SCSC,1,alone,Ambient,H1,S. scoparium,SCSC,9.701,9.856,11.907,12.131,2.206,2.275,4.481
A_2_H1,A_2_H1_SCSC,2,alone,Ambient,H1,S. scoparium,SCSC,9.675,9.431,11.495,11.285,1.820,1.854,3.674
A_3_H1,A_3_H1_SCSC,3,alone,Ambient,H1,S. scoparium,SCSC,9.144,9.755,11.465,12.146,2.321,2.391,4.712
A_4_H1,A_4_H1_SCSC,4,alone,Ambient,H1,S. scoparium,SCSC,9.968,10.041,12.568,12.932,2.600,2.891,5.491
A_5_H1,A_5_H1_SCSC,5,alone,Ambient,H1,S. scoparium,SCSC,9.806,9.748,11.648,11.686,1.842,1.938,3.780
L_1_H2,L_1_H2_SYRA,1,alone,Low,H2,S. racemosum,SYRA,9.663,9.503,11.792,11.644,2.129,2.141,4.270
L_2_H2,L_2_H2_SYRA,2,alone,Low,H2,S. racemosum,SYRA,9.612,9.715,11.999,11.917,2.387,2.202,4.589
L_3_H2,L_3_H2_SYRA,3,alone,Low,H2,S. racemosum,SYRA,9.571,10.125,12.550,12.300,2.979,2.175,5.154
L_4_H2,L_4_H2_SYRA,4,alone,Low,H2,S. racemosum,SYRA,9.885,9.837,11.879,11.874,1.994,2.037,4.031
L_5_H2,L_5_H2_SYRA,5,alone,Low,H2,S. racemosum,SYRA,10.076,10.172,12.076,12.170,2.000,1.998,3.998
A_1_H2,A_1_H2_SYRA,1,alone,Ambient,H2,S. racemosum,SYRA,9.832,9.602,11.867,11.981,2.035,2.379,4.414
A_2_H2,A_2_H2_SYRA,2,alone,Ambient,H2,S. racemosum,SYRA,9.766,10.143,12.062,12.812,2.296,2.669,4.965
