,Authors,Article Title,Journal,Publish year,DOI,DOI link,,Result,Name,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,"McGuire, KL; Fierer, N; Bateman, C; Treseder, KK; Turner, BL",Fungal Community Composition in Neotropical Rain Forests: the Influence of Tree Diversity and Precipitation,MICROBIAL ECOLOGY,2012,10.1007/s00248-011-9973-x,http://dx.doi.org/10.1007/s00248-011-9973-x,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,"Tielens, EK; Neel, MN; Leopold, DR; Giardina, CP; Gruner, DS",Multiscale analysis of canopy arthropod diversity in a volcanically fragmented landscape,ECOSPHERE,2019,10.1002/ecs2.2653,http://dx.doi.org/10.1002/ecs2.2653,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,"Weerasekara, C; Udawatta, RP; Jose, S; Kremer, RJ; Weerasekara, C",Soil quality differences in a row-crop watershed with agroforestry and grass buffers,AGROFORESTRY SYSTEMS,2016,10.1007/s10457-016-9903-5,http://dx.doi.org/10.1007/s10457-016-9903-5,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,"dela Rosa, CJO; Lee, AC; Rivera, WL",Pink Pigmented Facultative Methylotrophic Bacteria Isolated from Fermented Philippine Shrimp Paste,TROPICAL LIFE SCIENCES RESEARCH,2021,10.21315/tlsr2021.32.2.10,http://dx.doi.org/10.21315/tlsr2021.32.2.10,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,"Churchland, C; Grayston, SJ; Bengtson, P",Spatial variability of soil fungal and bacterial abundance: Consequences for carbon turnover along a transition from a forested to clear-cut site,SOIL BIOLOGY & BIOCHEMISTRY,2013,10.1016/j.soilbio.2013.03.015,http://dx.doi.org/10.1016/j.soilbio.2013.03.015,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,"Ma, QY; Kong, DL; Zhang, Q; Li, MM; Han, XY; Che, J; Zhou, YQ; Zhang, W; Jiang, X; Ruan, ZY","Microbacterium sulfonylureivorans sp. nov., isolated from sulfonylurea herbicides degrading consortium",ARCHIVES OF MICROBIOLOGY,2022,10.1007/s00203-021-02750-4,http://dx.doi.org/10.1007/s00203-021-02750-4,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,"Browne, G; Ott, N; Poret-Peterson, A; Gouran, H; Lampinen, B",Efficacy of Anaerobic Soil Disinfestation for Control of Prunus Replant Disease,PLANT DISEASE,2018,10.1094/PDIS-09-16-1392-RE,http://dx.doi.org/10.1094/PDIS-09-16-1392-RE,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,"Queloz, V; Grünig, CR; Sieber, TN; Holdenrieder, O",Monitoring the spatial and temporal dynamics of a community of the tree-root endophyte Phialocephala fortinii sl,NEW PHYTOLOGIST,2005,10.1111/j.1469-8137.2005.01529.x,http://dx.doi.org/10.1111/j.1469-8137.2005.01529.x,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,"Roberts, C; Allen Jones, J",Soil patchiness in juniper-sagebrush-grass communities of central Oregon,PLANT AND SOIL,2000,10.1023/A:1004745329332,http://dx.doi.org/10.1023/A:1004745329332,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,"Panwar, P; Pal, S; Chakravarty, S; Alam, M","Soil quality and production of low land paddy under agrisilviculture systems in acid soil of West Bengal, India",RANGE MANAGEMENT AND AGROFORESTRY,2013,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,"Lu, S; Meng, P; Zhang, JS; Yin, CJ; Sun, SY",Changes in soil organic carbon and total nitrogen in croplands converted to walnut-based agroforestry systems and orchards in southeastern Loess Plateau of China,ENVIRONMENTAL MONITORING AND ASSESSMENT,2015,10.1007/s10661-014-4131-9,http://dx.doi.org/10.1007/s10661-014-4131-9,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,"Bunney, K; Robertson, MP; Eggleton, P; Parr, CL",Shifting soils: The characteristics and dynamics of termite soil sheeting in a savanna,APPLIED SOIL ECOLOGY,2026,10.1016/j.apsoil.2025.106624,http://dx.doi.org/10.1016/j.apsoil.2025.106624,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,"Enebak, SA; Bucciarelli, B; Ostry, ME; Li, B",Histological analyses of the host response of two aspen genotypes to wounding and inoculation with Hypoxylon mammatum,EUROPEAN JOURNAL OF FOREST PATHOLOGY,1997,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,"Deakin, G; Tilston, EL; Bennett, J; Passey, T; Harrison, N; Fernández-Fernández, F; Xu, XM",Spatial structuring of soil microbial communities in commercial apple orchards,APPLIED SOIL ECOLOGY,2018,10.1016/j.apsoil.2018.05.015,http://dx.doi.org/10.1016/j.apsoil.2018.05.015,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,"Ostonen, I; Helmisaari, HS; Borken, W; Tedersoo, L; Kukumägi, M; Bahram, M; Lindroos, AJ; Nöjd, P; Uri, V; Merilä, P; Asi, E; Lohmus, K",Fine root foraging strategies in Norway spruce forests across a European climate gradient,GLOBAL CHANGE BIOLOGY,2011,10.1111/j.1365-2486.2011.02501.x,http://dx.doi.org/10.1111/j.1365-2486.2011.02501.x,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,"Montesinos-Navarro, A; Verdú, M; Querejeta, JI; Valiente-Banuet, A",Nurse shrubs can receive water stored in the parenchyma of their facilitated columnar cacti,JOURNAL OF ARID ENVIRONMENTS,2019,10.1016/j.jaridenv.2019.04.011,http://dx.doi.org/10.1016/j.jaridenv.2019.04.011,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
