Scientific Name,Parasitic Habit,Native,Ecosystem,Host,INat Observations,State Protection,Federal Protection,Georgia Status (NatureServ),Georgia Status (DNR),Global Status (NatureServ),EO's,Habitat Description (DNR),GA Biodiversity Portal Link,NatureServ Link,INat Link
Agalinis aphylla,Root Hemiparasite,,Wetland,,1,No Georgia state protection,No US federal protection,S2,S2,,12,Pitcherplant bogs; pine flatwoods,https://georgiabiodiversity.org/natels/profile?es_id=20070,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144947/Agalinis_aphylla,https://www.inaturalist.org/taxa/158045-Agalinis-aphylla
Agalinis decemloba,Root Hemiparasite,,Grassland,,1,No Georgia state protection,No US federal protection,S1,S1,,2,"Dry, grassy meadows.",https://georgiabiodiversity.org/natels/profile?es_id=15912,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157615/Agalinis_decemloba,
Agalinis divaricata,Root Hemiparasite,,Savannah,,0,No Georgia state protection,No US federal protection,S1,S1?,,5,"Dry, grassy, pine-scrub oak ridges",https://georgiabiodiversity.org/natels/profile?es_id=15287,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151185/Agalinis_divaricata,
Agalinis fasciculata,Root Hemiparasite,,Grassland,Generalist,139,,,SNR,N/A,,N/A,N/A,N/A,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135271/Agalinis_fasciculata,
Agalinis filicaulis,Root Hemiparasite,,Wetland,,0,No Georgia state protection,No US federal protection,S2,S2?,,3,"Seasonally wet, longleaf pine-wiregrass savannas; grassy pine barrens",https://georgiabiodiversity.org/natels/profile?es_id=21809,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135270/Agalinis_filicaulis,
Agalinis filifolia,Root Hemiparasite,,Sandhills,,8,No Georgia state protection,No US federal protection,S2,S2?,,6,"Dry, sandy, longleaf pinelands",https://georgiabiodiversity.org/natels/profile?es_id=15439,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136666/Agalinis_filifolia,
Agalinis gattingeri,Root Hemiparasite,,Grassland,,5,No Georgia state protection,No US federal protection,SH,SH,,1,"Cherty soils in oak-pine woods, glades",https://georgiabiodiversity.org/natels/profile?es_id=20076,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150817/Agalinis_gattingeri,
Agalinis harperi,Root Hemiparasite,,Wetland,,0,No Georgia state protection,No US federal protection,SNR,SH,,7,"Pine savannas, bogs, interdune swales",https://georgiabiodiversity.org/natels/profile?es_id=19435,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.158360/Agalinis_harperi,
Agalinis heterophylla,Root Hemiparasite,,Grassland,,3,,,,,,,,,,
Agalinis laxa,Root Hemiparasite,,Savannah,,1,No Georgia state protection,No US federal protection,S1,S1,,5,Dry longleaf pine sandhills,https://georgiabiodiversity.org/natels/profile?es_id=17175,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153432/Agalinis_laxa,
Agalinis linifolia,Root Hemiparasite,,Wetland,,7,,,S3,N/A,,N/A,N/A,N/A,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159842/Agalinis_linifolia,
Agalinis maritima,Root Hemiparasite,,Salt-marsh,,0,No Georgia state protection,No US federal protection,SNR,S1,,1,Saltmarsh,https://georgiabiodiversity.org/natels/profile?es_id=34911,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146178/Agalinis_maritima,
Agalinis obtusifolia,Root Hemiparasite,,Wetland,Generalist,3,,,S4,N/A,,N/A,N/A,N/A,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.982846/Agalinis_obtusifolia,
Agalinis plukenetii,Root Hemiparasite,,Forest-Edge,,4,,,S3,N/A,,N/A,N/A,N/A,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134587/Agalinis_plukenetii,
Agalinis pulchella,Root Hemiparasite,,Savannah,,1,No Georgia state protection,No US federal protection,S3,S3?,,2,"Dry, sandy, open, longleaf pinelands",,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133723/Agalinis_pulchella,
Agalinis purpurea,Root Hemiparasite,,Grassland,Generalist,256,,,S5,N/A,,N/A,N/A,N/A,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138944/Agalinis_purpurea,
Agalinis setacea,Root Hemiparasite,,Savannah,,2,,,S4,N/A,,N/A,N/A,N/A,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138476/Agalinis_setacea,
Agalinis tenella,Root Hemiparasite,,Savannah,,0,No Georgia state protection,No US federal protection,S2,S2?,,2,"Dry, sandy to loamy openings",https://georgiabiodiversity.org/natels/profile?es_id=21592,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135026/Agalinis_tenella,
Agalinis tenuifolia,Root Hemiparasite,,Grassland,,168,,,S5,N/A,,N/A,N/A,N/A,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136713/Agalinis_tenuifolia,
Aphyllon uniflorum,Root Holoparasite,,Forest,Hardwoods,42,,,,,,,,,,
Aureolaria flava,Root Hemiparasite,,Forest,White Oak,80,,,S1,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152809/Aureolaria_flava ,
Aureolaria grandiflora,Root Hemiparasite,,Savannah,White Oak,18,,,,,,,,,,
Aureolaria laevigata,Root Hemiparasite,,Forest,Oak,22,,,,,,,,,,
Aureolaria patula,Root Hemiparasite,,Forest,Oak,1,,,S1,S1,,10,,https://georgiabiodiversity.org/portal/profile?group=all&es_id=19070 ,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132298/Aureolaria_patula ,
Aureolaria pectinata,Root Hemiparasite,,Forest,Oak,90,,,,,,,,,,
Aureolaria pedicularia,Root Hemiparasite,,Forest,Oak,1,No Georgia state protection,No US federal protection,S1,S1?,,0,Oak woodlands and forests,https://georgiabiodiversity.org/natels/profile?es_id=18530,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143166/Aureolaria_pedicularia,
Aureolaria virginica,Root Hemiparasite,,Forest,Oak,144,,,SNR,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.141630/Aureolaria_virginica ,
Buchnera americana,Root Hemiparasite,,Grassland,Generalist,11,No Georgia state protection,No US federal protection,SNR,S1,,7,Wet meadows; seasonally moist barrens and limestone glades,https://georgiabiodiversity.org/natels/profile?es_id=15699,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140019/Buchnera_americana,
Buchnera floridana,Root Hemiparasite,,Savannah,Generalist,49,,,N/A,N/A,,N/A,N/A,N/A,N/A,
Buchnera longifolia,Root Hemiparasite,No?,Tropical,,0,,,SNR,N/A,,N/A,N/A,N/A,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136383/Buchnera_longifolia,
Castilleja coccinea,Root Hemiparasite,,Grassland,Generalist,12,No Georgia state protection,No US federal protection,S1,S1?,,9,Moist rock ledges; fens,https://georgiabiodiversity.org/natels/profile?es_id=21621,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135078/Castilleja_coccinea,
Comandra umbellata,Root Hemiparasite,,Grassland,Generalist,2,,,S3,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.141204/Comandra_umbellata ,
Conopholis americana,Root Holoparasite,,Forest,Red Oak,365,,,SNR,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154113/Conopholis_americana,
Cuscuta campestris,Stem Holoparasite,,,,20,,,,,,,,,,
Cuscuta cephalanthi,Stem Holoparasite,,,,0,No Georgia state protection,No US federal protection,SNA,SNA,,0,Assumed to be found on Buttonbush (Cephalanthus),https://georgiabiodiversity.org/natels/profile?es_id=15537 ,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151489/Cuscuta_cephalanthi ,
Cuscuta compacta,Stem Holoparasite,,,,11,,,SNR,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146516/Cuscuta_compacta,
Cuscuta gronovii,Stem Holoparasite,,,,49,,,SNR,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.128408/Cuscuta_gronovii,
Cuscuta harperi,Stem Holoparasite,,,,7,Endangered,No US federal protection,S1,S1,,4,Altamaha Grit outcrops; granite outcrops; often with Liatris microcephala as host,https://georgiabiodiversity.org/natels/profile?es_id=17779 ,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148128/Cuscuta_harperi,
Cuscuta indecora,Stem Holoparasite,,,,1,,,SNR,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155507/Cuscuta_indecora,
Cuscuta japonica,Stem Holoparasite,No,,,1,,,,,,,,,,
Cuscuta obtusiflora,Stem Holoparasite,,,,0,No Georgia state protection,No US federal protection,SNR,SNR,,0,"Parasitic, often on Polygonum or Justicia",,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153543/Cuscuta_obtusiflora,
Cuscuta pentagona,Stem Holoparasite,,,,6,,,SNR,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.145782/Cuscuta_pentagona,
Cuscuta rostrata,Stem Holoparasite,,,,5,No Georgia state protection,No US federal protection,S3,S3?,,0,High elevation forests on Eurybia chlorolepis,https://georgiabiodiversity.org/natels/profile?es_id=17941 ,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.130940/Cuscuta_rostrata,
Dasistoma macrophylla,Root Hemiparasite,,,,7,No Georgia state protection,No US federal protection,S1,S1?,,7,Rocky limestone woods,https://georgiabiodiversity.org/natels/profile?es_id=16633,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129490/Dasistoma_macrophylla,
Epifagus virginiana,Root Holoparasite,,,,192,,,SNR,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157617/Epifagus_virginiana,
Macranthera flammea,Root Hemiparasite,,,,0,Threatened,No US federal protection,S1,S1?,,15,"Wet, sandy thickets; pitcherplant bogs",https://georgiabiodiversity.org/natels/profile?es_id=21575 ,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146651/Macranthera_flammea,
Melampyrum lineare,Root Hemiparasite,,,,76,,,S5,N/A,,,,,,
Nestronia umbellula,Root Hemiparasite,,,,5,Rare,No US federal protection,S3,S3,,55,Mixed with dwarf shrubby heaths in oak-hickory-pine woods; often in transition areas between flatwoods and uplands,https://georgiabiodiversity.org/natels/profile?es_id=18249 ,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154456/Nestronia_umbellula,
Orobanche minor,Root Holoparasite,No,,,0,,,SNA,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152005/Orobanche_minor,
Orobanche uniflora,Root Holoparasite,,,,0,,,SNR,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.160934/Orobanche_uniflora,
Pedicularis canadensis,Root Hemiparasite,,,,189,,,SNR,N/A,,N/A,N/A,N/A,N/A,
Pedicularis lanceolata,Root Hemiparasite,,,,0,Endangered,No US federal protection,S1,S1,,3,Bogs and wet woods,https://georgiabiodiversity.org/natels/profile?es_id=18909 ,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132098/Pedicularis_lanceolata,
Phoradendron leucarpum,Stem Hemiparasite,,,,466,,,,,,,,,,
Pyrularia pubera,Stem Hemiparasite,,,,145,,,,,,,,,,
Schwalbea americana,Root Hemiparasite,,,,1,Endangered,Listed Endangered,S2,S2,,21,"Open pinelands, as in well-managed, somewhat moist longleaf pine-wiregrass forests seeps",,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144235/Schwalbea_americana,
Seymeria cassioides,Root Hemiparasite,,,,29,,,SNR,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129503/Seymeria_cassioides,
Seymeria pectinata,Root Hemiparasite,,,,34,,,SNR,,,,,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.144602/Seymeria_pectinata,
Viscum album,Stem Hemiparasite,No,,,1,,,,,,,,,,
