Scientific Name,Habit,State Protection,Federal Protection,Georgia Status (NatureServ),Georgia Status (DNR),EO's,Habitat
Agalinis aphylla,Root Hemiparasite,No Georgia state protection,No US federal protection,S2,S2,12,Pitcherplant bogs; pine flatwoods
Agalinis decemloba,Root Hemiparasite,No Georgia state protection,No US federal protection,S1,S1,2,"Dry, grassy meadows."
Agalinis divaricata,Root Hemiparasite,No Georgia state protection,No US federal protection,S1,S1?,5,"Dry, grassy, pine-scrub oak ridges"
Agalinis fasciculata,Root Hemiparasite,,,SNR,N/A,N/A,N/A
Agalinis filicaulis,Root Hemiparasite,No Georgia state protection,No US federal protection,S2,S2?,3,"Seasonally wet, longleaf pine-wiregrass savannas; grassy pine barrens"
Agalinis filifolia,Root Hemiparasite,No Georgia state protection,No US federal protection,S2,S2?,6,"Dry, sandy, longleaf pinelands"
Agalinis gattingeri,Root Hemiparasite,No Georgia state protection,No US federal protection,SH,SH,1,"Cherty soils in oak-pine woods, glades"
Agalinis harperi,Root Hemiparasite,No Georgia state protection,No US federal protection,SNR,SH,7,"Pine savannas, bogs, interdune swales"
Agalinis laxa,Root Hemiparasite,No Georgia state protection,No US federal protection,S1,S1,5,Dry longleaf pine sandhills
Agalinis linifolia,Root Hemiparasite,,,S3,N/A,N/A,N/A
Agalinis maritima,Root Hemiparasite,No Georgia state protection,No US federal protection,SNR,S1,1,Saltmarsh
Agalinis obtusifolia,Root Hemiparasite,,,S4,N/A,N/A,N/A
Agalinis plukenetii,Root Hemiparasite,,,S3,N/A,N/A,N/A
Agalinis pulchella,Root Hemiparasite,No Georgia state protection,No US federal protection,S3,S3?,2,"Dry, sandy, open, longleaf pinelands"
Agalinis purpurea,Root Hemiparasite,,,S5,N/A,N/A,N/A
Agalinis setacea,Root Hemiparasite,,,S4,N/A,N/A,N/A
Agalinis tenella,Root Hemiparasite,No Georgia state protection,No US federal protection,S2,S2?,2,"Dry, sandy to loamy openings"
Agalinis tenuifolia,Root Hemiparasite,,,S5,N/A,N/A,N/A
Aureolaria pedicularia,Root Hemiparasite,No Georgia state protection,No US federal protection,S1,S1?,0,Oak woodlands and forests
Buchnera americana,Root Hemiparasite,No Georgia state protection,No US federal protection,SNR,S1,7,Wet meadows; seasonally moist barrens and limestone glades
Buchnera longifolia,Root Hemiparasite,,,SNR,N/A,N/A,N/A
Castilleja coccinea,Root Hemiparasite,No Georgia state protection,No US federal protection,S1,S1?,9,Moist rock ledges; fens
Dasistoma macrophylla,Root Hemiparasite,No Georgia state protection,No US federal protection,S1,S1?,7,Rocky limestone woods
Macranthera flammea,Root Hemiparasite,Threatened,No US federal protection,S1,S1?,15,"Wet, sandy thickets; pitcherplant bogs"
Pedicularis canadensis,Root Hemiparasite,,,SNR,N/A,N/A,N/A
Pedicularis lanceolata,Root Hemiparasite,Endangered,No US federal protection,S1,S1,3,Bogs and wet woods
Schwalbea americana,Root Hemiparasite,Endangered,Listed Endangered,S2,S2,21,"Open pinelands, as in well-managed, somewhat moist longleaf pine-wiregrass forests seeps"
Buchnera floridana,Root Hemiparasite,,,N/A,N/A,N/A,N/A
Nestronia umbellula,Root Hemiparasite,Rare,No US federal protection,S3,S3,55,Mixed with dwarf shrubby heaths in oak-hickory-pine woods; often in transition areas between flatwoods and uplands
Seymeria cassioides,Root Hemiparasite,,,SNR,,,
Seymeria pectinata,Root Hemiparasite,,,SNR,,,
Conopholis americana,Root Holoparasite,,,SNR,,,
Epifagus virginiana,Root Holoparasite,,,SNR,,,
Orobanche minor,Root Holoparasite,,,SNA,,,
Orobanche uniflora,Root Holoparasite,,,SNR,,,
Cuscuta compacta,Stem Holoparasite,,,SNR,,,
Cuscuta gronovii,Stem Holoparasite,,,SNR,,,
Cuscuta harperi,Stem Holoparasite,Endangered,No US federal protection,S1,S1,4,Altamaha Grit outcrops; granite outcrops; often with Liatris microcephala as host
Cuscuta indecora,Stem Holoparasite,,,SNR,,,
Cuscuta obtusiflora,Stem Holoparasite,No Georgia state protection,No US federal protection,SNR,SNR,0,"Parasitic, often on Polygonum or Justicia"
Cuscuta pentagona,Stem Holoparasite,,,SNR,,,
Cuscuta rostrata,Stem Holoparasite,No Georgia state protection,No US federal protection,S3,S3?,0,High elevation forests on Eurybia chlorolepis
Cuscuta cephalanthi,Stem Holoparasite,No Georgia state protection,No US federal protection,SNA,SNA,0,Assumed to be found on Buttonbush (Cephalanthus)
