STUDY_ID,REVIEWERS,INCLUDE,Publication.Type,Authors,Book.Authors,Book.Editors,Book.Group.Authors,Author.Full.Names,Book.Author.Full.Names,Group.Authors,TITLE,Source.Title,Book.Series.Title,Book.Series.Subtitle,Language,Document.Type,Conference.Title,Conference.Date,Conference.Location,Conference.Sponsor,Conference.Host,Author.Keywords,Keywords.Plus,ABSTRACT,Addresses,Affiliations,Reprint.Addresses,Email.Addresses,Researcher.Ids,ORCIDs,Funding.Orgs,Funding.Name.Preferred,Funding.Text,Cited.References,Cited.Reference.Count,Times.Cited..WoS.Core,Times.Cited..All.Databases,X180.Day.Usage.Count,Since.2013.Usage.Count,Publisher,Publisher.City,Publisher.Address,ISSN,eISSN,ISBN,Journal.Abbreviation,Journal.ISO.Abbreviation,Publication.Date,Publication.Year,Volume,Issue,Part.Number,Supplement,Special.Issue,Meeting.Abstract,Start.Page,End.Page,Article.Number,DOI,DOI.Link,Book.DOI,Early.Access.Date,Number.of.Pages,WoS.Categories,Web.of.Science.Index,Research.Areas,IDS.Number,Pubmed.Id,Open.Access.Designations,Highly.Cited.Status,Hot.Paper.Status,Date.of.Export,UT..Unique.WOS.ID.,Web.of.Science.Record
5,jordan,YES,J,"Hersch-Green, EI; Cronn, R",NA,,NA,"Hersch-Green, Erika I.; Cronn, Richard",NA,NA,TANGLED TRIOS?: CHARACTERIZING A HYBRID ZONE IN CASTILLEJA (OROBANCHACEAE),AMERICAN JOURNAL OF BOTANY,,NA,English,Article,,,,,NA,admixture; Castilleja; hybridization; introgression; Orobanchaceae; polyploidy; population structure,HOMOPLOID RETICULATE EVOLUTION; MULTILOCUS GENOTYPE DATA; CHROMOSOME-NUMBERS; NATURAL HYBRIDIZATION; FLOWER COLOR; POLYPLOIDY; POPULATION; ORIGIN; SPECIATION; SELECTION,"Hybridization and polyploidization are exceedingly important processes because both influence the ecological envelope and evolutionary trajectory of land plants. These processes are frequently invoked for Castilleja (Indian paintbrushes) as contributors to morphological and genetic novelty and as complicating factors in species delimitations. Here, we provide a detailed analysis of morphological and genetic evidence for hybridization in a well-characterized hybrid swarm involving three broadly sympatric species (C. miniata, C. rhexiifolia, C. sulphurea) in western Colorado. Field-classified hybrids are present at high frequencies at these sites and show morphological intermediacy to and segregate for chloroplast DNA haplotypes with C. rhexiifolia and C. sulphurea. Contrarily, DNA content and AFLP variation show that field-classified hybrids are not recent hybrids but a distinctive fourth taxon. Actual hybrids (plants showing admixture >= 10% for two genotypic groups) comprised 13% of our sample, with most admixture involving C. rhexiifolia, C. sulphurea, and the unknown taxon. The identity of the field-classified hybrids remains unknown; they either represent a stabilized hybrid species or a species with uncharacteristically high diversity for color alleles. This study highlights the importance of examining concordance and discordance between morphology, cytology, and genetic criteria to understand the complex evolutionary history of diverse groups such as Castilleja.","[Hersch-Green, Erika I.] No Arizona Univ, Dept Biol, Flagstaff, AZ 86011 USA; [Cronn, Richard] US Forest Serv, Pacific NW Res Stn, Corvallis, OR 97331 USA",Northern Arizona University; United States Department of Agriculture (USDA); United States Forest Service,"Hersch-Green, EI (corresponding author), No Arizona Univ, Dept Biol, S Beaver St Box 5640, Flagstaff, AZ 86011 USA.",erikahersch@gmail.com,,"Cronn, Richard/0000-0001-5342-3494; Hersch-Green, Erika/0000-0003-3887-0768",,,,NA,99,22,26,1,17,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0002-9122,1537-2197,,AM J BOT,Am. J. Bot.,AUG,2009,96,8,NA,,,,1519,1531,,10.3732/ajb.0800357,http://dx.doi.org/10.3732/ajb.0800357,,,13,Plant Sciences,Science Citation Index Expanded (SCI-EXPANDED),Plant Sciences,480UO,21628297,Bronze,NA,NA,7/1/24,WOS:000268762600013,View Full Record in Web of Science
6,jordan,YES,J,"Clay, DL; Novak, SJ; Serpe, MD; Tank, DC; Smith, JF",NA,,NA,"Clay, Danielle L.; Novak, Stephen J.; Serpe, Marcelo D.; Tank, David C.; Smith, James F.",NA,NA,"HOMOPLOID HYBRID SPECIATION IN A RARE ENDEMIC CASTILLEJA FROM IDAHO (CASTILLEJA CHRISTII, OROBANCHACEAE)",AMERICAN JOURNAL OF BOTANY,,NA,English,Article,,,,,NA,Castilleja; homoploid hybrid speciation; hybridization; Orobanchaceae; transgressive traits; single-copy genes,CHROMOSOME-NUMBERS; GENE FLOW; HELIANTHUS-DESERTICOLA; RETICULATE EVOLUTION; MOLECULAR EVIDENCE; NUCLEAR GENES; ORIGIN; HYBRIDIZATION; SCROPHULARIACEAE; POLYPLOIDY,"Premise of the study: Hybridization is an important evolutionary force in the history of angiosperms; however, there are few examples of stabilized species derived through homoploid hybrid speciation. Homoploid hybrid species are generally detected via the presence of genetic additivity of parental markers, novel ecological and spatial distinctions, and novel morphological traits, all of which may aid in the successful establishment of hybrid species from parental types. Speciation and diversification within the genus Castilleja (Orobanchaceae) has been attributed to high levels of hybridization and polyploidy, though currently there are no examples of homoploid hybrid speciation within the genus. We employed multiple lines of evidence to examine a putative hybrid origin in C. christii, a rare endemic, known only from 80 hectares at the summit of Mt. Harrison (Cassia Co., Idaho). Methods: We used granule-bound starch synthase II (waxy) sequences and 26 morphological characters to address hybridization between C. christii and widespread congeners C. miniata and/or C. linariifolia in an area of sympatry. Chromosomes of C. christii were also counted for the first time. Key results: All 230 direct-sequenced C. christii individuals had the additive genomes of both C. miniata and C. linariifolia. Castilleja christii shares traits with both parents but also has floral characters that are unique and transgressive. Cytological counts indicated that all three taxa are diploid. Conclusions: We conclude that C. christii is a stabilized homoploid hybrid derivative of C. linariifolia and C. miniata and is likely following an independent evolutionary trajectory from its progenitors.","[Clay, Danielle L.; Novak, Stephen J.; Serpe, Marcelo D.; Smith, James F.] Boise State Univ, Dept Biol Sci, Boise, ID 83725 USA; [Tank, David C.] Univ Idaho, Coll Nat Resources, Moscow, ID 83844 USA; [Tank, David C.] Univ Idaho, Stillinger Herbarium, Moscow, ID 83844 USA",Idaho; Boise State University; Idaho; University of Idaho; Idaho; University of Idaho,"Clay, DL (corresponding author), Boise State Univ, Dept Biol Sci, 1910 Univ Dr, Boise, ID 83725 USA.",Danielle.L.Clay@gmail.com,,,"Boise State University, Department of Biological Sciences, a National Science Foundation [GK-12]; Northwest Scientific Association Student Research Grant Award; Boise State University Graduate Student Research Grant; Idaho Native Plant Society Education, Research, and Inventory Grant; U. S. Fish and Wildlife Service; U. S. Forest Service; Idaho EPSCoR Program [EPS - 0814387]","Boise State University, Department of Biological Sciences, a National Science Foundation; Northwest Scientific Association Student Research Grant Award; Boise State University Graduate Student Research Grant; Idaho Native Plant Society Education, Research, and Inventory Grant; U. S. Fish and Wildlife Service(US Fish & Wildlife Service); U. S. Forest Service(United States Department of Agriculture (USDA)United States Forest Service); Idaho EPSCoR Program","The authors thank J. M. Egger, M. P. Simmons, an anonymous reviewer, and the editors of the American Journal of Botany for critical comments on the manuscript, E. Anderson and S. A. Graham for assistance with fieldwork, and M. Ooi for assistance with laboratory work. This research was supported by a Graduate Teaching Fellowship from Boise State University, Department of Biological Sciences, a National Science Foundation GK-12 STEM Fellowship, the Northwest Scientific Association Student Research Grant Award, Boise State University Graduate Student Research Grant, the Idaho Native Plant Society Education, Research, and Inventory Grant, the U. S. Fish and Wildlife Service, the U. S. Forest Service, and the Idaho EPSCoR Program, EPS - 0814387 to J.F.S.",NA,79,13,17,0,29,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0002-9122,1537-2197,,AM J BOT,Am. J. Bot.,DEC,2012,99,12,NA,,,,1976,1990,,10.3732/ajb.1200326,http://dx.doi.org/10.3732/ajb.1200326,,,15,Plant Sciences,Science Citation Index Expanded (SCI-EXPANDED),Plant Sciences,062VO,23211568,,NA,NA,7/1/24,WOS:000312951600021,View Full Record in Web of Science
11,jordan,YES,J,"Douglas, GW; Ryan, M",NA,,NA,"Douglas, GW; Ryan, M",NA,NA,"Status of the Golden Paintbrush, Castilleja levisecta (Scrophulariaceae) in Canada",CANADIAN FIELD-NATURALIST,,NA,English,Article,,,,,NA,Golden Paintbrush; Castilleja levisecta; British Columbia; endangered; distribution; population size,,"In Canada, Golden Paintbrush, Castilleja levisecta, has been collected on southeastern Vancouver Island and some adjacent small islands. Populations at two sites have been confirmed in recent years while the species has probably been extirpated at seven previous collection sites. The confirmed populations collectively represent the northern range limit of C. levisecta. Threats to the two confirmed populations include marine oil disasters and increasing presence of introduced species.","Minist Environm Lands & Parks, Conservat Data Ctr, Resource Inventory Branch, Victoria, BC V8T 9M1, Canada",,"Douglas, GW (corresponding author), Minist Environm Lands & Parks, Conservat Data Ctr, Resource Inventory Branch, POB 9344,Stn Prov Govt, Victoria, BC V8T 9M1, Canada.",,,,,,,NA,6,1,1,2,9,OTTAWA FIELD-NATURALISTS CLUB,OTTAWA,"PO BOX 35069, WESTGATE PO, OTTAWA, ONTARIO K1Z 1A2, CANADA",0008-3550,,,CAN FIELD NAT,Can. Field-Nat.,APR-JUN,1999,113,2,NA,,,,299,301,,,,,,3,Biodiversity Conservation; Ecology,Science Citation Index Expanded (SCI-EXPANDED),Biodiversity & Conservation; Environmental Sciences & Ecology,207PP,NA,,NA,NA,7/1/24,WOS:000080945500023,View Full Record in Web of Science
13,jordan,YES,J,"MEAD, EW; LOOKER, M; GARDNER, DR; STERMITZ, FR",NA,,NA,"MEAD, EW; LOOKER, M; GARDNER, DR; STERMITZ, FR",NA,NA,"PYRROLIZIDINE ALKALOIDS OF LIATRIS-PUNCTATA AND ITS ROOT PARASITE, CASTILLEJA-INTEGRA",PHYTOCHEMISTRY,,NA,English,Article,,,,,NA,LIATRIS-PUNCTATA; ASTERACEAE; CASTILLEJA-INTEGRA; SCROPHULARIACEAE; PYRROLIZIDINE; ALKALOIDS; 7-ANGELYL-9-VIRIDIFLORYLHASTANECINE; PARASITISM,SCROPHULARIACEAE; CHEMISTRY,"Pyrrolizidine alkaloids were found in the parasitic plant Castilleja integra and these were traced to the root host plant Liatris punctata. In addition to known alkaloids, a new pyrrolizidine alkaloid, punctanecine, was found and shown to be 7-angelyl-9-viridiflorylhastanecine.",,,"MEAD, EW (corresponding author), COLORADO STATE UNIV,DEPT CHEM,FT COLLINS,CO 80523, USA.",,,,,,,NA,20,23,23,1,4,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0031-9422,,,PHYTOCHEMISTRY,Phytochemistry,SEP,1992,31,9,NA,,,,3255,3257,,10.1016/0031-9422(92)83487-J,http://dx.doi.org/10.1016/0031-9422(92)83487-J,,,3,Biochemistry & Molecular Biology; Plant Sciences,Science Citation Index Expanded (SCI-EXPANDED),Biochemistry & Molecular Biology; Plant Sciences,JL456,NA,,NA,NA,7/1/24,WOS:A1992JL45600064,View Full Record in Web of Science
17,jordan,YES,J,"Helenurm, K; West, R; Burckhalter, SJ",NA,,NA,"Helenurm, K; West, R; Burckhalter, SJ",NA,NA,Allozyme variation in the endangered insular endemic Castilleja grisea,ANNALS OF BOTANY,,NA,English,Article,,,,,NA,allozymes; conservation; Castilleja grisea; endangered species; endemic; genetic diversity; Scrophulariaceae; San Clemente Island,STARCH-GEL ELECTROPHORESIS; GENETIC DIVERSITY; SUBDIVIDED POPULATIONS; ISLAND POPULATIONS; PLANT; POLLINATION; HERBIVORY; BUFFERS,"Background and Aims Genetic diversity in Castilleja grisea, an endangered, perennial herb endemic to San Clemente Island, California was investigated. Subsequent to the elimination of goats from the island in 1992, many populations of C. grisea have reappeared and have been increasing in size. Methods Nineteen populations were surveyed for their genotype at 19 allozyme loci. Key Results At the taxon level, 57.9 % of loci are polymorphic with A(P) = 3.09 and HE = 0.137. Populations averaged 33.0 % polymorphic loci with A(P) = 2.43 and HE = 0.099. Most variation is found within rather than among populations (G(ST) = 0.128), although differentiation among populations is significant. Genetic identities range from I = 0.960 to I = 1.000 with mean I = 0.990. There is no significant relationship between genetic and geographic distance. Gene flow among populations is Nm = 2.50 based on private alleles and Nm = 1.70 based on F-ST. Outcrossing rates based on fixation indices average t = 1.01, indicating a primarily outcrossed mating system. e Conclusions The observed genetic variation is moderately high, unusually so for an insular endemic species, suggesting that C. grisea may not have lost substantial genetic variation during 150 years of overgrazing, and indicating that it is unlikely to be endangered by genetic factors.","Univ S Dakota, Dept Biol, Vermillion, SD 57069 USA",University of South Dakota,"Helenurm, K (corresponding author), Univ S Dakota, Dept Biol, Vermillion, SD 57069 USA.",helenurm@usd.edu,,,,,,NA,40,12,14,0,4,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0305-7364,,,ANN BOT-LONDON,Ann. Bot.,JUN,2005,95,7,NA,,,,1221,1227,,10.1093/aob/mci135,http://dx.doi.org/10.1093/aob/mci135,,,7,Plant Sciences,Science Citation Index Expanded (SCI-EXPANDED),Plant Sciences,932VV,15820989,"Green Published, Bronze",NA,NA,7/1/24,WOS:000229583500015,View Full Record in Web of Science
19,jordan,YES,J,"Marko, MD; Stermitz, FR",NA,,NA,"Marko, MD; Stermitz, FR",NA,NA,Chemistry of the Scrophulariaceae .33. Transfer of alkaloids from Delphinium to Castilleja via root parasitism. Norditerpenoid alkaloid analysis by electrospray mass spectrometry,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,,NA,English,Article,,,,,NA,Castilleja sulphurea; Scrophulariaceae; Delphinium occidentale; D-barbeyi; Ranunculaceae; norditerpenoid alkaloids; parasitism; electrospray mass spectrometry,QUINOLIZIDINE ALKALOIDS; HOST PLANTS,"Norditerpenoid alkaloids which are present in the roots of Delphinium occidentale are assimilated into its root parasite, Castilleja sulphurea. The alkaloids are found in all plant parts of the Castilleja (roots, stems, leaves, flowers, seeds) and in the flower nectar. The major root alkaloids (browniine, delcosine, deltaline and dictyocarpine; analyzed by positive ion electrospray mass spectrometry, ESMSH+) were transmitted into the Castilleja. Little or none of the highly mammalian toxic alkaloids (such as methyllycaconitine) were found in D. occidentale. ESMSH+ also was used to identify alkaloids of D. barbeyi, where browniine, delcosine and a small amount of methyllycaconitine (roots only) were found. ESMSH+ provided a useful method for analysis of norditerpenoid alkaloids. Their presence as assimilates in a root parasite plant could provide a defense against herbivory. (C) 1997 Elsevier Science Ltd.","COLORADO STATE UNIV,DEPT CHEM,FT COLLINS,CO 80523; COLORADO STATE UNIV,DEPT BIOL,FT COLLINS,CO 80523",Colorado State University; Colorado State University,,,,,,,,NA,16,26,28,3,12,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0305-1978,,,BIOCHEM SYST ECOL,Biochem. Syst. Ecol.,JUN,1997,25,4,NA,,,,279,285,,10.1016/S0305-1978(97)00010-0,http://dx.doi.org/10.1016/S0305-1978(97)00010-0,,,7,Biochemistry & Molecular Biology; Ecology; Evolutionary Biology,Science Citation Index Expanded (SCI-EXPANDED),Biochemistry & Molecular Biology; Environmental Sciences & Ecology; Evolutionary Biology,XH831,NA,,NA,NA,7/1/24,WOS:A1997XH83100001,View Full Record in Web of Science
23,jordan,YES,J,"STERMITZ, FR; FODERARO, TA; LI, YX",NA,,NA,"STERMITZ, FR; FODERARO, TA; LI, YX",NA,NA,CHEMISTRY OF THE SCROPHULARIACEAE .26. IRIDOID GLYCOSIDE UPTAKE BY CASTILLEJA-INTEGRA VIA ROOT PARASITISM ON PENSTEMON-TEUCRIOIDES,PHYTOCHEMISTRY,,NA,English,Article,,,,,NA,PENSTEMON-TEUCRIOIDES; CASTILLEJA-INTEGRA; SCROPHULARIACEAE; PARASITIC PLANTS; IRIDOID GLYCOSIDES; AUCUBIN,QUINOLIZIDINE ALKALOIDS; LUPINUS; ORTHOCARPUS; GLUCOSIDES,"Castilleja integra was seeded in a pot of mature Penstemon teucrioides and allowed to grow to blossom stage as a root parasite on Penstemon. Aucubin, which is the major iridoid of the P. teucrioides root but which is normally lacking from C. integra, was isolated from the above-ground parts of the parasitic C. integra. The major iridoid glycosides of P. teucrioides leaves were aucubin, isoscrophularioside (10-0-cinnamylaucubin) and trans-eurostoside (10-0-p-hydroxycinnamylaucubin). The two cinnamyl esters from the leaves of P. teucrioides were not found in C. integra. This is the first demonstration of iridoid glycoside transmission from a root host plant to a parasitic plant.","SW AGR UNIV,DEPT BASIC SCI,CHONGQING,PEOPLES R CHINA",Southwest University - China,"STERMITZ, FR (corresponding author), COLORADO STATE UNIV,DEPT CHEM,FT COLLINS,CO 80523, USA.",,,,,,,NA,14,17,17,0,8,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB",0031-9422,,,PHYTOCHEMISTRY,Phytochemistry,MAR,1993,32,5,NA,,,,1151,1153,,10.1016/S0031-9422(00)95081-7,http://dx.doi.org/10.1016/S0031-9422(00)95081-7,,,3,Biochemistry & Molecular Biology; Plant Sciences,Science Citation Index Expanded (SCI-EXPANDED),Biochemistry & Molecular Biology; Plant Sciences,KU249,NA,,NA,NA,7/1/24,WOS:A1993KU24900012,View Full Record in Web of Science
24,jordan,YES,J,"Widener, L; Fant, JB",NA,,NA,"Widener, Laney; Fant, Jeremie B.",NA,NA,Genetic differentiation and diversity of two sympatric subspecies of Castilleja affinis; a comparison between the endangered serpentine endemic (spp. neglecta) and its widespread congener (ssp affinis),CONSERVATION GENETICS,,NA,English,Article,,,,,NA,Castilleja affinis; California; Endangered; Serpentine; Endemic; Congener,POPULATION-STRUCTURE; LIFE-HISTORY; CONSERVATION; PLANTS; TRAITS; PATTERNS; ECOLOGY; COMMON; RARE; EVOLUTIONARY,"Edaphic endemic species are considered high conservation priority, as they are a unique and critical component of the ecosystems and are often restricted to small fragmented habitats. Castilleja affinis ssp. neglecta is a serpentine endemic species, known from six sites within the San Francisco Bay Area and is the focus of active restoration efforts. It grows sympatrically with the subspecies, C. affinis ssp. affinis, which is more widespread but differs in floral color and soil preference. In this study, we used morphometric measurements (three bract, ten floral, and two leaf measurements) and microsatellite markers to determine (1) how the two subspecies differ, (2) if there is evidence of hybridization and (3) quantify the genetic structure of known populations of C. affinis ssp. neglecta. We found that all 15 morphological measurements differed significantly between the subspecies and neutral genetic markers show strong genetic differentiation. Overall we found C. affinis ssp. neglecta populations had similar levels of genetic diversity and genetic differentiation between populations but higher inbreeding than compared to its more common congener. Two populations of C. affinis ssp. neglecta showed lower genetic differentiation from the C. affinis ssp. affinis populations, with some individuals showing considerable overlap in genotypic diversity, hence we cannot rule out historic or low levels hybridization in those populations. Castilleja affinis ssp. neglecta is a federally endangered species that would benefit from restoration efforts that aims to maintain genetic diversity while minimizing inbreeding in reintroduction efforts.","[Widener, Laney; Fant, Jeremie B.] Chicago Bot Garden, Plant Sci & Conservat, 1000 Lake Cook Rd, Glencoe, IL 60022 USA; [Widener, Laney; Fant, Jeremie B.] Northwestern Univ, Plant Biol & Conservat, Evanston, IL 60208 USA; [Widener, Laney] New England Wild Flower Soc, Framingham, MA 01701 USA",Northwestern University,"Widener, L (corresponding author), Chicago Bot Garden, Plant Sci & Conservat, 1000 Lake Cook Rd, Glencoe, IL 60022 USA.;Widener, L (corresponding author), Northwestern Univ, Plant Biol & Conservat, Evanston, IL 60208 USA.;Widener, L (corresponding author), New England Wild Flower Soc, Framingham, MA 01701 USA.",lwidener@u.northwestern.edu; jfant@chicagobotanic.org,"Fant, Jeremie B/AAA-4962-2019","Fant, Jeremie B/0000-0001-9276-1111",Creekside Science; California Native Plant Society,Creekside Science; California Native Plant Society,"This study would not be possible without the support from the Creekside Science, who provided the grounds for the study, financial support for the lab work, and hours organizing and collecting data in the field for the endangered C. affinis ssp. neglecta with us. We thank the California Native Plant Society for providing additional funding, knowledge, encouragement, and support of the project from inception to completion. For reviewing and providing suggestions for improving this manuscript, we want to thank the two anonymous reviewers, members of the Skogen-Fant lab and Andrea Kramer. We also are indebted to two very knowledgeable scientists who work with Castilleja for their time and energy: Mark Egger [UTW], who verified all of the field vouchers, and David Tank [U. Idaho], for advice on the study. We thank the Shaw family for their generous donation and continued support for Northwestern's Plant Biology and Conservation Graduate Program.",NA,124,4,4,1,55,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",1566-0621,1572-9737,,CONSERV GENET,Conserv. Genet.,APR,2018,19,2,NA,,,,365,381,,10.1007/s10592-017-1009-8,http://dx.doi.org/10.1007/s10592-017-1009-8,,,17,Biodiversity Conservation; Genetics & Heredity,Science Citation Index Expanded (SCI-EXPANDED),Biodiversity & Conservation; Genetics & Heredity,GA1CT,NA,,NA,NA,7/1/24,WOS:000428053700010,View Full Record in Web of Science
25,jordan,YES,J,"Salama, A; Shukla, MR; Popova, E; Fisk, NS; Jones, MP; Saxena, PK",NA,,NA,"Salama, Ahmed; Shukla, Mukund R.; Popova, Elena; Fisk, Nathan S.; Jones, Maxwell P.; Saxena, Praveen K.",NA,NA,"In vitro propagation and reintroduction of golden paintbrush (Castilleja levisecta), a critically imperilled plant species",CANADIAN JOURNAL OF PLANT SCIENCE,,NA,English,Article,,,,,NA,golden paintbrush; Castilleja levisecta; micropropagation; endangered; restoration,TISSUE CULTURES; CONSERVATION; REGENERATION; MICROPROPAGATION; FREQUENCY; EXPLANTS; VESSELS; GROWTH,"Golden paintbrush (Castilleja levisecta Greenm.) is a hemiparasitic herbaceous perennial native to the Pacific Northwest of North America and is considered critically imperilled with only 11 populations remaining in the wild. The main objective of this study was to develop ex situ and in situ conservation through micropropagation and field plantings. In vitro cultures were initiated using nodal explants from two plants raised from seeds collected from a natural population. Shoots were then multiplied on Murashige and Skoog basal medium with 2.0 mu mol L-1 6-benzylaminopurine (BA), 3.0 mu mol L-1 kinetin (Kn), 2.2 g L-1 phytagel, and 3% sucrose. Explant position on source plants, culture vessel design, and application of different plant growth regulator levels for BA, Kn, and thiadiazuron (TDZ) were tested to optimize micropropagation protocols. Clones from the plants showed differences in plant height and number of nodes in response to various BA and TDZ concentrations. In vitro shoots were successfully rooted under ex vitro conditions using commercial rooting powder (0.8% indole-3-butyric acid) with an average of similar to 17 roots per shoot and acclimatized in the greenhouse with 100% survival rate. Two-month-old plants were transferred to a Parks Canada restoration site at Fort Rodd Hill, Victoria, BC, with 7.5% survival. The use of micropropagation in combination with reintroduction efforts offers an excellent opportunity for conserving endangered plant biodiversity in vitro and facilitating in situ conservation efforts by providing plants for reintroduction.","[Salama, Ahmed; Shukla, Mukund R.; Jones, Maxwell P.; Saxena, Praveen K.] Univ Guelph, Gosling Res Inst Plant Preservat, Dept Plant Agr, Guelph, ON N1G 2W1, Canada; [Popova, Elena] Global Crop Divers Trust, D-53113 Bonn, Germany; [Fisk, Nathan S.] Pk Canada, 603 Ft Rodd Hill Rd, Victoria, BC V9C 2W8, Canada",University of Guelph,"Saxena, PK (corresponding author), Univ Guelph, Gosling Res Inst Plant Preservat, Dept Plant Agr, Guelph, ON N1G 2W1, Canada.",psaxena@uoguelph.ca,"Popova, Elena/N-6408-2019","Popova, Elena/0000-0002-4655-6974","Gosling Foundation, Guelph, ON","Gosling Foundation, Guelph, ON","This research was supported by the grants from the Gosling Foundation, Guelph, ON, to the Gosling Research Institute for Plant Preservation (GRIPP).",NA,45,5,7,0,20,"CANADIAN SCIENCE PUBLISHING, NRC RESEARCH PRESS",OTTAWA,"65 AURIGA DR, SUITE 203, OTTAWA, ON K2E 7W6, CANADA",0008-4220,1918-1833,,CAN J PLANT SCI,Can. J. Plant Sci.,JUN,2018,98,3,NA,,,,762,770,,10.1139/cjps-2017-0207,http://dx.doi.org/10.1139/cjps-2017-0207,,,9,Agronomy; Plant Sciences,Science Citation Index Expanded (SCI-EXPANDED),Agriculture; Plant Sciences,GI5JL,NA,Bronze,NA,NA,7/1/24,WOS:000434406700023,View Full Record in Web of Science
27,jordan,YES,J,"Matthies, D",NA,,NA,"Matthies, D",NA,NA,Parasite - host interactions in Castilleja and Orthocarpus,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,,NA,English,Article,,,,,NA,biomass allocation; host damage; parasite benefit; parasitic plant,HEMIPARASITE MELAMPYRUM ARVENSE; SCROPHULARIACEAE; COMPETITION; CHEMISTRY; PLANTS; GROWTH,"Growth, reproduction, and biomass allocation were studied in three perennial root hemiparasites, Castilleja integra Gray, Castilleja miniata Dougl., Castilleja chromosa A. Nels., and the annual hemiparasite Orthocarpus purpurascens Benth. grown either without or with a host plant. In addition, the effects of the hemiparasites on the host plants were investigated. All four hemiparasites could grow without a host, indicating that they are facultative parasites; O. purpurascens and C. chromosa produced flowers without a host. However, shoot mass of parasites with a host was 3-41 times that of parasites without a host. For C. miniata, C. chromosa, and O. purpurascens the growth of parasites grown with the legume Medicago sativa L. was compared with that of parasites grown with the grass Lolium perenne L. The legume was consistently a more beneficial host than the grass. In C. miniata and C. chromosa, patterns of biomass allocation were also influenced by the host type. The proportion of biomass allocated to roots was lower in parasites grown with the legume than in plants without a host, whereas it was higher in parasites grown with the grass. The parasites had strong negative effects on host growth, but the extent of host damage depended on the particular parasite-host combination. Castilleja chromosa and O. purpurascens affected the growth of the legume more strongly than that of the grass, whereas C. miniata affected the grass more strongly than the legume. Grasses parasitized by C. miniata allocated more biomass to roots than unparasitized grasses. In the other parasite-host associations the pattern of biomass allocation of the host was not influenced by parasitization. Because the biomass produced by the four hemiparasites was lower than the reduction in host biomass caused by parasitism, the parasites reduced total productivity. Therefore, the studied hemiparasites may potentially affect the structure and diversity of their communities.","UNIV BASEL,INST BOT,CH-4056 BASEL,SWITZERLAND",University of Basel,"Matthies, D (corresponding author), UNIV ZURICH,INST UMWELTWISSENSCHAFTEN,WINTERHURERSTR 190,CH-8057 ZURICH,SWITZERLAND.",,,"Matthies, Diethart/0000-0003-2439-0501",,,,NA,36,47,56,1,31,NATL RESEARCH COUNCIL CANADA,OTTAWA,"RESEARCH JOURNALS, MONTREAL RD, OTTAWA ON K1A 0R6, CANADA",0008-4026,,,CAN J BOT,Can. J. Bot.-Rev. Can. Bot.,AUG,1997,75,8,NA,,,,1252,1260,,10.1139/b97-839,http://dx.doi.org/10.1139/b97-839,,,9,Plant Sciences,Science Citation Index Expanded (SCI-EXPANDED),Plant Sciences,YA709,NA,,NA,NA,7/1/24,WOS:A1997YA70900006,View Full Record in Web of Science
