"year","date","site","fieldplot","pair","plot","block","collection","litter","removal","family","genus","species","code","functional_group","life_history","cover","count","nearest_neighbor","percent_cover"
"0","7/14/23","Emerald Lake","1A",1,1,1,"Pre","Mixed","Removed","Primulaceae","Androsace","septentrionalis","ANSE","forb","annual",3.2,22,0,0.032
"0","7/14/23","Emerald Lake","1A",1,1,1,"Pre","Mixed","Removed","Ranunculaceae","Aquilegia","Coerulea","AQCO","forb","perennial",1,1,0,0.01
"0","7/14/23","Emerald Lake","1A",1,1,1,"Pre","Mixed","Removed","Brassicaceae","Barbarea","vulgaris","BAVU","forb","biennial",0.2,2,0,0.002
"0","7/14/23","Emerald Lake","1A",1,1,1,"Pre","Mixed","Removed","Onagraceae","Chamaenuerion","angustifolium","CHAN","forb","perennial",1,2,0,0.01
"0","7/14/23","Emerald Lake","1A",1,1,1,"Pre","Mixed","Removed","Ranunculaceae","Delphinium","barbeyi","DEBA","forb","perennial",2,2,0,0.02
"0","7/14/23","Emerald Lake","1A",1,1,1,"Pre","Mixed","Removed","Poaceae","Elymus","glaucus","ELGL","grass","perennial",1.8,7,1,0.018
"0","7/14/23","Emerald Lake","1A",1,1,1,"Pre","Mixed","Removed","Liliaceae","Erythronium","grandiflorum","ERGR","forb","perennial",0.2,1,0,0.002
"0","7/14/23","Emerald Lake","1A",1,1,1,"Pre","Mixed","Removed","Rosaceae","Fragaria","virginiana","FRVI","forb","perennial",1.4,7,1,0.014
"0","7/14/23","Emerald Lake","1A",1,1,1,"Pre","Mixed","Removed","Asteraceae","Helianthella","quinquenervis","HEQU","forb","perennial",25,6,1,0.25
"0","7/14/23","Emerald Lake","1A",1,1,1,"Pre","Mixed","Removed","Boraginaceae","Hydrophyllum","capitatum","HYCA","forb","perennial",1.5,4,0,0.015
"0","7/14/23","Emerald Lake","1A",1,1,1,"Pre","Mixed","Removed","Asteraceae","Hymenoxys","hoopesii","HYHO","forb","perennial",5,9,0,0.05
"0","7/14/23","Emerald Lake","1A",1,1,1,"Pre","Mixed","Removed","Apiaceae","Ligusticum","porteri","LIPO","forb","perennial",5,2,1,0.05
