"plot","litter","removal","half_life","mrt"
1,"Mixed","C",0.401471681108429,1.43225093358353
2,"Mixed","R",0.383083179906494,1.57726434894324
3,"Castilleja","C",0.357495642641328,1.54392569300403
4,"Castilleja","R",0.395719502891133,0.963960148082931
5,"Community","R",0.335839022115141,1.78379639372468
6,"Community","C",0.362310109623824,1.43052337087702
7,"Mixed","R",0.4076314145265,1.29896173058183
8,"Mixed","C",0.376310500081449,2.01960010317699
9,"Mixed","C",0.402675803682518,3.03818712751008
10,"Mixed","R",0.373524971944846,3.2748025027795
11,"Community","R",0.308221055115972,1.93922249783911
12,"Community","C",0.338952333448197,2.60094008151098
13,"Castilleja","C",0.365939434491671,1.57226183958868
14,"Castilleja","R",0.372452488486015,1.11854538084115
17,"Mixed","C",0.453819917844841,2.23106477749045
18,"Mixed","R",0.399865076025194,1.52537052807983
21,"Castilleja","C",0.498633563411955,1.40714005389288
22,"Castilleja","R",0.440817950438097,2.39340156817433
27,"Community","C",0.366335120943209,1.28979239615205
28,"Community","R",0.343766140583492,1.32741451309439
29,"Castilleja","C",0.401911519594364,1.76936587135343
30,"Castilleja","R",0.424855815992503,1.48471524050483
33,"Community","R",0.469038480193059,2.3322488887945
34,"Community","C",0.39086371717978,2.00247683201051
35,"Community","C",0.387805598124925,1.49764236997574
36,"Community","R",0.421884129507407,1.94650090959316
37,"Castilleja","C",0.35290875982664,1.8607973980682
38,"Castilleja","R",0.440801197898526,2.013466087822
39,"Mixed","R",0.535612684866459,2.56635854415156
40,"Mixed","C",0.468213750778409,1.53613562952335
