"year","plot","code","functional_group","percent_cover","nearest_neighbor"
"Pre",1,"ANSE","forb",0.032,0
"Pre",1,"AQCO","forb",0.01,0
"Pre",1,"BAVU","forb",0.002,0
"Pre",1,"CHAN","forb",0.01,0
"Pre",1,"DEBA","forb",0.02,0
"Pre",1,"ELGL","grass",0.018,1
"Pre",1,"ERGR","forb",0.002,0
"Pre",1,"FRVI","forb",0.014,1
"Pre",1,"HEQU","forb",0.25,1
"Pre",1,"HYCA","forb",0.015,0
"Pre",1,"HYHO","forb",0.05,0
"Pre",1,"LIPO","forb",0.05,1
"Pre",1,"LUAR","legume",0.013,0
"Pre",1,"MESP","grass",0.1,0
"Pre",1,"MECI","forb",0.015,0
"Pre",1,"POGR","forb",0.04,0
"Pre",1,"SECR","forb",0.003,0
"Pre",2,"ANSE","forb",0.004,0
"Pre",2,"AQCO","forb",0.045,0
"Pre",2,"CAHO","sedge",0.05,0
"Pre",2,"CHAN","forb",0.005,0
"Pre",2,"DEBA","forb",0.01,0
"Pre",2,"ELGL","grass",0.02,1
"Pre",2,"ERGR","forb",0.005,0
"Pre",2,"FRVI","forb",0.01,0
"Pre",2,"HEQU","forb",0.105,0
"Pre",2,"HYHO","forb",0.1,1
"Pre",2,"LIPO","forb",0.1,0
"Pre",2,"MESP","grass",0.01,0
"Pre",2,"POGR","forb",0.054,1
"Pre",2,"RIMO","shrub",0.23,0
"Pre",2,"VINU","forb",0.001,0
"Pre",3,"ANSE","forb",0.001,0
"Pre",3,"AQCO","forb",0.05,0
"Pre",3,"BAVU","forb",0.001,0
"Pre",3,"CAHO","sedge",0.005,0
"Pre",3,"CHAN","forb",0.03,0
"Pre",3,"DEBA","forb",0.001,0
"Pre",3,"ELGL","grass",0.07,1
"Pre",3,"ERCO","forb",0.003,0
"Pre",3,"ERGR","forb",0.005,0
"Pre",3,"FRVI","forb",0.005,0
"Pre",3,"GERI","forb",0.01,0
"Pre",3,"HEQU","forb",0.15,0
"Pre",3,"HEMA","forb",0.025,0
"Pre",3,"HYHO","forb",0.03,0
"Pre",3,"LIPO","forb",0.25,0
"Pre",3,"LUAR","legume",0.07,1
"Pre",3,"MESP","grass",0.001,0
"Pre",3,"NOFE","forb",0.001,0
"Pre",3,"POGR","forb",0.04,1
"Pre",3,"SECR","forb",0.002,0
"Pre",3,"VAOC","forb",0.025,0
"Pre",4,"ANSE","forb",0.003,0
"Pre",4,"CHAN","forb",0.06,0
"Pre",4,"ELGL","grass",0.1,0
"Pre",4,"ERGR","forb",0.02,0
"Pre",4,"FRVI","forb",0.005,1
"Pre",4,"GERI","forb",0.02,0
"Pre",4,"HEMA","forb",0.15,0
"Pre",4,"HYHO","forb",0.06,0
"Pre",4,"LIPO","forb",0.015,0
"Pre",4,"MESP","grass",0.04,0
"Pre",4,"MECI","forb",0.01,1
"Pre",4,"NOFE","forb",0.002,0
"Pre",4,"POGR","forb",0.05,0
"Pre",4,"SECR","forb",0.04,1
"Pre",4,"VAOC","forb",0.05,0
"Pre",5,"ANSE","forb",0.01,0
"Pre",5,"BAVU","forb",0.002,0
"Pre",5,"CHAN","forb",0.08,0
"Pre",5,"DEBA","forb",0.1,0
"Pre",5,"ELGL","grass",0.1,0
"Pre",5,"ERCO","forb",0.025,1
"Pre",5,"ERGR","forb",0.08,0
"Pre",5,"FRVI","forb",0.07,1
"Pre",5,"GERI","forb",0.01,0
"Pre",5,"HEQU","forb",0.18,0
"Pre",5,"HYHO","forb",0.18,1
"Pre",5,"LIPO","forb",0.25,0
"Pre",5,"LUAR","legume",0.025,0
"Pre",5,"MESP","grass",0.05,1
"Pre",5,"MECI","forb",0.03,0
"Pre",5,"POGR","forb",0.01,1
"Pre",5,"RIMO","shrub",0.03,0
"Pre",5,"SECR","forb",0.08,1
"Pre",6,"ANSE","forb",0.005,0
"Pre",6,"AQCO","forb",0.04,0
"Pre",6,"BAVU","forb",0.001,0
"Pre",6,"ELGL","grass",0.04,1
"Pre",6,"FRVI","forb",0.003,0
"Pre",6,"HEQU","forb",0.1,1
"Pre",6,"HEMA","forb",0.06,0
"Pre",6,"HYHO","forb",0.08,0
"Pre",6,"LIPO","forb",0.15,1
"Pre",6,"MESP","grass",0.04,0
"Pre",6,"MECI","forb",0.02,0
"Pre",6,"POGR","forb",0.01,0
"Pre",6,"RIMO","shrub",0.2,0
"Pre",6,"SECR","forb",0.03,1
"Pre",6,"VAOC","forb",0.005,0
"Pre",7,"ANSE","forb",0.05,0
"Pre",7,"CHAN","forb",0.005,0
"Pre",7,"ELGL","grass",0.12,1
"Pre",7,"ERCO","forb",0.02,0
"Pre",7,"ERGR","forb",0.01,0
"Pre",7,"HEQU","forb",0.08,1
"Pre",7,"HEMA","forb",0.2,0
"Pre",7,"HYCA","forb",0.01,0
"Pre",7,"HYHO","forb",0.08,0
"Pre",7,"LIPO","forb",0.25,0
"Pre",7,"MESP","grass",0.01,0
"Pre",7,"MECI","forb",0.01,0
"Pre",7,"POGR","forb",0.02,0
"Pre",7,"SECR","forb",0.02,0
"Pre",7,"VAOC","forb",0.01,0
"Pre",8,"ANSE","forb",0.01,0
"Pre",8,"AQCO","forb",0.01,0
"Pre",8,"ELGL","grass",0.08,1
"Pre",8,"ERSP","forb",0.015,0
"Pre",8,"FRVI","forb",0.04,0
"Pre",8,"GEPA","forb",0.025,0
"Pre",8,"HEQU","forb",0.04,0
"Pre",8,"HEMA","forb",0.06,0
"Pre",8,"HYHO","forb",0.02,1
"Pre",8,"LIPO","forb",0.1,0
"Pre",8,"MESP","grass",0.03,1
"Pre",8,"PHAL","grass",0.01,0
"Pre",8,"POGR","forb",0.04,0
"Pre",8,"RAIN","forb",0.001,0
"Pre",8,"RIMO","shrub",0.25,1
"Pre",8,"SECR","forb",0.04,1
"Pre",8,"THFE","forb",0.08,1
"Pre",9,"ANSE","forb",0.001,0
"Pre",9,"CHAN","forb",0.1,1
"Pre",9,"ELGL","grass",0.15,1
"Pre",9,"ERCO","forb",0.06,0
"Pre",9,"ERGR","forb",0.005,0
"Pre",9,"GERI","forb",0.01,0
"Pre",9,"HEMA","forb",0.25,0
"Pre",9,"LUAR","legume",0.02,0
"Pre",9,"MECI","forb",0.06,0
"Pre",9,"POGR","forb",0.02,0
"Pre",9,"VAOC","forb",0.05,1
"Pre",10,"ANSE","forb",0.02,0
"Pre",10,"CHAN","forb",0.01,0
"Pre",10,"ELGL","grass",0.08,1
"Pre",10,"ERCO","forb",0.05,0
"Pre",10,"GABI","forb",0.01,0
"Pre",10,"GERI","forb",0.08,1
"Pre",10,"HEQU","forb",0.02,0
"Pre",10,"MECI","forb",0.005,0
"Pre",10,"NOFE","forb",0.001,0
"Pre",10,"POPR","grass",0.05,0
"Pre",10,"RUSA","forb",0.02,0
"Pre",11,"AQCO","forb",0.07,0
"Pre",11,"BAVU","forb",0.01,0
"Pre",11,"CHAN","forb",0.03,0
"Pre",11,"ELGL","grass",0.08,1
"Pre",11,"ERCO","forb",0.01,0
"Pre",11,"ERCO","forb",0.01,0
"Pre",11,"HEQU","forb",0.08,1
"Pre",11,"HEMA","forb",0.02,0
"Pre",11,"HYCA","forb",0.01,1
"Pre",11,"HYHO","forb",0.05,0
"Pre",11,"LIPO","forb",0.1,0
"Pre",11,"LUAR","legume",0.015,0
"Pre",11,"MESP","grass",0.005,0
"Pre",11,"MECI","forb",0.06,0
"Pre",11,"POGR","forb",0.02,0
"Pre",11,"RIMO","shrub",0.35,0
"Pre",11,"SECR","forb",0.01,0
"Pre",11,"VAOC","forb",0.02,1
"Pre",12,"ANSE","forb",0.001,0
"Pre",12,"CHAN","forb",0.02,0
"Pre",12,"DEBA","forb",0.06,1
"Pre",12,"ELGL","grass",0.07,1
"Pre",12,"ERGR","forb",0.01,1
"Pre",12,"FRVI","forb",0.02,0
"Pre",12,"GERI","forb",0.022,0
"Pre",12,"HEQU","forb",0.12,1
"Pre",12,"HEMA","forb",0.03,0
"Pre",12,"HYHO","forb",0.06,1
"Pre",12,"LIPO","forb",0.03,0
"Pre",12,"MESP","grass",0.05,0
"Pre",12,"POGR","forb",0.005,0
"Pre",12,"RAIN","forb",0.001,0
"Pre",12,"RIMO","shrub",0.08,0
"Pre",12,"SECR","forb",0.02,0
"Pre",13,"ANSE","forb",0.003,0
"Pre",13,"ELGL","grass",0.04,1
"Pre",13,"ERCO","forb",0.01,0
"Pre",13,"ERGR","forb",0.015,0
