"year","site","field_plot","pair","plot","block","litter","removal","elevation","disturbance_distance","disturbance_type","div","rich","even"
"2023","Emerald Lake ","1A",1,1,1,"Mixed","Removal",3214.529385,3.81,"Treeline",2.13328292480295,15,0.78775604822048
"2023","Emerald Lake ","1B",1,2,1,"Mixed","Control",3214.303061,5,"Treeline",2.20085322176217,13,0.85804938618371
"2023","Emerald Lake ","2A",2,3,2,"Castilleja","Control",3214.132079,2.95,"Trail",1.84482189369245,9,0.839614626889436
"2023","Emerald Lake ","2B",2,4,2,"Castilleja","Removal",3214.686752,4.62,"Treeline",2.28434037968547,13,0.890598628405756
"2023","Emerald Lake ","3A",3,5,2,"Community","Removal",3213.215425,5.78,"Treeline",2.22409876260034,13,0.867112154136827
"2023","Emerald Lake ","3B",3,6,2,"Community","Control",3213.489248,7,"Creek",2.18343658337266,16,0.787508282731821
"2023","Emerald Lake ","4A",4,7,2,"Mixed","Removal",3212.745864,6.12,"Treeline",2.10480992057913,14,0.797561271958417
"2023","Emerald Lake ","4B",4,8,2,"Mixed","Control",3212.821664,6.8,"Creek",2.36192886528729,16,0.851885765220616
"2023","Emerald Lake ","5A",5,9,3,"Mixed","Control",3214.160476,3.46,"Treeline",1.75982477078798,10,0.764282187069876
"2023","Emerald Lake ","5B",5,10,3,"Mixed","Removal",3214.758873,5.78,"Trail",2.14009650107536,13,0.834362087832157
"2023","Emerald Lake ","6A",6,11,3,"Community","Removal",3218.005592,4.27,"Treeline",2.29764550925774,14,0.870631146763571
"2023","Emerald Lake ","6B",6,12,3,"Community","Control",3214.805304,5.16,"Treeline",2.09980873283016,15,0.775395054336699
"2023","Emerald Lake ","7A",7,13,4,"Castilleja","Control",3210.215198,3.3,"Treeline",1.97337397135308,12,0.794144106589051
"2023","Emerald Lake ","7B",7,14,4,"Castilleja","Removal",3210.283085,4.7,"Treeline",1.98350212319865,15,0.732446585514308
"2023","Emerald Lake ","8A",8,15,4,"Control","Control",3207.142886,4.18,"Treeline",2.03661249901702,10,0.884489570098286
"2023","Emerald Lake ","8B",8,16,4,"Control","Removal",3209.155604,4.61,"Treeline",1.90995684009842,12,0.768623175547205
"2023","Emerald Lake ","9A",9,17,5,"Mixed","Control",3208.278304,3.12,"Treeline",1.7252460784431,12,0.694290096809186
"2023","Emerald Lake ","9B",9,18,5,"Mixed","Removal",3207.1131,4.35,"Treeline",2.01910548054822,15,0.74559381496193
"2023","Emerald Lake ","10A",10,19,5,"Control","Control",3207.270977,2.22,"Treeline",2.06920087083104,13,0.806721920185931
"2023","Emerald Lake ","10B",10,20,5,"Control","Removal",3207.806218,2.57,"Treeline",2.13886657501876,15,0.789817919235107
"2023","Emerald Lake ","11A",11,21,3,"Castilleja","Control",3211.664924,9.25,"Creek",2.30507269839096,16,0.831379237714295
"2023","Emerald Lake ","11B",11,22,3,"Castilleja","Removal",3211.096031,5.93,"Creek",1.9458571459119,10,0.845075021041551
"2023","Emerald Lake ","12A",12,23,3,"Control","Control",3215.348404,6.92,"Treeline",1.97437339505204,13,0.769751414119935
"2023","Emerald Lake ","12B",12,24,3,"Control","Removal",3211.643745,9.6,"Creek",2.07200781113842,13,0.807816265498914
"2023","Emerald Lake ","13A",13,25,1,"Control","Removal",3217.015556,4.62,"Treeline",2.2284999728268,14,0.844430300099499
"2023","Emerald Lake ","13B",13,26,1,"Control","Control",3216.145001,4.11,"Trail",2.16945008177564,14,0.822054927503952
"2023","Emerald Lake ","14A",14,27,1,"Community","Control",3216.19598,4.33,"Treeline",1.05835061325544,8,0.508959060421806
"2023","Emerald Lake ","14B",14,28,1,"Community","Removal",3216.001015,7.29,"Trail",1.74958598227543,13,0.682113265583907
"2023","Emerald Lake ","15A",15,29,1,"Castilleja","Control",3216.514942,5.93,"Treeline",1.75404896432038,10,0.761773786192453
"2023","Emerald Lake ","15B",15,30,1,"Castilleja","Removal",3218.547977,6.88,"Trail",1.71451849350428,9,0.780310993782375
"2023","Emerald Lake ","16A",16,31,2,"Control","Control",3216.43204,2.95,"Treeline",1.6804582469806,9,0.764809507555158
"2023","Emerald Lake ","16B",16,32,2,"Control","Removal",3215.721708,5.1,"Treeline",1.72637716032015,9,0.785708105638026
"2023","Emerald Lake ","17A",17,33,4,"Community","Removal",3210.958403,5.61,"Trail",2.13072533548524,15,0.786811608816562
"2023","Emerald Lake ","17B",17,34,4,"Community","Control",3214.838866,2.77,"Trail",1.99245271355519,9,0.906804308538511
"2023","Emerald Lake ","18A",18,35,5,"Community","Control",3208.328564,3.55,"Trail",1.61625513514042,10,0.701930686539278
"2023","Emerald Lake ","18B",18,36,5,"Community","Removal",3208.763818,4,"Treeline",1.4468065064804,8,0.69576685734172
"2023","Emerald Lake ","19A",19,37,5,"Castilleja","Control",3208.841651,4.3,"Treeline",1.54536426437085,9,0.703325586428836
"2023","Emerald Lake ","19B",19,38,5,"Castilleja","Removal",3208.213374,3.7,"Treeline",2.10487449956743,11,0.877800846202518
"2023","Emerald Lake ","20A",20,39,4,"Mixed","Control",3210.320734,1.9,"Trail",2.21526269329039,12,0.891487289262712
"2023","Emerald Lake ","20B",20,40,4,"Mixed","Removal",3213.273701,3.37,"Treeline",2.00353649829295,12,0.806282400372618
"2024","Emerald Lake ","1A",1,1,1,"Mixed","Removal",3214.529385,3.81,"Treeline",1.8341419050464,15,0.677292431395801
"2024","Emerald Lake ","1B",1,2,1,"Mixed","Control",3214.303061,5,"Treeline",2.07352927530188,12,0.834449565933908
"2024","Emerald Lake ","2A",2,3,2,"Castilleja","Control",3214.132079,2.95,"Trail",1.99701789671358,13,0.778579854180815
"2024","Emerald Lake ","2B",2,4,2,"Castilleja","Removal",3214.686752,4.62,"Treeline",2.35136124073562,15,0.868285691224848
"2024","Emerald Lake ","3A",3,5,2,"Community","Removal",3213.215425,5.78,"Treeline",2.45265827126125,16,0.884609481235974
"2024","Emerald Lake ","3B",3,6,2,"Community","Control",3213.489248,7,"Creek",2.4457560113268,19,0.830635658823937
"2024","Emerald Lake ","4A",4,7,2,"Mixed","Removal",3212.745864,6.12,"Treeline",1.8684215968434,11,0.779192326720312
"2024","Emerald Lake ","4B",4,8,2,"Mixed","Control",3212.821664,6.8,"Creek",2.40252022665356,20,0.801980953993371
"2024","Emerald Lake ","5A",5,9,3,"Mixed","Control",3214.160476,3.46,"Treeline",2.15108480047621,15,0.794329735689793
"2024","Emerald Lake ","5B",5,10,3,"Mixed","Removal",3214.758873,5.78,"Trail",2.18403353847706,13,0.85149187531661
"2024","Emerald Lake ","6A",6,11,3,"Community","Removal",3218.005592,4.27,"Treeline",2.317477788696,16,0.835853428280512
"2024","Emerald Lake ","6B",6,12,3,"Community","Control",3214.805304,5.16,"Treeline",2.50922450860638,19,0.852191037532296
