"year","plot","pair","removal","litter","functional_group","code","count","percent_cover"
"2023",1,1,"Removal","Mixed","forb","ANSE",8,0.02
"2023",1,1,"Removal","Mixed","forb","AQCO",1,0.02
"2023",1,1,"Removal","Mixed","forb","CHAN",4,0.03
"2023",1,1,"Removal","Mixed","forb","FRVI",2,0.005
"2023",1,1,"Removal","Mixed","forb","GERI",1,0.02
"2023",1,1,"Removal","Mixed","forb","HEQU",8,0.3
"2023",1,1,"Removal","Mixed","forb","HYHO",4,0.05
"2023",1,1,"Removal","Mixed","forb","LIPO",2,0.03
"2023",1,1,"Removal","Mixed","forb","MECI",2,0.015
"2023",1,1,"Removal","Mixed","forb","POGR",4,0.09
"2023",1,1,"Removal","Mixed","forb","VAOC",1,0.03
"2023",1,1,"Removal","Mixed","forb","VINU",1,0.002
"2023",1,1,"Removal","Mixed","grass","ELGL",5,0.04
"2023",1,1,"Removal","Mixed","grass","MESP",4,0.08
"2023",1,1,"Removal","Mixed","legume","LUAR",2,0.05
"2023",2,1,"Control","Mixed","forb","AQCO",1,0.03
"2023",2,1,"Control","Mixed","forb","CHAN",1,0.01
"2023",2,1,"Control","Mixed","forb","FRVI",7,0.02
"2023",2,1,"Control","Mixed","forb","HEQU",8,0.15
"2023",2,1,"Control","Mixed","forb","HEMA",1,0.05
"2023",2,1,"Control","Mixed","forb","HYHO",7,0.1
"2023",2,1,"Control","Mixed","forb","LIPO",3,0.13
"2023",2,1,"Control","Mixed","forb","POGR",4,0.03
"2023",2,1,"Control","Mixed","grass","ELGL",10,0.04
"2023",2,1,"Control","Mixed","grass","MESP",6,0.04
"2023",2,1,"Control","Mixed","grass","POPR",3,0.01
"2023",2,1,"Control","Mixed","sedge","CAHO",5,0.03
"2023",2,1,"Control","Mixed","shrub","RIMO",2,0.2
"2023",3,2,"Control","Castilleja","forb","AQCO",1,0.06
"2023",3,2,"Control","Castilleja","forb","CHAN",3,0.02
"2023",3,2,"Control","Castilleja","forb","HEQU",3,0.1
"2023",3,2,"Control","Castilleja","forb","HEMA",1,0.05
"2023",3,2,"Control","Castilleja","forb","LIPO",3,0.25
"2023",3,2,"Control","Castilleja","forb","POGR",1,0.03
"2023",3,2,"Control","Castilleja","grass","ELGL",5,0.03
"2023",3,2,"Control","Castilleja","legume","LUAR",8,0.12
"2023",3,2,"Control","Castilleja","sedge","CAHO",3,0.02
"2023",4,2,"Removal","Castilleja","forb","CHAN",5,0.06
"2023",4,2,"Removal","Castilleja","forb","FRVI",4,0.02
"2023",4,2,"Removal","Castilleja","forb","GERI",1,0.02
"2023",4,2,"Removal","Castilleja","forb","HEMA",1,0.15
"2023",4,2,"Removal","Castilleja","forb","HYHO",3,0.07
"2023",4,2,"Removal","Castilleja","forb","LIPO",3,0.05
"2023",4,2,"Removal","Castilleja","forb","MECI",3,0.03
"2023",4,2,"Removal","Castilleja","forb","POGR",2,0.04
"2023",4,2,"Removal","Castilleja","forb","SECR",6,0.05
"2023",4,2,"Removal","Castilleja","forb","VAOC",3,0.07
"2023",4,2,"Removal","Castilleja","grass","BRPU",3,0.02
"2023",4,2,"Removal","Castilleja","grass","ELGL",8,0.2
"2023",4,2,"Removal","Castilleja","grass","MESP",4,0.03
"2023",5,3,"Removal","Community","forb","CHAN",6,0.065
"2023",5,3,"Removal","Community","forb","ERCO",1,0.04
"2023",5,3,"Removal","Community","forb","ERGR",2,0.005
"2023",5,3,"Removal","Community","forb","FRVI",6,0.025
"2023",5,3,"Removal","Community","forb","HEQU",5,0.08
"2023",5,3,"Removal","Community","forb","HYHO",8,0.1
"2023",5,3,"Removal","Community","forb","LIPO",2,0.2
"2023",5,3,"Removal","Community","forb","MECI",1,0.01
"2023",5,3,"Removal","Community","forb","NOFE",7,0.01
"2023",5,3,"Removal","Community","forb","SECR",3,0.03
"2023",5,3,"Removal","Community","grass","ELGL",10,0.04
"2023",5,3,"Removal","Community","legume","LUAR",2,0.06
"2023",5,3,"Removal","Community","shrub","RIMO",1,0.08
"2023",6,3,"Control","Community","forb","ANSE",3,0.001
"2023",6,3,"Control","Community","forb","AQCO",1,0.04
"2023",6,3,"Control","Community","forb","DEBA",2,0.12
"2023",6,3,"Control","Community","forb","ERSP",1,0.001
"2023",6,3,"Control","Community","forb","ERCO",1,0.01
"2023",6,3,"Control","Community","forb","GERI",2,0.04
"2023",6,3,"Control","Community","forb","HEQU",7,0.15
"2023",6,3,"Control","Community","forb","HEMA",2,0.07
"2023",6,3,"Control","Community","forb","HYHO",3,0.03
"2023",6,3,"Control","Community","forb","LIPO",4,0.25
"2023",6,3,"Control","Community","forb","MECI",1,0.005
"2023",6,3,"Control","Community","forb","POGR",1,0.01
"2023",6,3,"Control","Community","forb","SECR",5,0.04
"2023",6,3,"Control","Community","grass","ELGL",12,0.04
"2023",6,3,"Control","Community","grass","MESP",3,0.015
"2023",6,3,"Control","Community","shrub","RIMO",2,0.2
"2023",7,4,"Removal","Mixed","forb","CHAN",1,0.01
"2023",7,4,"Removal","Mixed","forb","ERCO",3,0.05
"2023",7,4,"Removal","Mixed","forb","FRVI",3,0.005
