"code","family","genus","species","functional_group","life_history","growth_form","spatial_rarity","temporal_rarity","response_ratio","dominance_class","occupancy_shift","indicator","turnover_class","turnover_magnitude"
"RIMO","Grossulariaceae","Ribes","montigenum","shrub","perennial","shrub",0,0,-0.130215748548899,"CP",-0.0875,TRUE,"Control colonizer",1
"BAVU","Brassicaceae","Barbarea","vulgaris","forb","biennial","rossette, erect",0.862745098039216,0,-0.27007299270073,"SP",-0.075,TRUE,"No clear response",1
"HYCA","Boraginaceae","Hydrophyllum","capitatum","forb","perennial","erect",0.686274509803922,0,-0.839080459770115,"SP",-0.075,TRUE,"No clear response",2
"AGGL","Asteraceae","Agoseris","glauca","forb","perennial","rossette",0.705882352941176,0.333333333333333,-0.142857142857143,"SP",-0.075,TRUE,"No clear response",3
"LIPO","Apiaceae","Ligusticum","porteri","forb","perennial","erect, clump",0.0392156862745098,0,-0.148936170212766,"CP",-0.05,TRUE,"No clear response",0
"MESP","Poaceae","Melica","spectabilis","grass","perennial","cespitose, rhizome",0.274509803921569,0,0.214096304924289,"SP",0.0375,FALSE,"No clear response",2
"THFE","Thalictraceae","Thalictrum","fendleri","forb","perennial","erect",0.0980392156862745,0,-0.625,"CP",-0.05,FALSE,"No clear response",0
"RUSA","Polygonaceae","Rumex","salicifolius","forb","perennial","erect",0.235294117647059,0,-0.148091603053435,"CP",-0.0625,FALSE,"No clear response",2
"EREL","Asteraceae","Erigeron","elatior","forb","perennial","rhizome, clump",0.411764705882353,0.333333333333333,-0.123298327499028,"SP",-0.05,FALSE,"No clear response",4
"HEMA","Apiaceae","Heracleum","maximum","forb","perennial","erect",0.137254901960784,0,0.145631067961165,"CP",-0.0375,FALSE,"Control extirpation",-2
"FRVI","Rosaceae","Fragaria","virginiana","forb","perennial","rhizome, stolon",0.509803921568627,0,0.0950683986665134,"SP",0.125,FALSE,"Control colonizer",3
"CAHO","Cyperaceae","Carex","Hoodii","sedge","perennial","rhizome, stolon",0.568627450980392,0,0.250766400980993,"SP",0.0125,FALSE,"No clear response",0
"POST","Poaceae","Poa","stenantha","grass","perennial","cespitose",0.490196078431373,0.666666666666667,-0.411764705882353,"SI",-0.025,FALSE,"No clear response",2
"LUAR","Fabaceae","Lupinus","argenteus","legume","perennial","erect, clump",0.117647058823529,0,-0.069264904495466,"CP",-0.075,FALSE,"No clear response",1
