"code","removal","freq","mean_rel_cover_site","se_percent_cover_site","prop_dom_site","prop_rare_site","prop_int_site","dominance","occurance"
"AGGL","Control",0.15,0.00674742876804668,0.001857792805272,0,0.928571428571429,0.0714285714285714,"subordinate","rare"
"AGGL","Removal",0.05,0.0058723322312785,0.000704373574947752,0,1,0,"subordinate","rare"
"ANSE","Control",0.333333333333333,0.00307558537388724,0.000671675117864907,0,0.923076923076923,0.0769230769230769,"subordinate","intermediate"
"ANSE","Removal",0.3,0.00681253730168256,0.00211788326725945,0,0.954545454545455,0.0454545454545454,"subordinate","rare"
"AQCO","Control",0.3,0.0307691045996937,0.00906128483200257,0.19047619047619,0.357142857142857,0.452380952380952,"intermediate","rare"
"AQCO","Removal",0.2,0.0311132125121503,0.0096573140099093,0.333333333333333,0.555555555555556,0.111111111111111,"subordinate","rare"
"BAVU","Control",0.2,0.00356431260410563,0.0010414701178701,0,1,0,"subordinate","rare"
"BAVU","Removal",0.1,0.00209937256060034,0.00100068527036362,0,1,0,"subordinate","rare"
"BOST","Control",0.0666666666666667,0.00230141710266308,0.00170716070205545,0,1,0,"subordinate","rare"
"BOST","Removal",0.05,0.00246227326462164,0.00121728488397341,0,1,0,"subordinate","rare"
"BRPU","Control",0.4,0.00992527848417186,0.00319835853911561,0.115384615384615,0.82051282051282,0.0641025641025641,"subordinate","intermediate"
"BRPU","Removal",0.416666666666667,0.0119055832638383,0.00371262110786706,0.0357142857142857,0.821428571428571,0.142857142857143,"subordinate","intermediate"
"CACA","Control",0.0333333333333333,0.0293985694065312,0.015244287736326,1,0,0,"dominant","rare"
"CACA","Removal",0.0333333333333333,0.0294395053046919,0.0222400812586156,0.5,0.5,0,"intermediate","rare"
"CAHO","Control",0.2,0.0134462609921348,0.00538770247522515,0.0476190476190476,0.833333333333333,0.119047619047619,"subordinate","rare"
"CAHO","Removal",0.216666666666667,0.026748273597674,0.00925459439000993,0.166666666666667,0.547619047619048,0.285714285714286,"subordinate","rare"
"CAPE","Removal",0.0333333333333333,0.0107810521204486,NA,0,0.5,0.5,"intermediate","rare"
"CHAN","Control",0.716666666666667,0.113833850358178,0.0316986202351461,0.470588235294118,0.333333333333333,0.196078431372549,"intermediate","common"
"CHAN","Removal",0.766666666666667,0.116729759998128,0.033314306207959,0.509259259259259,0.333333333333333,0.157407407407407,"dominant","common"
"DEBA","Control",0.433333333333333,0.0392652547541029,0.0121075287917572,0.269230769230769,0.41025641025641,0.32051282051282,"intermediate","intermediate"
"DEBA","Removal",0.35,0.0284285717097485,0.00690635128082788,0.277777777777778,0.416666666666667,0.305555555555556,"intermediate","intermediate"
"DESO","Control",0.05,0.00266059797489592,0.00105002030243284,0,1,0,"subordinate","rare"
"DESO","Removal",0.0833333333333333,0.00102847004769537,0.000554172210627528,0,1,0,"subordinate","rare"
"DOEN","Removal",0.0166666666666667,0.0101010101010101,NA,0,0,1,"intermediate","rare"
"DRSP","Control",0.0833333333333333,0.00238375962459424,0.000850715469679885,0,1,0,"subordinate","rare"
"DRSP","Removal",0.1,0.00615748398077724,0.00459789639958672,0.166666666666667,0.833333333333333,0,"subordinate","rare"
"ELGL","Control",0.933333333333333,0.0726629900925558,0.0117643305361855,0.516666666666667,0.175,0.308333333333333,"dominant","common"
"ELGL","Removal",0.916666666666667,0.0841629100640903,0.0147939277566433,0.429824561403509,0.228070175438596,0.342105263157895,"intermediate","common"
"EPCI","Control",0.0333333333333333,0.0105928233621721,NA,0,1,0,"subordinate","rare"
"ERCO","Control",0.333333333333333,0.0109143896901504,0.00315002523340208,0.133333333333333,0.744444444444444,0.122222222222222,"subordinate","intermediate"
