"year","plot","pair","block","removal","litter","functional_group","code","count","percent_cover"
1,1,1,1,"Removal","Mixed","forb","ANSE",8,0.02
1,1,1,1,"Removal","Mixed","forb","AQCO",1,0.02
1,1,1,1,"Removal","Mixed","forb","CHAN",4,0.03
1,1,1,1,"Removal","Mixed","forb","FRVI",2,0.005
1,1,1,1,"Removal","Mixed","forb","GERI",1,0.02
1,1,1,1,"Removal","Mixed","forb","HEQU",8,0.3
1,1,1,1,"Removal","Mixed","forb","HYHO",4,0.05
1,1,1,1,"Removal","Mixed","forb","LIPO",2,0.03
1,1,1,1,"Removal","Mixed","forb","MECI",2,0.015
1,1,1,1,"Removal","Mixed","forb","POGR",4,0.09
1,1,1,1,"Removal","Mixed","forb","VAOC",1,0.03
1,1,1,1,"Removal","Mixed","forb","VINU",1,0.002
1,1,1,1,"Removal","Mixed","grass","ELGL",5,0.04
1,1,1,1,"Removal","Mixed","grass","MESP",4,0.08
1,1,1,1,"Removal","Mixed","legume","LUAR",2,0.05
1,2,1,1,"Control","Mixed","forb","AQCO",1,0.03
1,2,1,1,"Control","Mixed","forb","CHAN",1,0.01
1,2,1,1,"Control","Mixed","forb","FRVI",7,0.02
1,2,1,1,"Control","Mixed","forb","HEQU",8,0.15
1,2,1,1,"Control","Mixed","forb","HEMA",1,0.05
1,2,1,1,"Control","Mixed","forb","HYHO",7,0.1
1,2,1,1,"Control","Mixed","forb","LIPO",3,0.13
1,2,1,1,"Control","Mixed","forb","POGR",4,0.03
1,2,1,1,"Control","Mixed","grass","ELGL",10,0.04
1,2,1,1,"Control","Mixed","grass","MESP",6,0.04
1,2,1,1,"Control","Mixed","grass","POPR",3,0.01
1,2,1,1,"Control","Mixed","sedge","CAHO",5,0.03
1,2,1,1,"Control","Mixed","shrub","RIMO",2,0.2
1,3,2,2,"Control","Castilleja","forb","AQCO",1,0.06
1,3,2,2,"Control","Castilleja","forb","CHAN",3,0.02
1,3,2,2,"Control","Castilleja","forb","HEQU",3,0.1
1,3,2,2,"Control","Castilleja","forb","HEMA",1,0.05
1,3,2,2,"Control","Castilleja","forb","LIPO",3,0.25
1,3,2,2,"Control","Castilleja","forb","POGR",1,0.03
1,3,2,2,"Control","Castilleja","grass","ELGL",5,0.03
1,3,2,2,"Control","Castilleja","legume","LUAR",8,0.12
1,3,2,2,"Control","Castilleja","sedge","CAHO",3,0.02
1,4,2,2,"Removal","Castilleja","forb","CHAN",5,0.06
1,4,2,2,"Removal","Castilleja","forb","FRVI",4,0.02
1,4,2,2,"Removal","Castilleja","forb","GERI",1,0.02
