year,date,site,fieldplot,pair,plot,block,collection,litter,removal,family,genus,species,code,functional_group,life_history,cover,count,nearest_neighbor,percent_cover
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Primulaceae,Androsace,septentrionalis,ANSE,forb,annual,3.2,22,0,0.032
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Ranunculaceae,Aquilegia,Coerulea,AQCO,forb,perennial,1,1,0,0.01
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Brassicaceae,Barbarea,vulgaris,BAVU,forb,biennial,0.2,2,0,0.002
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Orobanchaceae,Castilleja,septentrionalis,CASE,hemiparasite,perennial,6,1,0,0.06
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Onagraceae,Chamaenuerion,angustifolium,CHAN,forb,perennial,1,2,0,0.01
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Ranunculaceae,Delphinium,barbeyi,DEBA,forb,perennial,2,2,0,0.02
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Poaceae,Elymus,glaucus,ELGL,grass,perennial,1.8,7,1,0.018
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Liliaceae,Erythronium,grandiflorum,ERGR,forb,perennial,0.2,1,0,0.002
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Rosaceae,Fragaria,virginiana,FRVI,forb,perennial,1.4,7,1,0.014
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Asteraceae,Helianthella,quinquenervis,HEQU,forb,perennial,25,6,1,0.25
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Boraginaceae,Hydrophyllum,capitatum,HYCA,forb,perennial,1.5,4,0,0.015
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Asteraceae,Hymenoxys,hoopesii,HYHO,forb,perennial,5,9,0,0.05
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Apiaceae,Ligusticum,porteri,LIPO,forb,perennial,5,2,1,0.05
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Fabaceae,Lupinus,argentus,LUAR,legume,perennial,1.3,4,0,0.013
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Poaceae,Melica,spectabilis,MESP,grass,perennial,10,7,0,0.1
Pre,7/14/23,Emerald Lake,1A,1,1,1,Pre,Mixed,R,Boraginaceae,Mertensia,ciliata,MECI,forb,perennial,1.5,3,0,0.015
