lab_id,sample_id,litter_bag,replicate,n,c,p,k,cn
406601,46_LIT CASTILLEJA,castilleja,1,1.65,43.14,0.204,3.30,26.145
406602,47_LIT CASTILLEJA,castilleja,2,1.51,43.20,0.180,3.43,28.609
406603,48_LIT CASTILLEJA,castilleja,3,1.77,43.28,0.186,2.99,24.452
406604,49_LIT CASTILLEJA,castilleja,4,1.47,43.01,0.186,2.96,29.259
406605,50_LIT CASTILLEJA,castilleja,5,1.48,42.75,0.192,3.12,28.885
406606,51_LIT CASTILLEJA,castilleja,6,1.32,42.49,0.131,2.80,32.189
406607,52_LIT CASTILLEJA,castilleja,7,1.26,43.49,0.142,2.88,34.516
406608,53_LIT CASTILLEJA,castilleja,8,1.61,43.12,0.175,2.89,26.783
406609,54_LIT CASTILLEJA,castilleja,9,1.46,42.95,0.145,3.19,29.418
406610,55_LIT CASTILLEJA,castilleja,10,1.56,42.27,0.134,3.39,27.096
406611,56_LIT MIXED,mixed,1,1.45,42.92,0.159,2.38,29.600
406612,57_LIT MIXED,mixed,2,1.10,43.10,0.137,2.00,39.182
406613,58_LIT MIXED,mixed,3,1.19,43.11,0.166,2.35,36.227
406614,59_LIT MIXED,mixed,4,1.19,43.04,0.141,2.13,36.168
406615,60_LIT MIXED,mixed,5,1.02,43.36,0.131,2.08,42.510
406616,61_LIT MIXED,mixed,6,1.03,43.17,0.136,2.65,41.913
406617,62_LIT MIXED,mixed,7,1.15,42.74,0.134,2.73,37.165
406618,63_LIT MIXED,mixed,8,1.05,43.45,0.160,2.30,41.381
406619,64_LIT MIXED,mixed,9,1.15,43.40,0.142,1.76,37.739
406620,65_LIT MIXED,mixed,10,1.19,43.17,0.138,1.82,36.277
406621,66_LIT COMMUNITY,community,1,1.17,43.19,0.144,1.44,36.915
406622,67_LIT COMMUNITY,community,2,1.12,42.67,0.123,1.39,38.098
406623,68_LIT COMMUNITY,community,3,1.02,42.35,0.137,1.47,41.520
406624,69_LIT COMMUNITY,community,4,1.13,42.07,0.113,1.37,37.230
406625,70_LIT COMMUNITY,community,5,1.16,42.46,0.148,1.76,36.603
406626,71_LIT COMMUNITY,community,6,1.45,43.05,0.185,1.73,29.690
406627,72_LIT COMMUNITY,community,7,0.93,42.72,0.115,1.49,45.935
406628,73_LIT COMMUNITY,community,8,1.11,41.43,0.103,1.50,37.324
406629,74_LIT COMMUNITY,community,9,1.16,41.84,0.138,1.40,36.069
406630,75_LIT COMMUNITY,community,10,1.24,42.07,0.138,1.68,33.927
