lab_id,sample_id,senescence,replicate,n,c,p,k,cn
406556,1_SEN PRE,pre,1,1.06,42.28,0.212,2.27,39.887
406557,2_SEN PRE,pre,2,0.85,42.26,0.222,3.83,49.718
406558,3_SEN PRE,pre,3,0.85,43.51,0.213,2.70,51.188
406559,4_SEN PRE,pre,4,1.20,43.07,0.224,2.85,35.892
406560,5_SEN PRE,pre,5,1.22,39.46,0.190,4.32,32.344
406561,6_SEN PRE,pre,6,1.20,39.54,0.158,4.10,32.950
406562,7_SEN PRE,pre,7,1.17,40.14,0.166,4.09,34.308
406563,8_SEN PRE,pre,8,1.22,40.32,0.180,3.99,33.049
406564,9_SEN PRE,pre,9,1.26,40.58,0.184,3.92,32.206
406565,10_SEN PRE,pre,10,1.76,39.34,0.249,3.61,22.352
406566,11_SEN PRE,pre,11,0.99,41.76,0.213,4.26,42.182
406567,12_SEN PRE,pre,12,0.73,41.81,0.196,2.85,57.274
406568,13_SEN PRE,pre,13,0.89,41.26,0.208,3.56,46.360
406569,14_SEN PRE,pre,14,0.82,42.78,0.213,3.38,52.171
406570,15_SEN PRE,pre,15,0.76,43.32,0.215,3.37,57.000
406571,16_SEN POST,post,1,1.75,43.08,0.288,2.43,24.617
406572,17_SEN POST,post,2,1.77,42.74,0.286,2.63,24.147
406573,18_SEN POST,post,3,1.78,42.52,0.270,2.50,23.888
406574,19_SEN POST,post,4,1.55,42.09,0.244,2.36,27.155
406575,20_SEN POST,post,5,1.62,43.74,0.237,2.19,27.000
406576,21_SEN POST,post,6,1.38,44.24,0.204,1.93,32.058
406577,22_SEN POST,post,7,1.55,44.35,0.303,2.45,28.613
406578,23_SEN POST,post,8,1.31,44.48,0.242,2.01,33.954
406579,24_SEN POST,post,9,1.12,44.50,0.166,1.75,39.732
406580,25_SEN POST,post,10,1.63,44.55,0.294,2.21,27.331
406581,26_SEN POST,post,11,1.01,44.41,0.138,1.50,43.970
406582,27_SEN POST,post,12,1.25,44.45,0.218,1.62,35.560
406583,28_SEN POST,post,13,1.33,44.50,0.209,2.03,33.459
406584,29_SEN POST,post,14,1.42,44.46,0.274,2.28,31.310
406585,30_SEN POST,post,15,1.22,44.27,0.258,2.15,36.287
