lab_id,sample_id,organ,replicate,n,c,p,k,cn
406586,31_CST STEM,stem,1,0.75,41.56,0.211,2.98,55.413
406587,32_CST STEM,stem,2,0.82,41.76,0.253,3.06,50.927
406588,33_CST STEM,stem,3,0.80,43.44,0.241,3.16,54.300
406589,34_CST STEM,stem,4,0.79,43.50,0.248,3.12,55.063
406590,35_CST STEM,stem,5,0.88,43.33,0.250,3.22,49.239
406591,36_CST FLOWER,flower,1,1.75,42.85,0.468,3.38,24.486
406592,37_CST FLOWER,flower,2,1.81,42.36,0.564,3.44,23.403
406593,38_CST FLOWER,flower,3,1.79,42.88,0.431,2.66,23.955
406594,39_CST FLOWER,flower,4,1.74,43.50,0.450,3.07,25.000
406595,40_CST FLOWER,flower,5,1.96,43.13,0.516,2.61,22.005
406596,41_CST LEAVES,leaf,1,1.35,39.64,0.286,3.79,29.363
406597,42_CST LEAVES,leaf,2,1.50,41.00,0.290,3.63,27.333
406598,43_CST LEAVES,leaf,3,1.30,36.67,0.248,3.60,28.208
406599,44_CST LEAVES,leaf,4,1.36,40.49,0.264,3.91,29.772
406600,45_CST LEAVES,leaf,5,1.36,40.16,0.296,4.15,29.529
