year,deployment_period,plot,block,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
,2 year,1,1,4,A,,8/16/23,8/8/25,723,Mixed,C,2.573,3.203,5,0.63,4.37
,2 year,1,1,7,B,,8/16/23,8/8/25,723,Mixed,C,2.569,3.481,5,0.912,4.088
,2 year,1,1,9,C,,8/16/23,8/8/25,723,Mixed,C,2.57,4.135,5,1.565,3.435
,2 year,2,1,3,A,,8/16/23,8/8/25,723,Mixed,R,2.604,3.045,5,0.441,4.559
,2 year,2,1,6,B,,8/16/23,8/8/25,723,Mixed,R,2.551,3.522,5,0.971,4.029
,2 year,2,1,7,C,,8/16/23,8/8/25,723,Mixed,R,2.545,3.73,5,1.185,3.815
,2 year,3,2,7,A,,8/16/23,8/8/25,723,Castilleja,C,2.556,3.166,5,0.61,4.39
,2 year,3,2,8,B,,8/16/23,8/8/25,723,Castilleja,C,2.579,4.275,5,1.696,3.304
,2 year,3,2,9,C,,8/16/23,8/8/25,723,Castilleja,C,2.542,3.27,5,0.728,4.272
,2 year,4,2,4,A,,8/16/23,8/8/25,723,Castilleja,R,2.568,2.865,5,0.297,4.703
,2 year,4,2,6,B,,8/16/23,8/8/25,723,Castilleja,R,2.596,3.663,5,1.067,3.933
,2 year,4,2,9,C,,8/16/23,8/8/25,723,Castilleja,R,2.612,3.57,5,0.958,4.042
,2 year,5,2,5,A,,8/16/23,8/8/25,723,Community,R,2.544,3.304,5,0.76,4.24
,2 year,5,2,7,B,,8/16/23,8/8/25,723,Community,R,2.571,3.54,5,0.969,4.031
,2 year,5,2,8,C,,8/16/23,8/8/25,723,Community,R,2.539,3.775,5,1.236,3.764
,2 year,6,2,1,A,,8/16/23,8/8/25,723,Community,C,2.556,3.322,5,0.766,4.234
,2 year,6,2,5,B,,8/16/23,8/8/25,723,Community,C,2.502,3.637,5,1.135,3.865
,2 year,6,2,8,C,,8/16/23,8/8/25,723,Community,C,2.543,3.349,5,0.806,4.194
,2 year,7,2,2,A,,8/16/23,8/8/25,723,Mixed,R,2.54,3.295,5,0.755,4.245
,2 year,7,2,6,B,,8/16/23,8/8/25,723,Mixed,R,2.543,3.809,5,1.266,3.734
,2 year,7,2,8,C,,8/16/23,8/8/25,723,Mixed,R,2.516,3.233,5,0.717,4.283
,2 year,8,2,1,A,,8/16/23,8/8/25,723,Mixed,C,2.562,3.046,5,0.484,4.516
,2 year,8,2,8,B,,8/16/23,8/8/25,723,Mixed,C,2.526,3.267,5,0.741,4.259
,2 year,8,2,9,C,,8/16/23,8/8/25,723,Mixed,C,2.521,3.685,5,1.164,3.836
,2 year,9,3,5,A,,8/16/23,8/8/25,723,Mixed,C,2.506,3.315,5,0.809,4.191
,2 year,9,3,7,B,,8/16/23,8/8/25,723,Mixed,C,2.536,3.417,5,0.881,4.119
,2 year,9,3,8,C,,8/16/23,8/8/25,723,Mixed,C,2.547,3.698,5,1.151,3.849
,2 year,10,3,7,A,,8/16/23,8/8/25,723,Mixed,R,2.513,3.232,5,0.719,4.281
,2 year,10,3,8,B,,8/16/23,8/8/25,723,Mixed,R,2.546,3.493,5,0.947,4.053
,2 year,10,3,9,C,,8/16/23,8/8/25,723,Mixed,R,2.513,3.842,5,1.329,3.671
,2 year,11,3,1,A,,8/16/23,8/8/25,723,Community,R,2.511,3.735,5,1.224,3.776
,2 year,11,3,6,B,yes,8/16/23,8/8/25,723,Community,R,2.461,,5,,
,2 year,11,3,8,C,,8/16/23,8/8/25,723,Community,R,2.483,2.874,5,0.391,4.609
,2 year,12,3,1,A,,8/16/23,8/8/25,723,Community,C,2.484,3.69,5,1.206,3.794
,2 year,12,3,3,B,,8/16/23,8/8/25,723,Community,C,2.414,4.133,5,1.719,3.281
,2 year,12,3,7,C,,8/16/23,8/8/25,723,Community,C,2.474,3.592,5,1.118,3.882
,2 year,13,4,2,A,,8/16/23,8/8/25,723,Castilleja,C,2.44,3.316,5,0.876,4.124
,2 year,13,4,5,B,,8/16/23,8/8/25,723,Castilleja,C,2.489,3.972,5,1.483,3.517
,2 year,13,4,8,C,,8/16/23,8/8/25,723,Castilleja,C,2.514,2.889,5,0.375,4.625
,2 year,14,4,4,A,,8/16/23,8/8/25,723,Castilleja,R,2.53,3.068,5,0.538,4.462
,2 year,14,4,7,B,,8/16/23,8/8/25,723,Castilleja,R,2.462,2.526,5,0.064,4.936
,2 year,14,4,9,C,,8/16/23,8/8/25,723,Castilleja,R,2.526,4.078,5,1.552,3.448
,2 year,17,5,1,A,,8/16/23,8/8/25,723,Mixed,C,2.473,3.325,5,0.852,4.148
,2 year,17,5,6,B,,8/16/23,8/8/25,723,Mixed,C,2.497,3.502,5,1.005,3.995
,2 year,17,5,7,C,,8/16/23,8/8/25,723,Mixed,C,2.475,3.493,5,1.018,3.982
,2 year,18,5,3,A,,8/16/23,8/8/25,723,Mixed,R,2.521,3.721,5,1.2,3.8
,2 year,18,5,5,B,,8/16/23,8/8/25,723,Mixed,R,2.41,2.989,5,0.579,4.421
,2 year,18,5,9,C,,8/16/23,8/8/25,723,Mixed,R,2.519,3.604,5,1.085,3.915
,2 year,21,3,2,A,,8/16/23,8/8/25,723,Castilleja,C,2.454,3.563,5,1.109,3.891
,2 year,21,3,6,B,,8/16/23,8/8/25,723,Castilleja,C,2.473,3.656,5,1.183,3.817
,2 year,21,3,9,C,,8/16/23,8/8/25,723,Castilleja,C,2.43,3.166,5,0.736,4.264
,2 year,22,3,1,A,,8/16/23,8/8/25,723,Castilleja,R,2.516,4.199,5,1.683,3.317
,2 year,22,3,3,B,,8/16/23,8/8/25,723,Castilleja,R,2.39,3.026,5,0.636,4.364
,2 year,22,3,6,C,,8/16/23,8/8/25,723,Castilleja,R,2.471,4.142,5,1.671,3.329
,2 year,27,1,2,A,,8/16/23,8/8/25,723,Community,C,2.466,3.376,5,0.91,4.09
,2 year,27,1,6,B,,8/16/23,8/8/25,723,Community,C,2.445,3.625,5,1.18,3.82
,2 year,27,1,8,C,,8/16/23,8/8/25,723,Community,C,2.507,3.801,5,1.294,3.706
,2 year,28,1,2,A,,8/16/23,8/8/25,723,Community,R,2.454,3.533,5,1.079,3.921
,2 year,28,1,5,B,,8/16/23,8/8/25,723,Community,R,2.477,3.158,5,0.681,4.319
,2 year,28,1,8,C,,8/16/23,8/8/25,723,Community,R,2.478,3.394,5,0.916,4.084
,2 year,29,1,2,A,,8/16/23,8/8/25,723,Castilleja,C,2.53,3.558,5,1.028,3.972
,2 year,29,1,3,B,,8/16/23,8/8/25,723,Castilleja,C,2.494,3.565,5,1.071,3.929
,2 year,29,1,8,C,,8/16/23,8/8/25,723,Castilleja,C,2.5,3.852,5,1.352,3.648
,2 year,30,1,5,A,,8/16/23,8/8/25,723,Castilleja,R,2.464,3.799,5,1.335,3.665
,2 year,30,1,7,B,,8/16/23,8/8/25,723,Castilleja,R,2.579,2.748,5,0.169,4.831
,2 year,30,1,9,C,,8/16/23,8/8/25,723,Castilleja,R,2.436,3.116,5,0.68,4.32
,2 year,33,4,3,A,,8/16/23,8/8/25,723,Community,R,2.54,3.546,5,1.006,3.994
,2 year,33,4,7,B,,8/16/23,8/8/25,723,Community,R,2.482,4.257,5,1.775,3.225
,2 year,33,4,8,C,,8/16/23,8/8/25,723,Community,R,2.552,4.075,5,1.523,3.477
,2 year,34,4,1,A,,8/16/23,8/8/25,723,Community,C,2.52,4.013,5,1.493,3.507
,2 year,34,4,3,B,,8/16/23,8/8/25,723,Community,C,2.518,3.559,5,1.041,3.959
,2 year,34,4,8,C,,8/16/23,8/8/25,723,Community,C,2.519,3.529,5,1.01,3.99
,2 year,35,5,4,A,,8/16/23,8/8/25,723,Community,C,2.539,3.592,5,1.053,3.947
,2 year,35,5,5,B,,8/16/23,8/8/25,723,Community,C,2.558,3.713,5,1.155,3.845
,2 year,35,5,9,C,,8/16/23,8/8/25,723,Community,C,2.37,3.905,5,1.535,3.465
,2 year,36,5,1,A,,8/16/23,8/8/25,723,Community,R,2.53,3.34,5,0.81,4.19
,2 year,36,5,3,B,,8/16/23,8/8/25,723,Community,R,2.607,4.103,5,1.496,3.504
,2 year,36,5,5,C,,8/16/23,8/8/25,723,Community,R,2.526,3.853,5,1.327,3.673
,2 year,37,5,2,A,,8/16/23,8/8/25,723,Castilleja,C,2.542,4.212,5,1.67,3.33
,2 year,37,5,5,B,,8/16/23,8/8/25,723,Castilleja,C,2.589,3.374,5,0.785,4.215
,2 year,37,5,8,C,,8/16/23,8/8/25,723,Castilleja,C,2.509,3.476,5,0.967,4.033
,2 year,38,5,4,A,,8/16/23,8/8/25,723,Castilleja,R,2.532,4.373,5,1.841,3.159
,2 year,38,5,5,B,,8/16/23,8/8/25,723,Castilleja,R,2.594,3.456,5,0.862,4.138
,2 year,38,5,9,C,yes,8/16/23,8/8/25,723,Castilleja,R,2.552,,5,,
,2 year,39,4,2,A,,8/16/23,8/8/25,723,Mixed,R,2.556,4.16,5,1.604,3.396
,2 year,39,4,3,B,,8/16/23,8/8/25,723,Mixed,R,2.603,4.375,5,1.772,3.228
,2 year,39,4,7,C,,8/16/23,8/8/25,723,Mixed,R,2.553,3.699,5,1.146,3.854
,2 year,40,4,2,A,,8/16/23,8/8/25,723,Mixed,C,2.592,3.758,5,1.166,3.834
,2 year,40,4,4,B,,8/16/23,8/8/25,723,Mixed,C,2.57,4.235,5,1.665,3.335
,2 year,40,4,8,C,,8/16/23,8/8/25,723,Mixed,C,2.484,3.248,5,0.764,4.236
