year,deployment_period,plot,block,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,redo_coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
2024,year,1,1,3,A,No,8/16/23,8/17/24,366,Mixed,C,1.53,3.24,3.235,5,1.705,3.295
2024,year,1,1,6,B,No,8/16/23,8/17/24,366,Mixed,C,1.45,3.08,3.042,5,1.592,3.408
2024,year,1,1,1,C,No,8/16/23,8/17/24,366,Mixed,C,1.49,3.12,3.023,5,1.533,3.467
2024,year,2,1,2,A,No,8/16/23,8/17/24,366,Mixed,R,1.48,3.28,3.242,5,1.762,3.238
2024,year,2,1,4,B,No,8/16/23,8/17/24,366,Mixed,R,1.46,3.09,2.948,5,1.488,3.512
2024,year,2,1,9,C,No,8/16/23,8/17/24,366,Mixed,R,1.57,3.47,3.459,5,1.889,3.111
2024,year,3,2,3,A,No,8/16/23,8/17/24,366,Castilleja,C,1.53,3.81,3.786,5,2.256,2.744
2024,year,3,2,2,B,No,8/16/23,8/17/24,366,Castilleja,C,1.52,3.21,3.089,5,1.569,3.431
2024,year,3,2,5,C,No,8/16/23,8/17/24,366,Castilleja,C,1.51,3.15,2.892,5,1.382,3.618
2024,year,4,2,5,A,No,8/16/23,8/17/24,366,Castilleja,R,1.5,3.39,3.221,5,1.721,3.279
2024,year,4,2,2,B,No,8/16/23,8/17/24,366,Castilleja,R,1.57,2.86,2.75,5,1.18,3.82
2024,year,4,2,7,C,No,8/16/23,8/17/24,366,Castilleja,R,1.53,2.78,2.526,5,0.996,4.004
2024,year,5,2,3,A,No,8/16/23,8/17/24,366,Community,R,1.5,3.18,3.084,5,1.584,3.416
2024,year,5,2,6,B,No,8/16/23,8/17/24,366,Community,R,1.46,3.73,3.642,5,2.182,2.818
2024,year,5,2,9,C,No,8/16/23,8/17/24,366,Community,R,1.54,3.61,3.499,5,1.959,3.041
2024,year,6,2,3,A,No,8/16/23,8/17/24,366,Community,C,1.51,3.08,2.987,5,1.477,3.523
2024,year,6,2,4,B,No,8/16/23,8/17/24,366,Community,C,1.51,3.25,3.14,5,1.63,3.37
2024,year,6,2,2,C,No,8/16/23,8/17/24,366,Community,C,1.57,3.2,3.111,5,1.541,3.459
2024,year,7,2,1,A,No,8/16/23,8/17/24,366,Mixed,R,1.56,3.18,3.066,5,1.506,3.494
2024,year,7,2,4,B,No,8/16/23,8/17/24,366,Mixed,R,1.52,3.46,3.383,5,1.863,3.137
2024,year,7,2,7,C,No,8/16/23,8/17/24,366,Mixed,R,1.57,3.6,3.416,5,1.846,3.154
2024,year,8,2,5,A,No,8/16/23,8/17/24,366,Mixed,C,1.48,3.57,3.496,5,2.016,2.984
2024,year,8,2,2,B,No,8/16/23,8/17/24,366,Mixed,C,1.46,3.51,3.398,5,1.938,3.062
2024,year,8,2,3,C,No,8/16/23,8/17/24,366,Mixed,C,1.59,3.58,3.463,5,1.873,3.127
2024,year,9,3,1,A,No,8/16/23,8/17/24,366,Mixed,C,1.57,3.44,3.328,5,1.758,3.242
2024,year,9,3,2,B,No,8/16/23,8/17/24,366,Mixed,C,1.55,3.68,3.536,5,1.986,3.014
2024,year,9,3,6,C,No,8/16/23,8/17/24,366,Mixed,C,1.48,3.59,3.489,5,2.009,2.991
2024,year,10,3,5,A,No,8/16/23,8/17/24,366,Mixed,R,1.54,3.22,3.079,5,1.539,3.461
2024,year,10,3,2,B,No,8/16/23,8/17/24,366,Mixed,R,1.57,3.58,3.457,5,1.887,3.113
2024,year,10,3,1,C,No,8/16/23,8/17/24,366,Mixed,R,1.47,3.63,3.529,5,2.059,2.941
2024,year,11,3,9,A,No,8/16/23,8/17/24,366,Community,R,1.45,3.31,3.173,5,1.723,3.277
2024,year,11,3,2,B,No,8/16/23,8/17/24,366,Community,R,1.53,2.77,2.66,5,1.13,3.87
2024,year,11,3,7,C,No,8/16/23,8/17/24,366,Community,R,1.48,3.51,3.385,5,1.905,3.095
2024,year,12,3,4,A,No,8/16/23,8/17/24,366,Community,C,1.55,3.03,2.863,5,1.313,3.687
2024,year,12,3,4,B,No,8/16/23,8/17/24,366,Community,C,1.57,2.84,2.738,5,1.168,3.832
2024,year,12,3,9,C,No,8/16/23,8/17/24,366,Community,C,1.5,3.23,3.134,5,1.634,3.366
2024,year,13,4,3,A,No,8/16/23,8/17/24,366,Castilleja,C,1.57,3.83,3.737,5,2.167,2.833
2024,year,13,4,4,B,No,8/16/23,8/17/24,366,Castilleja,C,1.48,2.29,2.068,5,0.588,4.412
2024,year,13,4,6,C,No,8/16/23,8/17/24,366,Castilleja,C,1.55,3.47,3.395,5,1.845,3.155
2024,year,14,4,5,A,No,8/16/23,8/17/24,366,Castilleja,R,1.54,3.42,3.315,5,1.775,3.225
2024,year,14,4,3,B,No,8/16/23,8/17/24,366,Castilleja,R,1.57,2.39,1.92,5,0.35,4.65
2024,year,14,4,1,C,No,8/16/23,8/17/24,366,Castilleja,R,1.49,2.68,2.635,5,1.145,3.855
2024,year,17,5,5,A,No,8/16/23,8/17/24,366,Mixed,C,1.55,3.67,3.617,5,2.067,2.933
2024,year,17,5,8,B,No,8/16/23,8/17/24,366,Mixed,C,1.51,3.63,3.56,5,2.05,2.95
2024,year,17,5,9,C,No,8/16/23,8/17/24,366,Mixed,C,1.48,3.38,3.271,5,1.791,3.209
2024,year,18,5,1,A,No,8/16/23,8/17/24,366,Mixed,R,1.52,3.12,3.02,5,1.5,3.5
2024,year,18,5,4,B,No,8/16/23,8/17/24,366,Mixed,R,1.49,2.99,2.932,5,1.442,3.558
2024,year,18,5,2,C,No,8/16/23,8/17/24,366,Mixed,R,1.58,3.89,3.843,5,2.263,2.737
2024,year,21,3,3,A,No,8/16/23,8/17/24,366,Castilleja,C,1.54,2.64,2.299,5,0.759,4.241
2024,year,21,3,7,B,No,8/16/23,8/17/24,366,Castilleja,C,1.53,3.86,3.696,5,2.166,2.834
2024,year,21,3,4,C,No,8/16/23,8/17/24,366,Castilleja,C,1.53,3.37,3.323,5,1.793,3.207
2024,year,22,3,2,A,No,8/16/23,8/17/24,366,Castilleja,R,1.59,4.4,4.227,5,2.637,2.363
2024,year,22,3,4,B,No,8/16/23,8/17/24,366,Castilleja,R,1.51,3.41,3.338,5,1.828,3.172
