year,deployment_period,plot,block,location,bag,missing,deployment_date,removal_date,deployment_duration,litter,removal,coin_dry_wieght,coin_litter_dry_weight,initial_dry_weight,final_dry_weight,mass_loss
2024,within,1,1,2,A,No,6/30/24,8/17/24,48,Mixed,C,1.59,4.51,5,2.92,2.08
2024,within,1,1,5,B,No,6/30/24,8/17/24,48,Mixed,C,1.57,4.84,5,3.27,1.73
2024,within,1,1,8,C,No,6/30/24,8/17/24,48,Mixed,C,1.56,4.57,5,3.01,1.99
2024,within,2,1,1,A,No,6/30/24,8/17/24,48,Mixed,R,1.57,4.33,5,2.76,2.24
2024,within,2,1,5,B,No,6/30/24,8/17/24,48,Mixed,R,1.57,4.57,5,3,2
2024,within,2,1,8,C,No,6/30/24,8/17/24,48,Mixed,R,1.57,4.21,5,2.64,2.36
2024,within,3,2,1,A,No,6/30/24,8/17/24,48,Castilleja,C,1.58,4.53,5,2.95,2.05
2024,within,3,2,4,B,No,6/30/24,8/17/24,48,Castilleja,C,1.58,4.32,5,2.74,2.26
2024,within,3,2,6,C,No,6/30/24,8/17/24,48,Castilleja,C,1.57,3.92,5,2.35,2.65
2024,within,4,2,1,A,No,6/30/24,8/17/24,48,Castilleja,R,1.57,4.5,5,2.93,2.07
2024,within,4,2,3,B,No,6/30/24,8/17/24,48,Castilleja,R,1.58,5.22,5,3.64,1.36
2024,within,4,2,8,C,No,6/30/24,8/17/24,48,Castilleja,R,1.58,5.04,5,3.46,1.54
2024,within,5,2,1,A,No,6/30/24,8/17/24,48,Community,R,1.56,3.86,5,2.3,2.7
2024,within,5,2,2,B,No,6/30/24,8/17/24,48,Community,R,1.57,4.72,5,3.15,1.85
2024,within,5,2,4,C,No,6/30/24,8/17/24,48,Community,R,1.56,3.87,5,2.31,2.69
2024,within,6,2,2,A,No,6/30/24,8/17/24,48,Community,C,1.56,4.43,5,2.87,2.13
2024,within,6,2,6,B,No,6/30/24,8/17/24,48,Community,C,1.54,4.39,5,2.85,2.15
2024,within,6,2,7,C,No,6/30/24,8/17/24,48,Community,C,1.58,3.97,5,2.39,2.61
2024,within,7,2,3,A,No,6/30/24,8/17/24,48,Mixed,R,1.59,4.52,5,2.93,2.07
2024,within,7,2,5,B,No,6/30/24,8/17/24,48,Mixed,R,1.6,4.36,5,2.76,2.24
2024,within,7,2,9,C,No,6/30/24,8/17/24,48,Mixed,R,1.57,4.77,5,3.2,1.8
2024,within,8,2,2,A,No,6/30/24,8/17/24,48,Mixed,C,1.59,4.71,5,3.12,1.88
2024,within,8,2,4,B,No,6/30/24,8/17/24,48,Mixed,C,1.58,3.84,5,2.26,2.74
2024,within,8,2,7,C,No,6/30/24,8/17/24,48,Mixed,C,1.57,4.13,5,2.56,2.44
2024,within,9,3,3,A,No,6/30/24,8/17/24,48,Mixed,C,2.48,5.31,5,2.83,2.17
2024,within,9,3,4,B,No,6/30/24,8/17/24,48,Mixed,C,2.48,4.79,5,2.31,2.69
2024,within,9,3,9,C,No,6/30/24,8/17/24,48,Mixed,C,2.49,5.36,5,2.87,2.13
2024,within,10,3,3,A,No,6/30/24,8/17/24,48,Mixed,R,2.46,4.91,5,2.45,2.55
2024,within,10,3,4,B,No,6/30/24,8/17/24,48,Mixed,R,2.44,5.45,5,3.01,1.99
2024,within,10,3,6,C,No,6/30/24,8/17/24,48,Mixed,R,2.47,4.84,5,2.37,2.63
2024,within,11,3,3,A,No,6/30/24,8/17/24,48,Community,R,2.44,5,5,2.56,2.44
2024,within,11,3,4,B,No,6/30/24,8/17/24,48,Community,R,2.42,4.7,5,2.28,2.72
2024,within,11,3,5,C,No,6/30/24,8/17/24,48,Community,R,2.45,4.8,5,2.35,2.65
2024,within,12,3,2,A,No,6/30/24,8/17/24,48,Community,C,2.45,5.68,5,3.23,1.77
2024,within,12,3,6,B,No,6/30/24,8/17/24,48,Community,C,2.45,5.2,5,2.75,2.25
2024,within,12,3,8,C,No,6/30/24,8/17/24,48,Community,C,2.45,4.68,5,2.23,2.77
2024,within,13,4,1,A,No,6/30/24,8/17/24,48,Castilleja,C,2.45,4.53,5,2.08,2.92
